index,78_1_github.com,78_2_github.com,78_3_github.com,78_4_github.com,78_5_github.com,78_6_github.com,78_7_github.com,78_8_github.com,78_9_github.com,78_10_github.com,79_1_github.com,79_2_github.com,79_3_github.com,79_4_github.com,79_5_github.com,79_6_github.com,79_7_github.com,79_8_github.com,79_9_github.com,79_10_github.com,80_1_github.com,80_2_github.com,80_3_github.com,80_4_github.com,80_5_github.com,80_6_github.com,80_7_github.com,80_8_github.com,80_9_github.com,80_10_github.com,81_1_github.com,81_2_github.com,81_3_github.com,81_4_github.com,81_5_github.com,81_6_github.com,81_7_github.com,81_8_github.com,81_9_github.com,81_10_github.com
1,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,-48.0,67.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0
2,605.0400000000001,163.31999999999994,1606.0999999999997,1061.0399999999988,587.2199999999999,2042.28,1551.2199999999998,2152.84,2842.44,1697.6000000000001,451.84000000000003,1732.3,1431.6000000000001,-169.4000000000008,-319.5999999999999,1609.8,1376.0999999999997,-99.14000000000003,1827.08,1658.8,4550.88,-575.04,1372.32,4396.72,1434.6000000000001,2551.58,4433.16,2216.32,868.3800000000001,4601.2,547.16,1099.5600000000004,555.7199999999998,1604.72,1223.1200000000001,549.1800000000001,457.6,-128.19999999999987,204.12000000000006,1474.26
3,4068.119999999999,2919.92,4801.599999999999,3030.52,4262.160000000001,2696.24,4777.92,4465.879999999999,3732.6800000000003,4901.8,789.1200000000007,1635.319999999999,2039.8000000000015,1388.6000000000004,1425.3999999999999,3901.319999999999,2282.7999999999997,1612.9600000000003,777.88,2714.12,11014.44,-142.08000000000004,8530.199999999999,14753.76,5460.2,6744.799999999998,13436.52,5484.96,5584.6399999999985,11837.4,1027.32,973.2399999999999,1144.1200000000001,4833.28,4597.04,1034.04,1876.8000000000015,1129.4000000000003,1052.3199999999995,2427.88
4,8288.36,7369.739999999999,6855.900000000001,7783.96,6199.0199999999995,7269.8600000000015,9337.22,8261.759999999995,13107.12,6716.200000000006,1550.6399999999999,4752.94,4636.8,3101.799999999994,2558.2000000000003,4643.079999999999,4554.900000000001,2691.92,4604.0199999999995,4764.88,18406.88,1097.1600000000017,15751.84,19740.64,16528.200000000026,18491.200000000004,18843.600000000002,10458.24,17305.76,18480.2,2512.08,2578.42,2521.54,7339.56,6957.88,776.9199999999995,1302.899999999999,4507.799999999994,4856.72,4458.78
5,16180.36,13264.279999999999,14829.800000000001,16983.76,15939.48,11264.88,14923.279999999999,16609.84,16413.68,10418.000000000004,3011.56,8985.72,6962.2,4739.4,4639.8,6395.4400000000005,6109.4,4589.24,7046.28,6175.959999999999,47386.64,10240.119999999999,25427.96,33104.52000000001,25802.200000000004,27566.4,60504.880000000005,18406.56,20920.72,50005.2,1736.4800000000002,5579.800000000001,4427.4800000000005,7519.119999999998,7839.320000000001,1917.4399999999994,4399.600000000003,7423.6,7029.92,6556.96
6,19199.2,18888.899999999998,16859.0,18508.8,18219.1,17108.3,17288.80000000001,19473.2,23879.00000000001,18723.0,4742.3,12879.400000000001,6265.0,6801.0,7149.0,14767.199999999993,12135.0,7181.400000000001,7692.0999999999985,14788.000000000007,57675.6,18767.599999999995,39389.2,66608.4,58304.0,67256.7,58134.199999999975,21922.4,42276.20000000006,58051.0,5595.8,7712.099999999997,7354.7,16630.600000000002,16314.4,5929.4,4536.5,6610.0,11661.199999999997,8671.600000000004
7,60806.24,37593.59999999998,18869.399999999994,23617.160000000003,50757.599999999984,19032.440000000002,19001.8,31695.720000000005,46068.24,23238.8,10787.04,16456.84,14799.799999999997,6903.399999999996,8798.8,17368.44,16274.8,8651.76,15591.68000000001,16647.28,59862.48,60018.32,45482.08,66602.88,69069.79999999999,69625.88,67195.96,34610.159999999996,68265.96,59526.600000000006,6546.799999999998,11685.200000000003,11058.199999999993,18909.36,16853.480000000003,8311.96,10374.6,14929.4,16820.440000000002,14941.64
8,65723.88,60169.88000000001,47080.7,63651.92,51755.62,24392.280000000002,27645.72,51409.88,50474.32,30250.199999999986,11764.779999999999,18488.940000000002,16214.2,15035.900000000001,12691.600000000004,18917.039999999994,16552.799999999996,11255.640000000001,16933.94,18907.68,68570.56,56924.04,80012.24,76364.68000000004,72293.2,81279.62000000001,79998.04,51747.48,69212.84,70627.6,14279.48,16286.779999999999,13040.26,19108.8,18420.440000000002,7606.58,11454.699999999999,17334.8,18655.64,16901.059999999998
9,65556.23999999999,64878.24,62251.400000000016,69455.52,61550.28,51294.96,38810.68,57323.04,66380.36,67674.6,12301.880000000001,18905.4,18703.2,16553.2,13630.999999999996,33122.68,18988.4,12967.399999999994,19425.36,21068.120000000017,79330.16,63436.439999999995,81716.52,85322.48,79650.2,89894.64,84858.32,52736.880000000005,77046.04,78907.6,16010.24,17780.64,15974.48,31949.039999999994,19293.04,15794.119999999999,15466.000000000004,18629.2,19517.600000000046,18831.440000000002
10,73817.20000000003,69157.62,63523.200000000004,70245.84,68230.58,55223.58,52815.579999999994,60477.24,71940.36000000002,75448.4,17343.58,55850.08000000004,19164.399999999998,18830.399999999998,17010.600000000002,49876.16,36764.60000000001,16903.680000000004,37952.51999999999,46147.28,81695.68,75992.12,89718.92000000001,90085.76,90878.6,102064.4,90186.96,75783.72,87788.82,81784.2,17744.079999999998,18366.06,18709.72,49696.84,33996.32,18218.739999999998,19234.6,20079.79999999998,60629.44,20206.16000000002
11,82382.00000000033,72278.6,66036.0,74023.4,69787.6,70429.79999999999,68776.6,75548.0,73567.4,74351.0,19465.199999999993,93930.79999999999,32302.0,19556.0,18279.0,73351.99999999991,49195.0,19395.6,86368.0,44092.799999999996,86080.8,82351.40000000001,98239.00000000003,106575.00000000001,96287.0,115887.8,97769.2,84143.19999999997,90072.20000000004,88432.0,19773.400000000012,19674.600000000002,19839.8,50949.8,61137.40000000001,20658.2,19655.0,31658.0,58803.200000000004,47847.799999999996
12,128933.24,76670.70000000003,69871.4,85419.20000000001,70415.38,72230.81999999999,72384.56,99786.60000000006,83390.84,78443.40000000001,19996.20000000001,114055.02,30746.600000000002,32085.799999999992,20093.2,94639.92,47584.399999999994,18299.640000000003,90896.63999999993,45079.56000000003,212661.88,89702.8,116579.68000000001,226422.64,144120.0000000001,157581.78,191599.63999999998,90487.76,99915.39999999998,122464.19999999992,21720.36,23882.20000000001,23208.04,57278.67999999998,68164.88000000002,31908.380000000005,40794.00000000006,35252.6,70722.72,46359.119999999995
13,211986.12000000017,79503.48,71599.00000000004,90558.8,81447.36,78943.36,75406.52,223789.63999999998,126936.16,82545.0,51257.44,159783.16000000003,29248.399999999994,50298.59999999992,20359.0,110636.48,82420.2,20469.399999999998,153764.28,85429.52,269428.0,168647.63999999975,159807.16,286821.88,267430.8,176303.63999999998,282915.92000000016,99241.2,107563.24,252970.39999999962,52369.56,26875.88,27142.04,77710.64,69976.56,46379.68,48488.399999999994,38698.200000000004,77094.24,68458.16
14,325604.24000000017,120679.02000000002,81645.6,89848.8,80939.04000000001,77544.2,87550.36000000023,378975.51999999996,225009.52,83798.2,97340.71999999999,235754.2799999999,47021.2,54798.1,49073.8,114676.88,118683.3,72039.15999999995,178586.84,89869.12,284364.6,272386.16,158099.16,311788.16,347660.2,276037.63999999996,337911.64,129974.04,220073.36000000004,281826.60000000003,61116.28000000002,52227.959999999985,29441.319999999963,79751.36,73805.76,47064.18,62119.400000000016,73725.6,76770.92,67269.52
15,378811.08,211654.3600000001,104328.00000000003,208817.76,138877.83999999988,128439.68,115557.79999999999,381991.6,348993.95999999996,125447.0,114315.76,271603.24,48654.2,76617.39999999986,47547.4,116799.56,123164.2,99880.19999999995,193625.40000000002,92197.84,318180.32,327466.52,311202.59999999974,369131.3600000001,350239.00000000006,412138.91999999987,337944.08,136358.59999999995,333952.88,304731.0,69136.68000000001,54860.68,33759.12,81124.72000000002,77976.28,71052.88,71068.6,75167.6,80270.31999999999,71163.56000000003
16,376193.6,215565.1,195827.0,232684.0,138829.3,219271.7,206572.0,380335.8,388052.8,182290.0,112795.2,274372.3,55182.0,126046.0,46021.0,177796.00000000003,141603.5,116620.7,206958.19999999998,152172.80000000002,332695.4,358845.6,372651.0,386788.0,376132.0,517085.80000000016,461391.19999999984,173452.0,346665.4,346958.0,72107.2,74522.2,51981.7,83876.6,79967.8,74055.20000000004,72586.0,76510.0,78483.8,77031.9
17,373303.64,213921.08,238222.60000000015,230970.84,137396.72,218055.2,208619.64,378580.24,387260.16,231621.8,151454.76,295390.16,55281.6,140822.6,89151.79999999996,246673.84,179894.6,115380.68000000001,280209.88,217308.56000000006,358622.24,361525.44,411304.68,455227.6800000001,408289.6000000001,684660.6,531518.68,191320.8,390218.44000000024,396245.2,73714.92,75940.24,53037.28,122518.99999999993,81166.92,76686.68,72442.40000000001,79707.6,76653.92,79180.64
