index,262_1_www.kicker.de,262_2_www.kicker.de,262_3_www.kicker.de,262_4_www.kicker.de,262_5_www.kicker.de,262_6_www.kicker.de,262_7_www.kicker.de,262_8_www.kicker.de,262_9_www.kicker.de,262_10_www.kicker.de,263_1_www.kicker.de,263_2_www.kicker.de,263_3_www.kicker.de,263_4_www.kicker.de,263_5_www.kicker.de,263_6_www.kicker.de,263_7_www.kicker.de,263_8_www.kicker.de,263_9_www.kicker.de,263_10_www.kicker.de,264_1_www.kicker.de,264_2_www.kicker.de,264_3_www.kicker.de,264_4_www.kicker.de,264_5_www.kicker.de,264_6_www.kicker.de,264_7_www.kicker.de,264_8_www.kicker.de,264_9_www.kicker.de,264_10_www.kicker.de,265_1_www.kicker.de,265_2_www.kicker.de,265_3_www.kicker.de,265_4_www.kicker.de,265_5_www.kicker.de,265_6_www.kicker.de,265_7_www.kicker.de,265_8_www.kicker.de,265_9_www.kicker.de,265_10_www.kicker.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,111214.84000000001,98287.14,110529.2,110562.5,112852.52,110489.8,110224.28,110776.44,112713.2,112768.7,64766.24,66724.20000000001,63548.38,58909.12,65526.42,65056.02,62212.36,65425.62,65406.26,46183.40000000001,61532.68000000001,59452.8,57633.279999999984,66105.48,66885.06,61473.299999999996,63174.55999999999,65530.74,63611.2,63474.0,70987.6,64824.100000000006,81509.0,66725.19999999998,64915.999999999985,64631.14,68458.56,64865.96,64220.68,60679.9
3,229545.52000000016,210761.24,312991.60000000003,340329.0,312302.68,257438.0,187194.4,433319.3999999999,313900.92,370692.4,422092.6,301731.04,331947.44,236561.24,297292.32,274826.44,101131.4,422037.6,279403.28,138677.28000000006,313702.4,235351.39999999994,162767.79999999996,325541.32,257031.19999999998,263002.24,252982.15999999995,411054.88,280261.2,260864.0,477555.96,427930.6,328968.48,478167.92,444285.6,296463.52,308268.44,296200.12,444726.51999999996,269412.36
4,339706.6400000001,482967.44,480844.00000000006,494427.5,350956.46,387769.0,347943.88,488072.32,366871.2,581246.4,484000.72000000003,440334.68,479642.62,329372.88,335100.48,304767.06,434430.74,480405.3599999999,342767.66,333179.48,470346.8,317916.2,328633.06,469489.04,326537.32,397807.94,322770.77999999997,474657.9,471662.64,321642.0,593048.86,490568.7,461922.3600000001,549226.88,486669.0,369289.38,442665.72000000003,350746.68,491151.56,331623.48000000004
5,354927.08,496042.76,514186.0,548478.0,425189.63999999996,409895.4,415320.52,527139.6,491090.52,632240.2,631313.8,479317.36,578543.6,350260.04000000004,528100.2400000001,471221.88,554674.28,622882.44,478763.56,410440.96,567610.56,434970.8,372736.28,551702.4,346803.24,454188.27999999997,447803.5199999998,602393.36,498715.24,398671.0,770745.88,615411.8,730775.04,670824.64,647726.7999999999,485631.12,665134.92,376367.16,664629.6399999998,394018.64
6,492695.4000000001,602797.0,662866.0,638729.0,635070.3999999999,480096.0,507091.00000000006,653020.2,688765.2,818004.5,947966.8,753369.8,723590.6000000003,609135.2,797425.7,701740.8,616728.1,948274.7000000001,703890.7,483977.2,921724.1,504566.0,470816.3,753196.2,610819.9,591824.6,676476.4,868030.7000000001,637329.8,524177.0,967801.3,899227.0,824649.8000000002,949357.5,947840.0,756194.2,823313.8,519385.0,878542.8,484095.1
7,635987.4,725703.6,786203.0,749579.0,769145.84,611775.4,636629.12,802324.6,804469.32,955939.0,978243.16,841563.64,952646.32,798675.32,827964.96,815896.64,689600.56,979406.7199999999,825721.84,737343.16,947705.16,799800.1999999998,671793.72,951859.16,795746.28,681471.88,805933.72,958394.36,939290.92,707053.0,986832.8800000001,969287.0000000001,847104.96,976083.68,971570.8,835429.92,851194.36,840126.04,971923.92,609021.52
8,788060.2,842060.58,932219.6,950153.0,931113.58,738092.0,743601.52,984974.3999999997,1100284.2800000003,1150960.0,1044444.48,910856.08,979014.02,822186.72,902150.4400000001,833530.98,897782.98,989534.76,845378.32,825105.12,1015268.2000000001,824454.8,809943.84,976451.9600000001,816434.56,858232.4400000001,839960.16,1020945.58,959288.7999999999,823051.0,1066134.34,1057367.2,914264.44,1007849.9600000001,996961.3999999998,850752.32,931622.4,866708.72,989640.16,823175.32
9,1041970.1200000001,1042421.0,1180019.6,1179192.0,1075308.2,966837.6,881331.3999999999,1269267.72,1286620.96,1237025.2,1129720.04,996433.36,1002784.6799999999,843121.48,983242.28,903037.52,972700.12,1070272.96,910177.08,835418.84,1105679.1199999999,884930.8,837316.8,1034558.24,829801.64,905975.4,903784.96,1054592.8800000001,987769.24,884996.0,1148144.96,1077521.2,1041493.3200000001,1101725.24,1099187.2,915261.3200000001,1004806.92,898822.56,1052216.68,834845.5599999999
10,1244902.8800000001,1199711.04,1307237.8,1309610.5,1328429.14,1035424.6,1050125.48,1424664.56,1581606.0,1528467.9999999998,1217885.8,1313414.48,1076836.3,912951.24,1365575.38,958612.16,1004875.3,1147856.34,1131743.18,863389.28,1173421.38,980471.6,904171.1599999996,1151770.4,864699.12,910482.9600000001,964864.92,1081537.1999999997,1069579.3600000003,907184.0,1284408.96,1091014.2,1340116.0,1204986.16,1180768.9999999998,995141.16,1242011.32,977490.28,1120027.48,852641.74
11,1371605.5999999999,1412314.6,1535220.0,1480706.0,1627934.1999999995,1247115.0,1253904.6,1645646.4,1947074.1999999995,1869237.0,1533153.4,1524660.2000000002,1152826.4000000001,988322.2,1468258.6000000008,1369709.4,1060720.0,1528517.8,1372479.6,933946.7999999999,1229894.2,1051809.0,1017811.6,1205955.8,963828.7999999999,1020535.4,1051850.5999999996,1200016.6,1192323.3999999997,917843.0,1619690.4,1303358.0,1535179.4,1606207.5999999999,1429762.0,1317385.5999999999,1481510.6,1070467.9999999998,1237082.0,947602.8
12,1713121.2400000002,1617131.6000000003,1860702.0000000002,1842584.5,1915882.7999999993,1365109.2000000002,1356582.08,1944371.2399999998,2142544.6,2190126.0,1734573.96,1687031.9200000004,1531883.08,1277111.5200000003,1631070.4000000001,1499807.16,1136099.5199999998,1729611.52,1510991.56,1065494.8800000006,1237195.06,1067588.4,1057303.36,1220423.28,1057526.88,1103682.18,1106382.52,1266356.34,1213597.52,1024881.0,1826153.42,1579456.9,1761077.52,1701053.5599999998,1628305.6,1475535.52,1673332.04,1468304.2399999995,1615878.72,975920.4
13,1984574.6800000002,1921674.76,2150785.6000000006,2207866.0,2117394.32,1716450.6,1542733.8,2231548.6,2417842.2800000003,2329920.4,1831455.1200000003,1812275.2,1660382.52,1386941.24,1749550.12,1583675.68,1333619.52,1814251.36,1684694.8,1385994.56,1255605.0,1114903.2,1073410.16,1250880.16,1151738.7200000004,1277074.56,1264872.84,1430769.4000000001,1232826.72,1096680.0,2004543.52,1765082.9999999981,1909804.1199999999,1876250.24,1851781.8,1578738.3199999987,1777439.24,1618579.08,1816731.56,1088727.6000000017
14,2135297.88,2238599.4799999995,2314886.6,2323911.0,2264890.28,1960269.8000000003,1761928.72,2296297.2,2608911.28,2730228.1,1961827.1199999999,1885530.44,1808041.48,1587086.24,1902290.94,1672717.82,1533707.76,1959316.2199999995,1715355.76,1517593.52,1322375.24,1166394.7999999998,1117288.14,1325864.04,1423690.8,1329303.2,1564606.5399999996,1710835.28,1283524.52,1126096.0,2143371.64,1869901.4,2067273.4800000002,1927775.34,1902992.0,1770557.7999999996,1993975.32,1703268.52,1903727.56,1464370.12
15,2271983.92,2306625.2,2640782.1999999997,2597665.0,2608435.72,2160872.6,1978516.4799999988,2592232.84,2770922.32,2800334.8,2074083.6400000001,2016420.28,1926268.92,1671255.68,1959518.28,1729779.4399999997,1675173.9599999997,2072811.72,1824866.08,1658360.68,1367730.4000000001,1560307.2,1188624.68,1437873.9200000002,1550037.0399999996,1547615.32,1599043.28,1735244.36,1329608.48,1385413.0,2236584.68,1990791.3999999978,2105243.64,2143936.08,2124557.1999999997,1804476.48,2049746.04,1836195.4799999981,2052313.2,1501181.56
16,2534901.2,2652541.5,2789932.0,2831174.0,2742835.0,2293966.0,2169476.8,2800879.6,2934127.4,3057872.5,2127328.0,2042983.4000000004,2050216.6999999995,1812657.4,1973314.2,1866321.2,1813398.2,2124658.1,1965944.1,1707288.4,1519657.9,1577315.0,1370582.8,1551604.0,1606772.3,1579149.2,1748368.2,1903272.0999999999,1470311.8000000005,1553596.0,2251538.7,2127239.5,2150498.8,2232234.9,2188291.0,1962457.3999999997,2098575.6,2016275.8,2189645.9999999986,1722627.6
17,2705802.8800000004,2772943.36,3020749.0,3020125.0,2917852.1199999996,2632910.4,2194555.68,3048317.24,3037310.44,3229330.0,2144383.76,2150209.72,2117544.76,1914190.48,2018803.5600000003,1971345.32,1844440.24,2141622.36,1994488.16,1816346.800000001,1734425.6,1654959.2,1562003.3199999998,1834392.76,1651156.2,1741715.4800000002,1777634.44,1923691.96,1756589.3999999997,1588033.0,2349487.0,2210714.4,2253738.76,2246518.76,2241806.6,2080921.0799999998,2202682.96,2072908.52,2245105.08,1756986.4
18,2896147.920000001,3027500.82,3072660.4,3102587.0,3108766.0399999986,2817435.4000000013,2486873.0,3101749.56,3189892.72,3320287.6,2195164.52,2163839.36,2135023.18,1970693.92,2052531.86,1985378.12,1974093.24,2220242.559999999,2001117.3999999997,1928199.32,1838078.14,1722913.8,1732843.56,1865910.64,1695953.64,1753135.78,1862187.08,1996450.64,1849282.7599999998,1746136.0,2397147.34,2221702.7,2266960.2,2346552.1999999997,2276153.3999999994,2125133.92,2271111.16,2095763.52,2271034.16,1912522.8000000005
19,2980785.36,3087265.2,3294584.4,3211278.0,3177491.64,2915528.6000000006,2647048.04,3315597.68,3258285.76,3320788.4,2223132.32,2182512.28,2146786.64,1983020.4,2131198.48,1999954.8,2077215.04,2278339.5999999996,2041227.68,1979141.6000000003,1893665.8000000003,1782948.2,1758388.8399999982,1966945.52,1780831.44,1832782.84,1992147.12,2093183.5999999999,1940928.56,1763104.0,2418011.92,2268602.6,2301194.8800000004,2392920.12,2383090.4,2160029.64,2282976.36,2137116.48,2382033.2,2002307.8
20,3055929.44,3302040.86,3328021.2,3328750.5,3182480.12,3135981.8,2879502.4,3331179.52,3342982.24,3419216.2,2301607.72,2199608.68,2267605.7400000007,2004660.76,2193981.98,2047098.86,2121409.02,2309992.92,2126891.8,1991618.48,1991183.12,1878894.1999999988,1843523.08,2024858.9200000002,1879261.36,1975328.28,2090644.48,2243148.24,2014380.48,1836505.0,2445620.52,2356107.4,2324748.44,2408737.4,2400972.2,2257025.54,2303098.12,2268842.96,2396903.04,2055040.44
21,3167035.8,3316833.2,3363916.0,3347620.0,3273713.6,3153171.0,2928786.4000000004,3354115.4,3418507.4,3464433.0,2342246.6,2223932.6,2290067.4000000004,2029039.4,2224284.4000000004,2139903.8,2139753.6,2326134.4,2175459.0,2029705.0,2011226.0,2012746.0,1894262.4000000001,2211554.4,2006109.6,1997544.8,2116495.4,2266830.8,2199994.6,1889560.0,2460072.6,2375345.0,2367058.8,2422034.1999999997,2413770.0,2281505.4,2342030.2,2280813.4,2412554.4,2107979.8
22,3194983.6000000006,3345637.8,3466943.2,3430238.5,3314990.38,3180826.4,3100509.16,3453436.24,3520384.12,3646282.8,2396173.84,2254661.24,2307716.4,2061519.68,2243910.52,2174138.76,2165881.6800000006,2359236.54,2200748.46,2136086.12,2206390.7600000007,2066113.8,2077269.8,2236335.16,2095540.2200000007,2102515.82,2125293.48,2286951.16,2221642.6,1997223.0,2598274.74,2390829.1,2403261.96,2450274.16,2428201.8,2295620.72,2370533.44,2312182.1999999997,2438625.92,2127631.16
23,3242954.92,3368465.08,3496065.6,3505231.0,3422676.76,3221829.6,3201335.64,3488163.7600000002,3811501.76,3845599.6,2421200.4,2294889.2,2343773.44,2143131.64,2297561.56,2218099.8,2268853.1199999996,2401444.6,2269978.08,2158754.16,2245109.56,2083311.8,2094424.04,2250272.56,2121186.04,2099100.48,2201945.72,2320084.04,2230585.24,2102237.0,2638232.16,2409486.4,2421439.92,2495327.2,2453263.8,2319284.52,2429358.92,2337402.56,2452719.52,2178020.8
24,3296948.24,3453944.28,3512781.6,3650486.0,3663710.04,3286624.8,3254210.2,3577368.1199999996,3836162.76,3927599.4,2468322.1199999996,2359875.08,2366076.56,2181223.12,2357032.3600000003,2269098.48,2294872.1999999997,2459182.68,2280224.62,2174951.76,2264114.14,2121582.6,2101831.26,2271974.04,2132805.84,2132222.1600000006,2241438.38,2360374.08,2246429.56,2110591.0,2807790.26,2420442.7,2468192.68,2498708.5999999996,2487516.7999999993,2333324.52,2433304.6799999997,2358133.8,2493189.3200000003,2243318.48
25,3389541.4400000004,3549321.7600000002,3701265.8000000007,3854578.0,3732990.48,3429542.0,3265159.56,3778150.9999999995,3928962.0800000015,3975757.8,2484616.08,2620237.3200000008,2393155.12,2206672.24,2371977.64,2302389.44,2320757.92,2484265.28,2305941.04,2190814.08,2260463.72,2145806.4,2144091.88,2312193.08,2157910.08,2162715.88,2274913.36,2426188.32,2273080.92,2123672.0,2914459.320000004,2517576.399999994,2496934.52,2534772.36,2520332.2,2382983.1599999997,2447237.12,2391555.04,2525350.12,2265516.36
26,3496625.0000000005,3581960.5,3922992.0,3886161.5,3799936.0,3590202.0,3289402.0,3901511.0,3963337.0,4022110.5,2521531.0,2766219.0,2460134.5,2250649.0,2384814.5,2316485.5,2331528.5,2510722.5,2342945.5,2212796.0,2301937.5,2173801.0,2173848.5,2338964.0,2174302.5,2194286.0,2312970.0,2476130.0,2305321.0,2162235.0,2958932.0,2612629.5,2828593.0,2575622.5,2547114.0,2412377.5,2475212.0,2429837.0,2539506.0,2269116.0
27,3720844.2399999998,3753802.64,3967229.8,3905369.0,3900538.96,3710055.2,3377110.28,3945479.56,3975526.72,4093208.6,2536244.56,2809571.96,2490232.04,2301213.56,2417401.12,2337704.52,2356975.36,2613778.3999999994,2376310.24,2255768.1600000006,2321997.48,2237611.4,2195281.64,2408902.48,2212446.28,2256385.12,2326315.64,2490658.2,2327176.5999999996,2184066.0,3055227.4800000004,2872737.5999999996,2873438.04,2600510.2399999998,2584423.8,2431322.08,2478910.36,2441659.36,2643986.2,2288722.2800000007
