,218_1_moodle.org,218_2_moodle.org,218_3_moodle.org,218_4_moodle.org,218_5_moodle.org,218_6_moodle.org,218_7_moodle.org,218_8_moodle.org,218_9_moodle.org,219_1_moodle.org,219_2_moodle.org,219_3_moodle.org,219_4_moodle.org,219_5_moodle.org,219_6_moodle.org,219_7_moodle.org,219_8_moodle.org,219_9_moodle.org,219_10_moodle.org,220_1_moodle.org,220_2_moodle.org,220_3_moodle.org,220_4_moodle.org,220_5_moodle.org,220_6_moodle.org,220_7_moodle.org,220_8_moodle.org,220_9_moodle.org,220_10_moodle.org,221_1_moodle.org,221_2_moodle.org,221_3_moodle.org,221_4_moodle.org,221_5_moodle.org,221_7_moodle.org,221_8_moodle.org,221_9_moodle.org,221_10_moodle.org
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0,-113.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,4019.0000000000014,4040.16,4030.68,3059.6000000000013,3427.4000000000005,4047.04,3917.0000000000014,4036.72,4067.68,1404.3,1541.5,1428.8000000000004,-305.7599999999999,1399.4,1502.3,1355.3,1350.4,-347.07999999999976,1327.32,559.319999999999,1628.16,-565.5200000000002,-599.44,1617.8,1616.32,1623.72,1531.7,1580.8,1431.6,1463.1,1596.02,1355.76,1327.32,1438.6,1448.4,1347.86,1487.6,1526.8
2,4879.4,4014.84,6740.04,5625.44,5283.36,4639.28,4834.799999999998,4633.04,4359.76,2961.600000000001,1444.9999999999984,3223.3999999999987,1356.44,3468.1999999999994,2107.399999999999,3835.400000000001,3876.2,1507.84,4107.24,1555.4400000000005,1508.12,1463.88,1462.36,1533.6,1537.24,1519.04,1610.5999999999985,1246.6,3670.2,2769.8,2604.2,4045.32,4107.24,3141.7999999999993,3018.200000000001,4062.52,2355.800000000001,1693.4000000000005
3,8320.300000000001,7841.62,10515.599999999991,6489.26,8628.96,8309.380000000001,8175.6,8677.539999999999,8377.26,4126.280000000002,3589.8,3950.48,2155.7999999999984,4135.88,3563.88,4168.74,4104.08,4003.12,4364.4000000000015,3754.24,4079.72,4078.12,4051.64,4043.6,4038.44,4064.24,3583.32,3798.6,4883.8,3704.3599999999988,3638.380000000001,4536.4000000000015,4097.72,3880.16,3823.4800000000014,4163.799999999998,3554.16,3580.08
4,12061.6,11938.72,14222.559999999992,11695.400000000005,11974.76,11976.999999999998,11953.2,12210.0,11680.84,5176.36,5390.6,4965.76,3702.880000000001,5208.28,5144.96,4924.56,5031.3600000000015,4715.3200000000015,4956.24,5473.12,3946.88,4121.68,4170.04,4127.4,4123.16,4067.68,5578.84,5290.8,6010.799999999998,5195.52,5424.64,4428.24,4629.24,5105.92,5336.08,4433.64,5287.96,5235.96
5,33777.0,35753.5,19792.8,12367.7,34455.8,33131.6,33701.0,33012.1,34098.200000000004,6447.8,4434.5,5845.799999999994,5404.5999999999985,6464.4000000000015,4911.799999999994,6215.8,6997.4,4464.2,6436.5999999999985,4507.4,5026.5999999999985,5260.7,5159.2,5063.5,5334.2,5378.700000000002,7140.2,4273.0,8201.0,4267.799999999998,4389.200000000002,6646.200000000006,6984.399999999998,5548.599999999995,6572.4,6214.3,4284.799999999998,4324.2
6,34402.2,59642.08,41580.64,33195.36,35314.68,40431.959999999934,34293.399999999994,67926.51999999997,34496.16,8521.96,6114.4,8395.36,4832.56,8524.84,7623.959999999997,8250.679999999997,10064.88,6072.56,8644.92,8405.48,4427.04,4684.5600000000095,4296.3600000000015,4345.2,4662.08,4475.68,6677.2400000000025,8462.800000000001,11852.8,8196.08,7108.480000000002,8062.04,8317.92,8569.12,8659.88,8430.44,6248.68,6002.84
7,96429.8,156219.52,41992.84,35720.48,91950.44000000016,135890.3,94125.6000000001,186416.64,131312.03999999983,8297.819999999998,8245.3,7874.120000000003,6480.76,8095.16,8552.62,7850.2199999999975,13214.12,8168.319999999999,11019.200000000004,8382.56,6023.480000000001,8633.58,6191.76,5955.9,6271.96,8653.04,7698.860000000002,8168.799999999998,11821.000000000002,8165.26,8657.06,12135.12,10692.200000000004,8181.04,8569.960000000001,12006.96,8399.84,8138.48
8,167163.0,222064.59999999995,105863.95999999996,105756.76,195178.36000000004,169735.04,198025.60000000003,260852.76,169679.52,12251.92,7559.800000000001,11953.2,7354.039999999994,12262.16,11745.2,11967.32,12107.639999999998,7954.559999999998,12245.88,9916.199999999992,8300.44,8558.52,8308.44,8207.2,8475.88,8493.76,9383.48,7824.4,28848.20000000003,10089.2,11852.68,11794.000000000002,11679.44,12015.72,12361.44,11653.12,10711.200000000004,7891.600000000002
9,197655.60000000012,296593.7599999999,198909.92,214882.32,266465.2799999999,247278.1999999999,276124.60000000003,294698.9200000001,236709.4,11662.3,12094.6,11809.8,8449.98,11730.999999999998,12069.28,11815.000000000002,16399.68,12109.12,14511.119999999995,12047.68,8148.840000000001,9203.800000000003,8042.600000000002,7942.700000000003,8150.679999999998,8496.18,11517.54,11828.4,36568.2,11804.28,12182.64,12515.04,13373.96,11973.32,12014.719999999998,12471.94,11934.32,11910.16
