,290_1_www.commerzbank.de,290_2_www.commerzbank.de,290_3_www.commerzbank.de,290_4_www.commerzbank.de,290_5_www.commerzbank.de,290_6_www.commerzbank.de,290_7_www.commerzbank.de,290_8_www.commerzbank.de,290_9_www.commerzbank.de,290_10_www.commerzbank.de,291_2_www.commerzbank.de,291_3_www.commerzbank.de,291_4_www.commerzbank.de,291_6_www.commerzbank.de,291_7_www.commerzbank.de,291_8_www.commerzbank.de,291_9_www.commerzbank.de,291_10_www.commerzbank.de,292_1_www.commerzbank.de,292_2_www.commerzbank.de,292_3_www.commerzbank.de,292_4_www.commerzbank.de,292_5_www.commerzbank.de,292_6_www.commerzbank.de,292_7_www.commerzbank.de,292_8_www.commerzbank.de,292_9_www.commerzbank.de,292_10_www.commerzbank.de,293_1_www.commerzbank.de,293_2_www.commerzbank.de,293_3_www.commerzbank.de,293_4_www.commerzbank.de,293_5_www.commerzbank.de,293_6_www.commerzbank.de,293_7_www.commerzbank.de,293_8_www.commerzbank.de,293_9_www.commerzbank.de,293_10_www.commerzbank.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1192.7000000000005,1483.76,1983.2000000000016,4000.44,1557.3000000000009,1391.0999999999995,1179.56,3098.0000000000005,1446.500000000001,1052.5599999999997,4041.88,1253.7000000000005,4028.52,4072.84,4093.48,4041.88,4091.76,605.0400000000002,1444.24,1526.32,1328.9,1428.44,1442.66,1381.04,1099.5600000000004,1445.82,1434.76,4114.12,1444.24,1436.34,1482.64,1451.4199999999994,1544.52,1452.14,1466.36,1515.4,1499.02,1488.1
2,3258.8,4101.96,5361.88,4314.52,5421.64,5731.72,2324.52,5287.2,5378.4,5364.3600000000015,4677.16,2590.2000000000007,4482.16,4874.839999999998,4683.48,4679.16,4292.76,4036.119999999999,3599.52,4135.88,4103.8,2228.04,3601.68,3978.84,3657.400000000001,3597.36,3644.52,4678.12,3599.52,3631.68,3623.68,4108.32,4114.68,3588.72,3569.28,4045.6,3823.4800000000014,3669.2
3,6986.2,5438.680000000001,6163.02,8055.559999999998,6194.06,6701.62,3574.12,8549.4,6122.1,6136.159999999999,8206.36,7155.700000000002,8161.299999999998,8478.72,8487.84,8208.36,8115.82,11134.320000000005,4688.24,4651.44,4414.499999999997,6149.32,4958.38,5540.92,5646.460000000001,4939.32,5071.68,8260.960000000001,5212.32,4812.62,4919.160000000002,5861.560000000009,4472.879999999998,4624.6399999999985,5013.3600000000015,4641.8,4291.619999999999,4698.100000000001
4,7837.999999999994,8536.56,9161.800000000008,16639.480000000003,8549.400000000007,8283.44,9261.199999999997,14679.2,7834.000000000005,8000.44,16076.72,9298.999999999996,13468.92,16498.24,16482.28,16078.72,16099.36,16013.480000000005,5986.96,8592.560000000001,4636.8,6949.48,6299.56,4335.6399999999985,5810.2400000000025,8454.28,6138.32,14792.12,6728.839999999997,8335.84,5997.6399999999985,8570.52,8520.52,6069.56,6260.44,8667.6,8255.52,7188.399999999998
5,16366.0,14662.6,15919.7,21617.6,15938.1,16468.0,14106.8,18307.0,15853.5,12299.2,20875.599999999988,17253.0,17936.1,19486.0,16572.8,20877.599999999988,19140.5,19593.2,8317.8,11429.4,6136.5,8468.199999999999,8265.7,8558.800000000001,8439.699999999999,8600.9,8363.2,19703.4,8522.8,8107.3,7741.2,10918.600000000004,10898.2,8225.300000000001,7988.2,9727.0,7417.000000000003,7762.5
6,17990.19999999999,18360.04,19272.04,37909.52,19284.12,20032.56,17937.36,21711.2,17912.2,19240.16000000001,41494.599999999984,21760.8,40391.64,28381.439999999995,18660.92,39935.2,22149.99999999993,43761.200000000026,14218.64,15134.12,8330.4,13514.240000000005,10604.32,7800.159999999999,11735.200000000004,12808.639999999998,10803.36,19853.16,14698.52,11942.320000000003,14207.320000000003,16361.76,14958.480000000012,14329.04,12690.639999999998,16314.999999999998,16094.32,15494.599999999988
7,21414.2,19875.92000000001,23795.56,35294.84000000002,22857.48000000001,21266.500000000004,21707.92,38619.8,19711.1,21436.56,41783.08,34631.499999999985,40869.72,42351.08,21928.76,42118.08,42197.84,43220.52,15845.88,16552.2,10984.99999999999,15995.08,15259.480000000005,14464.76,16239.199999999995,18201.44,13931.920000000013,21876.88,16099.68,13981.779999999995,15956.36,16858.72,19686.2,17991.88,18211.12,17775.399999999998,17588.46,18192.2
8,33061.19999999998,25058.76000000001,37026.32,43569.960000000014,37339.28,32126.56,29777.959999999995,37548.000000000015,24986.00000000004,36914.76,48568.36,42279.2,50698.48,47799.36,45182.56,47485.76,44442.88,49326.88000000002,16255.12,22939.51999999999,15920.799999999996,17647.84,19590.32,18232.92,17995.04,19481.2,17696.36,34328.880000000005,18705.679999999997,18766.88,16958.039999999986,18147.68,20909.32,19120.12,19367.88,21749.6,21151.320000000003,19448.2
9,36262.7,36171.08,41648.64,63420.16,35173.58,32516.84,36650.04,46382.60000000002,36758.9,34990.36,52593.12,46407.7,65160.76,51203.96000000001,42056.12,53698.48,50648.10000000001,53418.24,16688.96,34220.76,18155.6,21700.76,21444.36,19808.84,21813.56,21306.48,21607.04,35943.96,21734.04,21282.72,19568.800000000007,22028.04,41381.24,21246.12,21164.68,38969.60000000001,21788.44,22001.199999999993
