,302_1_www.history.de,302_2_www.history.de,302_3_www.history.de,302_4_www.history.de,302_5_www.history.de,302_6_www.history.de,302_7_www.history.de,302_8_www.history.de,302_9_www.history.de,302_10_www.history.de,303_1_www.history.de,303_3_www.history.de,303_4_www.history.de,303_5_www.history.de,303_6_www.history.de,303_7_www.history.de,303_8_www.history.de,303_9_www.history.de,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
0,-442.0,-113.0,-442.0,-113.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
1,82747.4,27584.0,48768.52,34537.840000000004,33942.8,30404.74,32903.3,34099.0,33529.64000000001,30625.279999999995,8241.16,6191.58,8335.900000000001,8446.7,6123.499999999999,8701.2,8532.3,10295.72,18643.84,16232.72,29515.5,25230.91999999999,29340.4,19651.320000000007,29758.0,15730.300000000005,28920.28,29365.7,8254.74,6067.54,8342.6,8504.08,8294.800000000001,8864.400000000001,7868.46,7766.64,8359.800000000001,8427.44
2,550659.88,210653.0,460432.8799999998,296423.91999999987,138251.96,239211.83999999976,327952.2000000001,358126.0,380043.8,373904.6,24454.24,25779.36,24587.24,24380.24,26331.8,22556.559999999994,27983.04,24672.799999999985,52401.60000000001,70026.84,105181.8,101877.72,105304.32,56818.68,91371.0,80427.16,116657.76,95174.2,26742.12,23626.84,25161.72,25948.68,25800.2,25848.119999999984,26830.28,27199.0,22536.519999999964,36260.28
3,725388.28,590605.0,717170.2,650854.64,550125.1799999999,562341.96,515318.5,526774.5,582807.76,520495.12,82376.47999999995,56682.66000000001,78173.29999999999,65058.34,34703.000000000124,70442.63999999997,53678.56000000001,36131.26,196387.56000000003,253080.2,320552.49999999994,232290.2,281749.1600000001,160352.6,306647.0000000001,204813.9,277327.7599999999,316150.08000000013,57825.98000000002,34782.34,62348.2,87025.28,75588.59999999999,88409.28,71831.38,57940.72,80512.19999999997,78461.36000000003
4,942345.36,694705.0,840927.6,786339.6799999998,600155.4,674904.0,638404.8,669767.0,691781.72,742926.3999999998,154759.79999999993,129855.2,176289.35999999993,112555.0,98031.40000000004,121123.2,99046.72000000004,94705.76,451745.9200000002,513459.48,486856.6,424698.16,584896.1200000001,387565.8,452189.4,359111.96,461402.68,506641.96,152609.40000000002,139638.95999999993,128455.12000000005,180268.96,134692.2,123907.71999999994,140682.56,121763.68,138918.8,147938.19999999998
5,1191879.0,976672.0,1125027.0,1176393.3999999994,741896.2,807845.1,833876.0,916721.5,925173.7,1005007.6,261497.2,212741.0000000001,247708.1,183930.3,179739.5,182167.8,172209.9,160436.49999999994,554491.6,630039.4,635102.5,523861.8,723220.0000000001,521840.6,472174.0,532984.4,472900.4,616662.5,269841.0,217902.5,269405.6000000001,339215.2,245483.0,193738.0,277043.0000000001,270554.0,285501.0,322713.0
6,1653442.56,1276434.0,1757017.5599999996,1684427.8,938610.56,1059437.2,1088245.0000000005,1191569.0,1193895.76,1369219.28,435740.44,325067.2,327528.4799999998,253487.23999999987,329547.0000000001,245357.92,262627.96,258454.36,593287.64,738926.72,681885.2,528182.52,913770.36,546907.2,507211.00000000006,567230.96,545853.32,619285.28,443433.60000000015,410963.12000000005,438985.96,442030.72,422924.40000000026,305942.39999999985,427217.68,425788.04,455928.6399999998,439073.76000000007
7,2073427.4,1675266.0,2401515.88,2284334.0,1101061.6799999995,1294966.54,1356077.6,1477971.0,1384635.58,1654612.88,469566.2799999999,429650.9,417918.0799999999,356088.1,459126.9,377711.28,409172.9,350484.1,680243.2000000001,887587.48,722923.5999999994,622060.44,1124860.28,576970.44,613127.0,607004.2,679842.6,704908.84,528525.92,520983.74,522016.68,487786.04,456423.6,490525.44,463868.58,462234.52,527804.32,468267.12
8,2425512.52,2208215.0,2712393.76,2592618.96,1356886.8,1669216.2,1686333.4,1884952.0,1679361.2,1941583.84,502512.04,468776.92,447514.52,444841.96,473616.4,439757.36,479070.4,445724.76,819099.4,995938.6,822036.0,742163.4400000002,1157999.8,702072.7600000001,716761.0,696115.08,809714.9600000002,819591.0800000002,579310.92,569223.4400000001,650633.7200000001,538330.32,458905.8,588497.48,484330.4,486210.84,554413.72,507625.12
9,2773619.4,2471796.0,3278871.28,3189272.48,1713159.0200000003,2001860.6,1992840.4,2278649.0,1982420.1,2273238.2,520977.48,478252.26,480715.17999999976,490448.98,517298.1,448635.48,620811.6,491028.54,977623.36,1182012.44,1033057.7999999996,876906.48,1324771.64,832179.6400000001,794426.2,805813.4000000001,947610.8,959108.8,605451.28,613388.4400000001,660788.5599999999,602013.4,477155.0,610014.52,518442.02,528763.68,598243.32,538680.88
