index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,site
1_1_www.google.com,-442,1330.48,533.76,4478.44,4500.68,6710.4,8200.52,11883,12301.32,42569.48,82403,83599.24,83963.04,89563.16,92197.88,93524.2,95076.6,150784.04,181943.4,219094.2,228474.2,245063.52,248443.64,248292.64,277080.4,312934,315585.04,316838.8,321727.92,327333.28,329459.8,331048.72,332233.8,333627.6,358875.88,397404.4,398827.28,400567.44,400371.92,401946.72,404589.2,405489.64,405619.44,408553.2,409632.48,411751.6,412356.24,461383.84,465451.16,465936.32,130,176,28120,497926,www.google.com
1_2_www.google.com,67,1704.68,844.52,2823.72,4637.52,6675.4,7992.28,12808.64,21253.2,82710.44,85590.8,85952.68,91624.12,92929.92,93549.08,108683,167327.28,230745.36,248466.24,248275.88,300053,312679.48,313914.04,315888.48,318998.44,319710,318132.76,326189.36,331328.56,330737.76,330899.4,362642.8,400098.4,403819.72,405476.12,404958.8,411315.16,410994.52,412175.36,412959.32,415940.4,419393.08,425181.84,424338.28,455929.12,491568.4,492724.28,492593.44,494288.36,494256.68,150,184,30824,525097,www.google.com
1_3_www.google.com,-48,109.72,1543.8,851.38,2308.48,4485.1,7153.52,7200.38,7782.64,12623.28,12578.6,57930.4800000001,81908.64,83629.06,87225.72,91522.3,92992.48,93561.36,97811.8,155300.56,221251.6,234269.08,248186.24,249545.8,312392.04,313923.5,313383.24,315600.34,318848.76,319516.18,322742.8,330814.02,334059.44,334019.78,392000.52,398933.8,398528.44,400280.94,399705.04,405218.32,405732.8,407300.94,407651.08,408480.8,411040.04,424778,427420.68,459139.92,479376.56,481091.38,134,155,28048,510894,www.google.com
1_5_www.google.com,67,1553.6,708.72,4681.56,6206.08,8291.79999999999,10054.68,13628.36,13915.72,74937.1199999999,85783.2,87189.96,93363.68,94719.04,97738.84,163382,231978.4,250045.44,250228.76,254921.6,295412.4,322318.72,321794.52,324016.36,327191.56,329052,333999.84,336628.88,376067.2,388798.12,407488.4,408899.8,408803.04,414984.24,414597.96,416830.8,416342.92,419813.72,433981.64,436024.76,485841.599999999,490108.96,489579.76,493307.4,496563.96,497465.2,497470.56,500303.44,501761.84,502975.68,167,209,35397,540135,www.google.com
1_6_www.google.com,-442,1330.8,537.44,4178.08,4444.36,6924.6,8385.36,8479.8,12592.68,12721.92,40676.8,69369.2,81968.36,83727.36,85255.76,86776.6,92940.44,93552.2,124824.28,164041.16,214886.2,246687.28,245929.92,248015.2,269613.04,312960,314283.36,313973.08,315696.52,314993.24,318261.4,322916.36,357568.76,384789.76,384372.52,386699.6,387907.96,396249.28,400023.16,400786.16,402124,406550.12,407050.04,408258.84,408368.84,410673.6,436194.64,447342.4,462775.92,464512.16,123,175,26871,494994,www.google.com
1_7_www.google.com,0,-46.08,-236.16,1509.96,577.76,3339.4,4380.28,6642.76,6481.04,12621.28,12232.2,48349.16,82557.6,86169.28,85739.92,91879.8,93330.64,93180.08,119219.6,168114.32,213301.6,247238.52,248604.88,248246.16,313092.88,314684,314357.92,315967.64,319470.36,319614.68,320012,324494.16,326872.2,351541.64,370301.48,380189,401092.16,402798.84,404437.6,406089.2,407122.4,407875.48,411056.56,412026.32,411319.72,417914.4,416885.56,433448.96,482512.8,485485.72,135,169,28466,514067,www.google.com
1_8_www.google.com,-48,-176.52,1518.16,680.44,4571.32,4540.4,6109.56,6935.8,8223.76,9847.88,11743.8,12449.44,49959.4399999999,81340.36,82750.96,84540.2,86237.28,89976.12,91861.44,92450.48,111480,164915.24,223521.64,245437.04,247130.92,246664,249771,255379.44,282500.64,317916.56,319374.6,319057.88,320762.56,320753.2,323957.56,325016.2,327032.4,334844.36,334344.08,336370.16,354385.2,405974.48,407510.84,407038.48,408645.52,409065.4,413920.8,414535.24,415146.32,416216.28,124,152,26530,443191,www.google.com
1_9_www.google.com,67,1755,1350,2534,4728,7212,7207,7397,12564,29224,51534,82677,83879,83168,85482,93241,93775,93183,128065,171924,225512,246589,245585,247827,312821,314236,313843,315507,319043,318920,321273,320672,324594,332572,339146,338549,353450,393638,401632,403836,404863,408660,408779,408933,411924,412822,414478,417778,420790,423069,129,171,27734,501890,www.google.com
1_10_www.google.com,0,-146.4,-235.2,-88.8,-212.4,1692.5,470.800000000002,4675.3,4207.8,6624.4,7592,12438,12958.4,82658.6,82941.4,86040.5,87588.4,91437.6,93304.2,93857.1,129642,200108.6,246903.8,248658.7,256041,312925.5,314435.4,314131.6,316196.8,318843.6,320182,323219.3,349811.4,373176,386448.6,388357.5,389664,392389.5,399264.6,400695.9,403800,404620.9,407969.4,409109.7,409248,412794.5,444942.2,463657.1,464912.4,464696.9,137,168,27409,498024,www.google.com
2_1_www.google.com,67,2548.8,7244.2,15995.8,19589.4,32901,77208.4,90601.2,94120.6,93553.6,92868,116090,150057.6,197872.8,205133.2,236992,277015.2,346291.8,390239.8,403602.8,403725,408805.8,407311.6,427899.6,425962.2,424838,497419,581877.4,701910,754714,855582,1042877.8,1245500.6,1403670.2,1579249,1689700,1800930.2,1945271.6,2090070.8,2104992,2132179,2134783.2,2135309.6,2157611.8,2173317.6,2184559,2188524.6,2191697.2,2195633.6,2196307.8,322,568,65682,2262033,www.google.com
