index,246_1_taz.de,246_2_taz.de,246_3_taz.de,246_4_taz.de,246_5_taz.de,246_6_taz.de,246_7_taz.de,246_8_taz.de,246_9_taz.de,246_10_taz.de,247_1_taz.de,247_2_taz.de,247_3_taz.de,247_4_taz.de,247_5_taz.de,247_6_taz.de,247_7_taz.de,247_8_taz.de,247_9_taz.de,247_10_taz.de,248_1_taz.de,248_2_taz.de,248_3_taz.de,248_4_taz.de,248_5_taz.de,248_6_taz.de,248_7_taz.de,248_8_taz.de,248_9_taz.de,248_10_taz.de,249_1_taz.de,249_2_taz.de,249_3_taz.de,249_4_taz.de,249_5_taz.de,249_6_taz.de,249_7_taz.de,249_8_taz.de,249_9_taz.de,249_10_taz.de
1,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,80953.72,42449.0,62732.54,72691.32000000002,42076.6,80406.48,69524.78,61251.000000000015,135977.74,97080.14,1817.6000000000017,2314.3999999999983,3243.8000000000006,3896.5999999999995,2479.9999999999986,3937.4000000000005,3733.399999999999,4059.7999999999993,1859.0000000000007,4117.56,3855.8,4039.4,3345.8,3957.7999999999997,1778.8999999999987,4103.8,4040.16,4050.48,4086.9000000000005,3447.7999999999997,3644.5199999999995,5343.760000000001,4915.199999999998,5104.580000000002,4153.1,4099.84,3891.879999999999,4103.02,4086.06,4113.62
3,187412.6,150135.0,188206.96,177535.36000000002,81706.6,208405.48,168834.04,207183.8,218508.28,199322.63999999998,5254.64,5499.68,5066.72,4700.080000000001,5295.8,4878.5199999999995,5208.320000000001,4761.84,4943.599999999999,4826.279999999996,4987.639999999999,4847.12,5230.52,4636.76,5101.92,4647.8,4384.84,4598.36,4813.28,4930.32,6062.5599999999995,7978.72,8330.68,8219.84,8353.4,8448.24,8585.16,8610.32,9792.16,8393.28
4,434613.8000000002,397856.0,493642.1,370231.82,237228.99999999994,351366.6400000001,321030.36,349356.4,567884.1,462857.28,6051.06,6449.94,8495.92,8036.86,6538.599999999987,8553.34,8426.66,8258.78,8299.800000000001,9732.319999999998,8284.38,8324.039999999999,8617.72,8468.08,7720.919999999995,8389.4,8227.62,8357.06,8350.26,8272.62,15026.36,89017.16,78752.4,85268.2,31506.00000000004,35483.040000000015,15617.400000000003,17743.60000000001,16261.44,50241.340000000004
5,565816.48,637392.0,648675.6,571134.24,441356.0,618594.92,631814.24,577698.0,795590.08,758300.1599999998,8430.400000000007,10759.599999999993,13677.119999999999,15397.599999999999,11272.999999999995,15651.4,15826.960000000001,15760.8,10644.000000000004,11731.359999999991,15626.92,15808.4,13761.92,15792.28,12030.839999999993,15475.400000000001,17564.199999999997,16284.16,15887.6,15654.72,103895.84,111918.16,81709.28,91414.64,139468.8,76796.88,59075.91999999989,99157.52,38803.60000000002,115931.75999999998
6,787791.3999999999,768704.0,818752.1000000001,774430.2000000001,620956.0,765909.2,853174.6000000003,683697.0,1161392.5,1026333.5999999999,30580.00000000008,45546.79999999999,76144.80000000003,89496.1,60092.0,86816.1,67737.39999999994,84509.3,39035.0,15612.200000000003,63524.20000000005,86114.0,51174.4,50739.4,28042.999999999938,90266.0,53102.6,63803.9,86457.6,63308.20000000005,117908.8,197161.80000000013,149051.39999999985,115780.50000000001,171539.0,109425.6,114952.79999999999,110822.89999999998,102388.1,155931.6
7,995769.8,1000854.0,1101203.3599999999,1000338.8000000002,783821.3999999999,1021805.8,1076479.2,899512.6000000001,1434070.1199999999,1342358.16,88751.04,89143.28,84130.16,88963.24,87974.8,88537.2,87889.96,90998.68000000001,45396.799999999996,43677.71999999992,84991.35999999999,89703.64,48421.92,86038.96,89349.68000000001,87501.6,67050.52,74822.44,89592.16,82881.96,124354.40000000002,268175.16000000003,245124.76,125411.88,253977.8,113554.72,163538.63999999998,131974.96,126374.52,193419.84
8,1214965.72,1229558.0,1392371.9,1252477.7000000002,972322.0,1318894.72,1370031.6,1242358.2,1836252.52,1832721.68,111508.45999999999,93406.36,95910.64,126301.54,92372.3,90793.95999999999,92075.12000000001,108371.76,57204.4,95406.92,99701.26,94382.92,100507.32,97623.84,92825.12,101722.40000000001,104985.44,100330.90000000001,119477.51999999999,96633.33999999998,190861.96,322063.88,281954.3399999998,188668.74,296529.9,130020.56,183675.56,202162.92,175813.26,220174.02
9,1389444.1199999999,1560014.0,1748600.48,1569869.2400000002,1208475.4,1577640.08,1736261.76,1562727.4000000001,2154727.9599999995,2019070.0799999996,109736.80000000002,126762.87999999999,109629.72,134357.24,130539.6,142580.80000000005,160023.7999999999,147192.12,105045.2,107693.76000000001,127338.52000000003,152854.16,109786.92,146691.91999999998,128373.68,156218.79999999996,154150.72,110162.56,166705.36,116534.79999999999,295825.72000000003,377151.92,338636.12,272603.0400000001,334020.4000000001,138702.48,207644.27999999982,263765.48,242629.00000000003,244244.8
10,1655000.9999999998,1827237.0,2035998.3,1793820.9,1442289.0,1928628.2,1952283.2200000002,1932304.8,2615213.8399999985,2496066.8399999994,151653.32000000004,164067.18,156166.54,211985.58,171525.8,204836.02,233376.28,200202.34,154330.00000000006,136842.44,204619.26,233855.28,169439.15999999995,164678.24,152927.47999999998,205157.59999999995,184702.34,114282.02,232420.9600000001,213256.66,303800.56,477870.5200000001,376163.82,320929.3,367883.3,241209.24000000002,265012.98,301112.12,285384.02,328724.27999999997
