index,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de,287_1_www.dkb.de,287_2_www.dkb.de,287_3_www.dkb.de,287_4_www.dkb.de,287_5_www.dkb.de,287_6_www.dkb.de,287_7_www.dkb.de,287_8_www.dkb.de,287_9_www.dkb.de,287_10_www.dkb.de,288_1_www.dkb.de,288_2_www.dkb.de,288_3_www.dkb.de,288_4_www.dkb.de,288_5_www.dkb.de,288_6_www.dkb.de,288_7_www.dkb.de,288_8_www.dkb.de,288_9_www.dkb.de,288_10_www.dkb.de,289_1_www.dkb.de,289_2_www.dkb.de,289_3_www.dkb.de,289_4_www.dkb.de,289_5_www.dkb.de,289_6_www.dkb.de,289_7_www.dkb.de,289_8_www.dkb.de,289_9_www.dkb.de,289_10_www.dkb.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3968.04,3955.08,3563.88,3669.2,3961.56,3989.64,3604.92,3553.08,3650.94,3931.3199999999997,1225.0399999999997,1063.3400000000001,1560.9,1505.3200000000004,1497.62,1322.0599999999995,1519.04,1567.14,1429.8600000000001,1548.4400000000005,1618.94,3447.7999999999997,3774.2000000000003,4088.3199999999997,4059.7999999999993,4100.36,4100.36,3794.5999999999995,4102.08,1489.9199999999998,3529.4,3774.2000000000003,3611.0,3712.9999999999995,3345.8,1192.7000000000003,4096.92,4039.4,2728.4000000000005,3855.8
3,4393.320000000001,6282.48,8635.24,8538.6,5072.759999999998,4363.12,8387.92,8509.200000000003,5959.56,6221.720000000004,5623.92,5545.32,4095.6,4299.839999999999,3690.76,4133.76,4067.6799999999994,4269.96,4112.56,4089.24,4329.84,5226.32,5006.76,4571.32,4885.84,5092.639999999999,4539.36,5105.4800000000005,6966.44,4408.079999999998,5060.16,5097.68,5310.0,5015.6,4769.639999999999,5373.6,4434.92,4804.12,5420.36,5388.52
4,7979.26,9927.399999999998,18510.120000000003,19454.599999999988,7689.799999999998,8050.8600000000015,18442.42,16377.039999999995,16977.859999999993,9308.600000000006,6311.16,8109.120000000001,4333.5999999999985,4907.759999999998,4689.380000000001,6702.02,4766.24,4118.639999999999,5762.480000000002,4592.919999999995,6574.08,8560.460000000001,8213.539999999999,8464.74,8366.78,8412.88,8301.88,8326.16,10667.02,6130.28,8323.98,8473.48,8503.5,8217.400000000001,8096.56,6057.9,8234.36,8265.039999999999,8802.96,8697.06
5,20327.039999999997,20717.96,37796.91999999999,40714.8,20904.72,20695.64,20826.08,21984.44,20349.440000000002,20805.84,8176.96,7765.3600000000015,8354.4,8296.92,8560.12,10227.48,8620.039999999999,8328.56,8244.64,8500.64,8189.04,18650.52,18365.36,20331.52,16317.159999999996,18181.28,20151.36,17530.239999999998,13871.24,7861.679999999999,16903.399999999998,14884.36,18483.0,18304.6,14016.04,7955.8,20156.12,18137.24,15358.96,18626.72
6,39556.9,38974.9,40112.799999999974,39449.0,39651.2,39771.9,37849.8,28438.399999999998,38398.4,39378.399999999994,16814.8,20074.300000000003,16984.5,18410.2,9392.999999999996,12487.80000000001,8013.999999999991,14759.400000000001,18205.7,18776.4,20311.7,20811.399999999998,20574.0,21837.800000000007,21059.0,21088.8,20742.400000000005,20716.0,17506.000000000004,20139.600000000002,20570.2,20629.600000000002,20351.5,20453.0,20432.399999999998,20212.0,20942.8,20442.0,21134.6,20845.399999999998
7,47765.359999999986,72172.04,74962.87999999999,70386.2,63631.28,56959.87999999998,73638.92000000001,58192.039999999935,86072.2,67148.16000000002,20932.2,20548.2,20375.200000000004,20774.28,19976.920000000002,16035.04,20366.64,20776.96,20670.56,20991.76,21070.199999999993,40543.280000000006,39415.719999999994,38892.72,39974.52,39119.08,39207.08,40238.44,27754.2,20870.6,38294.36,38878.159999999996,21215.0,37921.200000000004,38207.92,20790.0,37123.76,37675.64,39162.32,38675.92
8,69832.84,99851.22,121528.85999999996,102684.4,76672.04,73979.44,89801.6,88426.94,95617.58,76519.88,32592.359999999997,32247.440000000002,26218.400000000052,33901.76,20699.8,26010.78,20641.399999999998,32924.34,33164.9,34465.920000000006,39401.36,38289.840000000004,70849.16,68175.16,43673.35999999999,49294.76000000001,65211.24,55481.32,28603.220000000005,39375.880000000005,54426.06,40795.38,38458.5,66398.20000000001,50515.60000000004,38445.3,66310.35999999999,38397.76,38567.84000000002,50065.56000000002
9,97989.56,123366.68000000001,135482.36000000002,135375.2,112150.63999999996,93071.96,135036.08,110749.24,154047.2799999999,120110.32,54074.600000000035,32841.08,31953.399999999998,34253.08,32923.32,28480.68,33008.48,30943.72,62683.08,32653.43999999998,67360.15999999997,75526.95999999999,93572.12,74178.16,77043.64,72917.16,117060.52000000003,73101.04,48566.2,41854.719999999994,62643.36,68366.12,70206.0,78607.2,78538.68,40876.999999999956,97038.23999999999,44523.44,61054.92000000003,72328.72
10,133982.54,139104.26,214930.91999999995,194640.79999999973,134222.24,128651.92000000001,138083.6,143279.66,234717.44000000015,135507.28,62269.04,37082.34,49281.299999999996,52089.32,31129.36,40811.979999999996,31094.280000000002,44947.719999999994,64202.38,60894.4,93729.24,118634.76000000001,121229.53999999998,105304.22,116182.58,96753.03999999996,131900.16,95341.76,45918.64,63683.2,66378.68000000001,77517.62,89238.5,114987.99999999997,83232.56,65661.9,107588.08,56749.32,78291.88,96562.14
