index,298_1_www.wolframalpha.com,298_2_www.wolframalpha.com,298_3_www.wolframalpha.com,298_4_www.wolframalpha.com,298_5_www.wolframalpha.com,298_6_www.wolframalpha.com,298_7_www.wolframalpha.com,298_8_www.wolframalpha.com,298_9_www.wolframalpha.com,298_10_www.wolframalpha.com,299_1_www.wolframalpha.com,299_2_www.wolframalpha.com,299_3_www.wolframalpha.com,299_4_www.wolframalpha.com,299_5_www.wolframalpha.com,299_6_www.wolframalpha.com,299_7_www.wolframalpha.com,299_8_www.wolframalpha.com,299_9_www.wolframalpha.com,299_10_www.wolframalpha.com,300_1_www.wolframalpha.com,300_2_www.wolframalpha.com,300_3_www.wolframalpha.com,300_4_www.wolframalpha.com,300_5_www.wolframalpha.com,300_6_www.wolframalpha.com,300_7_www.wolframalpha.com,300_8_www.wolframalpha.com,300_9_www.wolframalpha.com,300_10_www.wolframalpha.com,301_1_www.wolframalpha.com,301_2_www.wolframalpha.com,301_3_www.wolframalpha.com,301_4_www.wolframalpha.com,301_5_www.wolframalpha.com,301_6_www.wolframalpha.com,301_7_www.wolframalpha.com,301_8_www.wolframalpha.com,301_9_www.wolframalpha.com,301_10_www.wolframalpha.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,0.0,-442.0,-442.0,-442.0,-442.0,-1363.0,-1363.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,0.0,0.0,-442.0,-442.0,-442.0,-442.0
2,1257.3799999999999,1408.2999999999997,1557.26,3054.2200000000003,2645.5999999999985,1278.9400000000005,1553.6200000000001,1114.1000000000006,1332.8400000000001,-18654.48,3711.7999999999997,4086.6,3336.6999999999985,3987.48,154158.32,92368.68000000001,1729.7,1221.4600000000003,1740.26,1672.26,4033.56,4143.0,4091.76,1664.98,4079.72,4114.12,544.6800000000001,1700.0000000000005,1339.9000000000008,3524.000000000001,6255.680000000001,5332.9600000000055,7089.38,7291.200000000001,142839.30000000002,191897.91999999998,8429.92,5524.78,8629.52,9116.760000000002
3,5456.24,4951.800000000002,4099.84,11013.04,4430.080000000001,5444.44,4171.92,5220.08,4144.36,-16341.84,4994.360000000001,4652.599999999999,5260.4400000000005,4366.84,234714.63999999998,154317.0,4457.56,5079.04,4174.12,5400.919999999999,5020.4800000000005,4562.0,4556.76,3943.44,5631.320000000001,5460.12,1768.1599999999996,5218.2,5463.96,5507.4,26474.04,27238.88,29329.68,31605.2,243044.80000000002,306070.8,34398.76000000001,16059.760000000002,27026.96,23773.839999999975
4,6162.219999999999,4743.299999999999,4272.4400000000005,14880.74,8938.799999999996,6575.12,4443.28,6739.22,4893.120000000001,-14533.84,6306.480000000002,8525.2,8424.86,7997.5199999999995,345202.04,179462.68000000002,4762.42,8400.08,7323.46,7504.279999999996,8280.16,8576.0,8371.82,7322.84,5882.76,8614.24,4907.72,8293.800000000001,8645.92,8552.6,32545.04,28647.880000000016,29108.84,39929.799999999996,314319.00000000006,399666.92000000004,34761.82,37224.26,34314.56,34474.48
5,7940.12,8671.599999999999,8194.76,16288.32,10622.88,8565.760000000002,8307.12,5679.800000000004,8355.039999999999,-13647.76,9433.64,18824.8,18685.32,28039.76,438717.2,217335.0,8951.84,18275.039999999997,15630.199999999995,8465.799999999996,13402.16,19166.0,18827.72,9356.199999999997,13172.64,14015.400000000001,6680.84,18685.600000000002,13211.119999999999,15213.4,52407.719999999994,46504.72,39651.44000000001,50864.4,456584.52,539487.12,46497.88000000002,45771.11999999999,46875.92,43480.56
6,18993.399999999998,14403.0,14394.6,20120.7,14063.1,18840.199999999997,11704.9,11403.7,6516.8,-11468.4,15762.999999999996,26259.0,27024.500000000004,24533.399999999998,523577.2,258256.7,19530.2,27517.7,26768.500000000004,27987.2,21930.6,27782.0,28035.3,19339.1,20935.4,29065.6,19515.800000000003,28702.0,25946.300000000017,21325.0,56813.299999999996,51540.20000000002,48472.899999999994,59711.0,480353.3,553832.8,54019.09999999999,54783.9,55484.29999999999,55804.2
7,48742.8,28120.800000000007,29474.56,39315.200000000004,19574.159999999974,35569.79999999999,18615.32,12448.08,17686.239999999998,-1210.4800000000007,26467.760000000002,25954.600000000002,24220.68,24719.64,588889.6,262332.88,26920.920000000002,27237.48,28163.92,25897.88,20476.56,24935.0,25142.720000000005,29405.32,26466.56,28290.52,29584.64,26060.8,27328.12,28224.599999999995,58820.96000000001,60316.87999999999,53744.04,72605.59999999998,508644.4,608494.64,60591.35999999999,53823.79999999999,56745.68,60043.36
8,74223.1,44427.000000000015,44939.7,50930.700000000004,41080.07999999998,55213.08,42017.3,26323.84,48710.35999999999,16249.400000000001,34498.240000000005,24265.800000000003,24866.34,30528.32,681211.2,262697.32,26770.82,25311.98,26511.92,23357.98,18075.239999999998,25484.0,25399.14,27595.54,34844.52,26498.44,27039.44,26282.8,24366.859999999997,25386.199999999997,63705.82,73190.08,67874.72,100136.2,553422.26,646420.7999999999,71371.81999999999,94700.76,79827.64,65573.31999999999
9,105188.4,71849.60000000003,70763.79999999999,54679.72,63174.399999999994,71929.35999999999,70797.68000000002,39720.8,101256.31999999999,40978.83999999998,34559.24,32885.2,28489.32,35006.08,811852.0,266406.96,25084.559999999998,28364.52,27056.079999999998,26806.52,24156.44,29325.0,29076.04,27618.76,32182.12,26697.92,27126.52,29355.399999999998,27871.12,24397.400000000012,96001.08,92330.36,90028.32,108956.2,623086.16,720217.32,94668.44,113341.71999999997,88945.12,107617.12
10,111178.38,99197.90000000001,108056.55999999998,58458.46,82167.7,108452.43999999997,104540.84,65085.080000000016,110821.72,84549.76000000001,32673.12,36832.4,34573.94,38906.560000000005,884391.88,281337.66,30972.14,33733.83999999999,33202.34,32877.22,28166.48,35480.0,35084.74,25780.579999999998,35310.32,30105.88,27837.640000000014,33493.4,32358.16000000001,29843.6,100177.02,100629.04,100014.74,167658.4,666912.5599999999,800763.64,97326.34,128996.96,100933.54,119646.44
11,124042.79999999999,122970.0,122586.4,60033.8,103254.0,110365.2,118995.0,97865.60000000003,120040.99999999999,99420.6,38602.6,41074.0,41088.200000000004,45632.6,1049970.8000000003,283546.8,36190.400000000016,38785.8,39831.6,35009.8,36544.4,46231.0,41199.4,41079.2,43548.800000000025,36065.8,33996.799999999996,37287.0,43051.6,40971.0,108088.59999999992,100812.2,102758.60000000005,201814.0,707372.6,889866.6,106815.2,133283.8,104227.4,121485.4
12,145414.3,126690.8,126179.96,65044.26,117825.3,114277.12,126366.52,114160.34,129769.48,100756.88,42984.36,44679.00000000001,43853.58,43933.44,1178395.8,287104.36,39510.06,42650.54,42126.44000000001,39333.380000000005,38852.67999999999,46314.0,44442.299999999996,40630.74,45396.12,38371.52,40735.48,42479.000000000015,44443.66,42530.799999999996,122083.18000000001,125444.98,100610.96,252037.6,760012.98,919585.44,103586.86,144788.58,103955.09999999999,138970.84
13,171432.32000000004,142256.8,128280.96,109572.36,121702.75999999997,140801.51999999993,136588.12,126349.72,156163.64,109907.4,47370.12,44491.399999999994,45655.56,45323.12,1259319.5999999999,286913.44,43832.96,45028.12,42135.84,40730.76,36873.56,46302.0,45305.28,40065.44,49802.04,44223.840000000004,42695.52,46818.799999999996,42935.479999999996,43825.2,153928.76,150718.52,115432.59999999974,302320.6,816360.8800000001,988058.8,106323.80000000005,181238.1199999999,111972.84,140927.92
14,201647.58,174587.0,158070.58000000002,117423.96,147731.53999999995,157241.25999999995,155122.06,144671.3,197138.43999999997,124847.52,48706.16,43326.8,45983.82,50985.48,1300033.48,291213.14,47453.34,46368.22,49818.56,46176.979999999996,37873.52,47233.0,45124.18,44338.74,47748.840000000004,42550.12,43359.76,46384.19999999999,44076.46000000001,41867.4,203450.3,244293.62,126292.86,348861.2,852335.92,1097319.0799999998,125843.95999999999,221033.1399999999,124490.67999999998,157301.91999999998
15,235922.56000000003,190140.00000000003,186291.71999999994,122434.76,170008.19999999998,188408.44,157387.16,188623.08000000002,237634.6,148840.28,51154.920000000006,44368.600000000006,45415.04,52909.520000000004,1323169.32,297353.92,45112.95999999999,46369.64,62632.32,45314.64,38869.319999999956,49904.0,47195.19999999998,46558.76000000001,48825.24,41465.24,41784.52,46802.79999999999,49244.20000000002,42651.799999999996,235990.56,278998.88,159340.08,438924.00000000006,909250.76,1160725.84,146951.84,293920.88,158615.99999999997,185021.83999999988
