index,330_1_www.wetter.com,330_2_www.wetter.com,330_3_www.wetter.com,330_4_www.wetter.com,330_5_www.wetter.com,330_6_www.wetter.com,330_7_www.wetter.com,330_8_www.wetter.com,330_9_www.wetter.com,330_10_www.wetter.com,331_1_www.wetter.com,331_2_www.wetter.com,331_3_www.wetter.com,331_4_www.wetter.com,331_5_www.wetter.com,331_6_www.wetter.com,331_7_www.wetter.com,331_8_www.wetter.com,331_9_www.wetter.com,331_10_www.wetter.com,332_1_www.wetter.com,332_2_www.wetter.com,332_3_www.wetter.com,332_4_www.wetter.com,332_5_www.wetter.com,332_6_www.wetter.com,332_7_www.wetter.com,332_8_www.wetter.com,332_9_www.wetter.com,332_10_www.wetter.com,333_1_www.wetter.com,333_2_www.wetter.com,333_3_www.wetter.com,333_4_www.wetter.com,333_5_www.wetter.com,333_6_www.wetter.com,333_7_www.wetter.com,333_8_www.wetter.com,333_9_www.wetter.com,333_10_www.wetter.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,29.0,-442.0,-442.0,-442.0,-442.0,-2219.0,-442.0,-277.0,-442.0,-442.0,150.0,-442.0,-442.0,-442.0,67.0,-442.0
2,392320.02,371740.9200000003,464071.2,177500.0,629963.98,179607.84,173130.2,180876.9,939091.7999999999,846002.88,8587.48,6055.5999999999985,8641.12,16496.84,10960.199999999999,16590.799999999996,16985.04,17040.62,16417.28,12916.1,166793.4,158886.92,32331.5,171287.4,134315.56,222428.2,421811.2,151411.0,239226.55999999985,202199.78,5445.68,5852.44,14116.16,9703.199999999999,6233.78,6062.86,8371.88,9143.400000000003,14047.499999999996,14142.800000000003
3,1054910.84,653360.0800000001,720611.6,226905.0,1078934.04,215838.04,209737.8,200472.6,1393299.48,1221933.3999999997,47670.08,59790.2,44192.92,46190.16,55045.2,43361.64,46699.88,51946.240000000005,53913.08,32460.52,720338.9599999998,908607.84,54166.0,916708.08,176566.56,1032064.0,664107.36,781085.3999999999,1049561.6,967054.0400000002,45951.52,46438.840000000004,45787.880000000005,39679.20000000001,44627.48,43378.68,44149.68,45638.84,42480.2,45214.56
4,1238605.46,773622.5600000002,949223.8000000002,447326.0,1370218.04,414601.08,394433.39999999997,389251.2,1692000.76,1799198.92,52633.88,55641.79999999999,48929.600000000006,59533.15999999998,62741.4,55940.12,59152.92,59948.67999999998,86365.12000000001,59536.86,1139503.32,1188542.8800000001,111153.0,1205196.2999999998,520912.4,1384605.4,985134.46,1111647.5999999985,1384254.96,1314912.5600000003,50337.840000000004,50821.76,54027.96,50583.799999999996,42951.54,48475.02,43137.52,53295.72,56250.199999999975,55470.08
5,1405494.2,986885.64,1071837.2,681429.0,1603583.0,755885.28,714874.6000000003,656046.2000000001,2079609.48,1979195.76,71051.12,75827.80000000003,66685.12,90903.60000000002,87202.8,88707.04,76960.16,70513.24,87165.31999999999,89316.08,1323997.56,1361322.12,249656.0,1440522.44,907743.52,1612611.4,1218206.52,1294579.5999999994,1594565.56,1554842.88,65190.12,56663.76,70518.88,62882.200000000004,59863.12,72483.84,56564.719999999994,72168.68,65611.6,86842.68000000001
6,1500856.1,1254045.5999999999,1224632.0,919755.0,1792968.9,868016.3999999999,832508.0,808881.5,2758891.4,2351650.4,77455.00000000001,80019.0,79487.4,105939.20000000007,89517.0,88264.8,107211.00000000004,85106.6,117409.4,125620.49999999999,1445523.2000000002,1520708.7999999998,429049.5,1626165.1,963366.4,1848015.0,1288040.1,1425457.5,1822447.2,1670757.8,92955.59999999999,64840.200000000004,109791.99999999996,70433.0,74111.4,73168.2,73709.6,127888.6,103225.0,229822.80000000002
7,1751464.56,1395756.48,1323831.6000000003,1066924.0,1957070.68,969340.12,954198.4000000003,926601.8,3455461.7199999993,2748683.12,128000.60000000002,121362.80000000056,177417.00000000003,220713.75999999983,216480.4,132388.52,220656.40000000002,151408.27999999997,198333.08000000005,211940.40000000002,1606806.96,1674579.8,729962.0,1853683.6800000002,1145235.68,1933501.8,1579931.04,1580887.9999999988,1946618.96,1866724.1200000003,95604.08,109842.4,241533.44000000003,120058.2,81365.8,151024.47999999998,96016.72,284403.39999999997,192148.99999999997,485343.8
8,1862955.68,1540885.8000000003,1633679.6000000008,1127423.0,2388555.56,1058591.64,1082659.0999999999,1080301.2,4075685.54,3041911.68,231928.4400000001,286315.20000000007,335440.56,524586.9,420975.00000000006,215040.19999999998,420210.3200000004,287418.94000000006,349055.60000000003,342865.0800000001,1780411.72,1909541.46,922647.0,2067291.44,1283586.92,2124914.8,1842963.56,1814525.4,2102778.479999999,2021654.38,130713.52000000002,125528.59999999999,372659.2,226996.0000000001,145590.48,334659.7,120548.44000000005,471299.12,371345.5,618013.92
9,1998543.04,1605315.76,1723947.4000000004,1197601.0,2603398.8,1106000.48,1105527.0,1102541.6,4267035.759999999,3429746.12,337244.4,507209.80000000005,511736.88,774201.6400000001,590868.0,370352.19999999995,599185.2000000001,411385.8,520561.00000000006,482108.08,1815193.52,1971311.3599999999,963474.0,2289605.36,1358183.04,2369876.6,2231207.4,1908482.4,2399773.28,2229713.8400000026,228335.16,157492.83999999997,555697.8799999999,397473.0000000002,386463.16000000003,523963.56000000006,224472.44,625621.36,556228.0,686036.0800000001
10,2146400.4400000004,1889593.2400000044,2294792.0,1326522.0,2755316.92,1263010.16,1146159.8,1247879.2,4521649.3,3790770.16,576844.4799999999,802779.6000000001,688935.3999999999,897654.46,869936.4,557578.32,872503.8,537784.5999999996,716437.2,619483.7,1976495.2000000002,2041006.02,1132899.5,2370976.5399999996,1416114.96,2668317.0,2774602.659999999,1969875.2,2520879.0800000005,2308233.42,394561.11999999994,316974.76000000007,704938.5599999999,536117.8,559761.36,700992.54,439304.2,719027.4,704699.1,769661.6
11,2574264.6,1959498.2,2424193.0,1390240.0,3192568.399999999,1322520.8,1171266.0,1283829.0,4934712.2,4425566.4,792255.4,891213.0,864965.6,904568.8,896575.0,712297.0,880221.0,694777.0,888301.8,741711.0,2051934.0000000002,2163006.6,1191431.0,2521754.8,1457121.0,2906950.0,2916543.8,2075721.0,2657319.2,2553119.2,615245.2,492600.6000000004,814937.2,630106.0,708589.6,793408.2000000001,610520.6000000001,725612.8,727184.0,794765.2
12,2714785.28,2232303.4000000004,2521353.600000001,1437497.0,3858913.12,1386696.76,1353654.8000000012,1322420.2,5496467.2,4813157.04,880243.6000000001,901880.2,871113.32,942918.42,900529.2,861964.48,898553.88,850045.3799999999,912863.3600000002,788304.58,2162978.36,2518744.22,1293249.5,2787626.96,1616264.6800000002,3417890.2,3269080.66,2298106.9,2873810.2800000003,2819632.22,739221.76,657880.16,823564.52,725617.0,730218.52,830813.1,727547.8,747423.92,830317.2,893195.08
13,3252224.96,2262322.36,3371253.0000000037,1490550.0,4211260.68,1414434.2,1385058.5999999999,1346232.5999999999,5714029.680000001,4950199.880000001,908397.2000000001,953557.0,882791.36,1017762.68,970482.7999999999,885063.4,948403.8,883927.56,962761.84,797930.16,2474419.4400000004,2591661.52,1349391.0,2921789.3600000003,1916217.2000000002,4081258.8,3755171.52,2422837.9999999995,3197012.16,3125865.7200000007,755502.36,743346.04,858073.6800000002,827282.0,735689.88,890445.36,739535.08,870806.8799999995,878091.2000000001,937455.36
14,3404965.06,2468889.64,3785448.2,1536500.0,4422692.18,1503565.6,1460080.3,1401236.6000000003,5974197.220000001,5097339.24,936638.48,1000742.8,930530.9199999999,1136397.96,1087545.2000000002,943053.6,988641.72,926965.8999999998,1026197.56,856087.26,2682753.48,2707087.7600000002,1495413.5,3204065.8200000003,2274169.4,4230581.800000001,4379566.04,2637566.4,3343492.08,3926559.2600000002,767666.76,861870.2400000001,929310.56,837896.4,757422.1000000001,915685.96,748750.04,934438.6,930030.3,966661.72
15,3533410.16,2501058.2800000003,3868911.0,1563500.0,4510835.36,1582380.32,1504615.6000000003,1503534.2,6151212.680000001,5295289.84,1005141.92,1178015.4000000004,963706.6,1255487.28,1244481.4,986485.4,1117280.1600000006,943618.72,1090578.4000000001,914873.72,2941359.56,2769884.08,1509885.0,4020102.76,2665268.76,4472915.8,4495658.88,2746839.3999999994,3486521.0399999996,4299205.4399999995,881585.8,885367.16,936653.48,896591.6,763820.2,936414.44,768473.64,975979.8,999888.6000000001,1133669.16
16,3658481.5,2606023.2,4008835.0,1636961.0,4649590.999999999,1603321.1999999995,1530993.5,1523297.0,6353806.100000001,5527121.8,1108541.4,1272116.0,1112132.0,1339718.7,1283448.0,1043623.3999999999,1281406.0,970969.5,1210127.2000000002,979932.7,3097732.2,2832096.4,1558814.0,4533345.7,3197191.8000000007,4628468.5,4630220.3,2913045.5,4478796.999999994,4464117.7,948606.0,915223.0,963531.1999999997,922801.0,905498.1999999998,964362.0,789556.8,1085342.2,1055744.5,1151094.0
17,3936316.04,2830640.6,4346412.6,1652594.0,5160076.28,1642857.92,1544751.6,1549577.2000000002,6479693.92,5771108.64,1232132.36,1299231.6,1243021.2,1418976.28,1301381.0,1088838.7599999998,1319937.12,1066429.12,1277712.68,1038147.24,3239776.64,2993295.64,1603449.0,4754099.640000001,3973233.36,5118431.8,4705830.6,3249558.9999999995,4734189.04,4615173.359999999,965143.32,945495.64,1100378.3599999999,934857.2000000001,943303.16,1064091.36,940631.0,1319982.2,1123506.4,1256079.64
18,4418657.86,3234908.9600000004,4539010.3999999985,1697579.0,5252035.88,1643583.8,1590385.2999999998,1597712.1,6587904.54,6256392.84,1294730.96,1333301.200000001,1276834.6,1498983.3,1312242.2,1161240.28,1330676.84,1149659.3599999992,1303334.16,1099666.34,3371243.6399999997,3180766.18,1651591.0,4870299.68,4467783.72,5203639.600000001,4815256.36,3375416.6999999997,4936476.2,4748246.36,1073990.04,999665.5599999999,1284556.36,959664.8000000006,968013.2000000001,1267424.36,956324.28,1453361.56,1204460.5,1274351.8
19,4661610.12,3436382.6000000015,4656392.4,1730887.0,5331027.88,1665792.84,1638873.2000000002,1702987.2,6677985.12,6436524.2,1316355.64,1472234.8,1319159.96,1593700.92,1376056.4,1236951.32,1348608.6,1187361.7999999998,1321694.28,1168815.24,3681432.72,3349559.56,1668238.0,5001007.76,5253127.68,5291405.399999999,5018982.44,3491613.8,5362076.72,5011932.200000002,1296578.88,1005523.68,1404618.04,1102013.2,1126468.8399999999,1487091.9999999998,986195.24,1480879.92,1320709.5999999999,1430771.8
20,5017973.559999999,3719345.68,4763270.8,1789268.0,5593023.98,1675427.28,1685661.6,1723859.8,6877826.64,6629248.64,1344411.2,1565760.2,1324487.8,1700974.48,1426863.6,1255648.0399999998,1416618.68,1234662.78,1337508.28,1204308.3,3840940.76,3506693.5600000005,1735907.0,5236557.879999999,5854753.279999999,5397498.199999999,5089636.82,3627840.2999999993,5556035.44,5148233.26,1344495.92,1115462.6,1516457.4,1245661.0000000002,1287522.06,1778962.52,1060621.28,1564133.2000000002,1490887.7,1693700.4800000002
21,5113622.2,3824615.6,4857950.0,1820580.0,5687079.600000001,1690072.5999999999,1738624.0,1771231.0,7003962.6,6700949.2,1442887.0,1577641.0,1339184.0,1717919.4,1502302.0,1299538.0,1418114.4,1342561.8,1414011.6,1289252.4,3968141.0,3812299.399999994,1760468.0,5311886.6,6061379.2,5655043.0,5244101.4,3750043.0,5903963.2,5214689.2,1392057.4,1223733.8000000005,1581075.4,1441633.0,1295655.8,1983769.4000000001,1121134.6,1785985.0000000014,1657662.0,2011972.4000000001
