index,153_1_www.icann.org,153_2_www.icann.org,153_3_www.icann.org,153_4_www.icann.org,153_5_www.icann.org,153_6_www.icann.org,153_7_www.icann.org,153_8_www.icann.org,153_9_www.icann.org,153_10_www.icann.org,154_1_www.icann.org,154_2_www.icann.org,154_3_www.icann.org,154_4_www.icann.org,154_5_www.icann.org,154_6_www.icann.org,154_7_www.icann.org,154_8_www.icann.org,154_9_www.icann.org,154_10_www.icann.org,155_1_www.icann.org,155_2_www.icann.org,155_3_www.icann.org,155_4_www.icann.org,155_5_www.icann.org,155_6_www.icann.org,155_7_www.icann.org,155_8_www.icann.org,155_9_www.icann.org,155_10_www.icann.org,156_1_www.icann.org,156_2_www.icann.org,156_3_www.icann.org,156_4_www.icann.org,156_5_www.icann.org,156_6_www.icann.org,156_7_www.icann.org,156_8_www.icann.org,156_9_www.icann.org,156_10_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1553.6200000000001,1889.699999999999,1440.6399999999999,1472.9800000000002,1559.0800000000002,1529.96,1533.6,1462.2000000000003,1225.0399999999997,1472.9800000000002,1445.82,1447.3999999999999,1486.28,1404.74,1409.48,1488.1,1453.72,1463.2,1547.6000000000001,1513.5800000000002,1422.1200000000001,1431.6000000000001,1489.9199999999998,1488.1,1420.54,1414.22,1528.1399999999999,1442.66,1539.06,1480.82,-341.02,-346.96,-309.34,-344.98,-344.98,-344.98,-358.84000000000003,-360.82,-309.34,-346.96
3,4104.08,5387.68,4110.44,4391.759999999999,4619.360000000001,4131.64,4158.4,4106.2,4497.520000000001,4104.08,3597.36,3595.2,3645.76,3888.4800000000005,3849.96,3669.2,3586.56,3573.6,3582.2400000000002,3997.360000000001,3996.52,3670.2,3692.639999999999,3669.2,3760.08,3811.44,4164.76,3601.68,4152.04,3575.4399999999996,-259.28000000000003,-251.92000000000002,-503.76000000000005,-247.96,-247.96,-247.96,-275.68,-279.64,-503.76000000000005,-251.92000000000002
4,4414.28,6323.94,5671.519999999998,5536.639999999998,5040.36,4631.32,6722.400000000001,5763.599999999995,6306.92,5265.639999999998,5175.26,5125.2,7021.24,4809.82,5451.52,4760.100000000001,4640.280000000001,5459.8,4975.88,4230.86,5242.76,4946.8,4991.4800000000005,4622.100000000001,5678.42,5055.780000000001,4422.38,4968.16,4001.64,4774.42,-490.03999999999985,-580.16,1638.52,-603.0799999999999,-603.0799999999999,-603.0799999999999,-442.64,-419.72,1638.52,-580.16
5,8306.12,10619.599999999993,8270.84,8524.88,8881.84,8534.08,9903.4,8622.199999999999,8132.159999999999,8253.88,6877.120000000001,6127.599999999999,10233.48,6019.08,6553.48,7260.399999999997,8309.88,6490.400000000001,8556.52,8278.52,6518.920000000002,6811.6,8383.92,8434.6,6769.6399999999985,6201.72,8349.720000000001,8434.64,8120.56,6467.279999999996,1634.08,1277.4399999999996,1477.8,1458.7199999999998,1458.7199999999998,1458.7199999999998,189.75999999999976,8.479999999999563,1477.8,1277.4399999999996
6,13516.400000000001,22107.899999999998,10805.000000000004,15041.6,12152.60000000001,11345.00000000001,11500.0,15124.0,14637.000000000005,14770.6,8508.9,8462.0,12866.6,8061.7,8446.4,7844.5,7850.4,8579.0,8030.599999999999,9135.000000000011,8088.599999999999,10246.0,7961.599999999999,7706.5,8512.699999999999,8136.099999999999,10934.99999999999,8585.7,13155.699999999993,7992.100000000003,1573.8999999999999,1580.8,1376.3,1573.4,1573.4,1573.4,1625.2,1632.6000000000001,1376.3,1580.8
7,21714.2,39197.599999999984,22084.56,22339.440000000002,22900.96,20989.6,15364.599999999988,22506.19999999999,23987.84,21897.279999999995,14957.72,14891.4,13914.92,10924.04,11221.399999999998,14693.599999999997,14203.12,14818.199999999995,13079.48,14208.6,10796.599999999999,12278.799999999997,14233.08,15361.19999999999,10980.200000000004,11600.119999999997,30678.08,14896.36,30141.72,14328.279999999999,1615.6,1379.8,1482.64,1350.4,1350.4,1350.4,1556.2,1571.92,1482.64,1626.04
8,23989.579999999998,60553.840000000004,27391.88,28649.219999999987,26094.600000000006,24130.720000000005,15639.99999999999,42449.999999999985,35773.8,41678.89999999998,14289.000000000002,15838.399999999976,15941.159999999998,14100.58,14566.399999999998,16214.1,28887.43999999999,15624.000000000004,16730.719999999987,28573.879999999997,27173.72000000001,13891.2,29825.88,29818.3,14239.18,23569.879999999983,31191.28,28769.04,33532.54,30556.52,1411.06,1377.8799999999999,1365.1799999999996,1388.94,1388.94,1388.94,1350.4,1384.7000000000003,1365.1799999999996,1701.8799999999999
9,42746.600000000006,64389.04,60178.200000000004,50152.19999999997,43298.08000000001,50024.36000000005,29580.399999999976,79472.2,60918.32000000002,71416.56,28881.52,28987.2,22582.96,29316.84,29500.239999999998,19068.2,30813.44,29761.399999999998,30677.76,32270.920000000016,29512.76,15594.2,33780.359999999986,33789.8,16035.880000000001,29682.56,33480.03999999999,30122.28,35900.68,31652.64,1493.56,1453.72,2028.2000000000007,1466.36,1466.36,1466.36,1377.8799999999999,1365.24,2028.2000000000007,1557.4
10,65744.23999999999,69253.3,66091.64,80043.14,67934.24,73168.64000000004,31555.6,84433.2,81164.68,88036.08000000005,30846.399999999998,30595.400000000005,35297.23999999999,30349.66,30874.32,31935.199999999924,33536.68,32466.200000000008,33393.72,52622.659999999996,32501.319999999992,22458.399999999998,37276.799999999996,54762.999999999876,19684.24,32877.92000000001,67166.67999999996,33837.96,48277.71999999998,37975.29999999999,1472.9800000000002,1537.24,3821.52,1553.6200000000001,1553.6200000000001,1553.6200000000001,1444.24,1430.02,4115.84,1537.24
