index,161_1_www.snapchat.com,161_2_www.snapchat.com,161_3_www.snapchat.com,161_4_www.snapchat.com,161_5_www.snapchat.com,161_6_www.snapchat.com,161_7_www.snapchat.com,161_8_www.snapchat.com,161_9_www.snapchat.com,161_10_www.snapchat.com,162_1_www.snapchat.com,162_2_www.snapchat.com,162_3_www.snapchat.com,162_4_www.snapchat.com,162_5_www.snapchat.com,162_6_www.snapchat.com,162_7_www.snapchat.com,162_8_www.snapchat.com,162_9_www.snapchat.com,162_10_www.snapchat.com,163_1_www.snapchat.com,163_2_www.snapchat.com,163_3_www.snapchat.com,163_4_www.snapchat.com,163_5_www.snapchat.com,163_6_www.snapchat.com,163_7_www.snapchat.com,163_8_www.snapchat.com,163_9_www.snapchat.com,163_10_www.snapchat.com,164_1_www.snapchat.com,164_2_www.snapchat.com,164_3_www.snapchat.com,164_4_www.snapchat.com,164_5_www.snapchat.com,164_6_www.snapchat.com,164_7_www.snapchat.com,164_8_www.snapchat.com,164_9_www.snapchat.com,164_10_www.snapchat.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1616.32,1579.32,1574.88,1625.2,1640.0,1573.4,1604.48,1614.84,1626.68,1568.96,2933.64,4570.080000000001,5341.24,5101.999999999999,5381.26,8453.92,4122.1,8247.300000000001,4731.0,4752.0,4072.84,4030.6800000000003,4072.84,4022.04,3903.600000000001,3594.52,4091.6800000000003,3580.08,3792.18,4108.32,-419.72,-435.0,-511.4000000000001,-354.07999999999976,-572.52,371.03999999999985,-261.82,-259.28000000000003,189.75999999999976,-557.24
3,1537.24,1225.0399999999997,1160.3600000000001,1515.4,1479.0,1138.7999999999997,1566.3600000000001,1540.8799999999999,1511.76,1074.1200000000001,7817.760000000001,14078.399999999994,10919.800000000001,12573.199999999992,10332.199999999999,31795.71999999992,8443.4,20234.800000000017,14048.0,21094.0,5045.16,4252.279999999996,4265.88,4387.320000000001,6241.8,7069.96,8740.32,8385.360000000002,6237.84,8422.52,1571.92,1566.0,1468.0,1339.96,1389.6000000000001,1390.52,824.2400000000002,1634.08,1377.8799999999999,1409.2
4,4038.44,3779.3399999999997,3721.56,4069.4,4121.0,3702.2999999999997,3987.48,4032.84,4074.56,3644.5200000000004,20293.44,46950.339999999895,19870.64,16096.200000000003,20002.44,263165.83999999997,20677.8,212180.50000000012,21391.0,105705.0,8200.72,7871.3200000000015,8254.88,7903.76,13460.400000000005,11761.960000000001,12981.04,14275.16,11847.879999999997,15953.48,1430.02,1439.5,1488.1000000000001,1375.9600000000003,1531.78,921.2399999999999,1453.3,1330.48,1141.8000000000002,1520.86
5,4123.16,4493.3200000000015,4797.879999999999,4020.8,3552.0,4929.4000000000015,4089.24,4118.92,3973.919999999999,5302.24,40689.76,175501.0,80697.24,28080.600000000002,78421.92,418082.2,31218.199999999968,439051.20000000007,56478.0,292170.0,13845.64,13558.48,13733.64,13603.56,14785.799999999997,14848.359999999999,15260.76,15206.4,15870.48,13584.24,1117.24,1031.0,2139.000000000001,3965.1600000000003,3549.7999999999993,144.32000000000005,1422.1200000000001,1493.56,3987.48,2893.3999999999987
6,4968.2,4685.7,4582.8,5504.0,5617.0,4598.5,3374.7999999999993,5440.7,5390.1,4562.599999999999,133563.90000000002,291921.39999999997,209970.59999999998,73596.0,254861.70000000004,566208.2,108358.5,600022.5,191051.0,414626.0,15128.0,14392.8,14702.199999999999,14436.4,17591.0,17657.6,25461.399999999936,15367.999999999998,14046.300000000001,36996.2,4095.2,4078.0,3981.0,3756.3999999999996,3830.7000000000003,2302.1999999999985,1516.1000000000001,1444.9999999999986,3277.6,3894.9
7,4296.08,6291.92,6219.08,4554.8,4930.0,6240.4,6353.080000000005,4758.280000000001,4422.92,6221.360000000001,263285.2799999999,469644.27999999997,336732.80000000005,185428.39999999985,419948.24,671976.36,195763.59999999998,720973.6000000001,289602.0,558214.0,13240.6,17122.96,13916.759999999998,16593.88,37731.000000000015,37418.2,48208.399999999994,28445.959999999974,17510.319999999992,74373.40000000002,3683.04,3606.0,3675.400000000002,4152.84,4129.52,3852.56,2935.3999999999996,4100.36,2598.84,4091.119999999999
8,5893.96,8416.24,8358.76,6348.4,6570.0,8375.3,8685.44,6383.88,6261.860000000001,8341.92,411873.2,560514.9,460309.64,287768.39999999997,534919.48,821248.2799999999,285955.50000000006,920309.9,416750.0,660881.0,18246.88,41505.48,48948.520000000026,45386.240000000005,62249.4,59440.9,89812.52,55160.12,52511.54,147372.80000000002,4157.34,4111.5,5233.800000000003,5515.2,5628.78,6132.88,4057.36,3837.1199999999994,2858.44,5222.839999999997
9,8091.16,8457.960000000001,7871.64,8584.6,8602.0,7936.2,8568.36,8500.88,8476.44,8248.48,515212.0,647691.16,561637.8,387702.5999999999,604284.16,1010612.84,380285.4,1130150.4,506458.0,776081.0,53270.52000000002,80513.48,84391.36000000004,107172.99999999994,117809.2000000001,94633.6,140917.19999999998,83544.95999999999,72161.12,224395.2,5361.52,5483.0,5152.2,5210.719999999999,5313.12,6601.4,3747.24,3739.52,5086.88,5255.44
10,7760.6799999999985,12068.440000000004,12736.160000000003,8546.800000000001,8447.0,13081.800000000001,7990.519999999996,8373.460000000001,8410.42,12959.96,559956.78,726980.84,648570.88,538597.4,674245.42,1186645.32,466012.3,1236359.7,571256.0,918878.0,93789.08000000002,110879.08,143723.6,130860.84,206690.0,160607.84000000003,178022.27999999997,112400.2,147917.08,264780.04000000004,5044.5199999999995,5128.5,4629.099999999999,4578.92,4673.26,6588.84,3786.4599999999996,4531.759999999999,5540.8399999999965,4611.62
11,11655.600000000004,14018.4,13626.2,8963.0,8169.0,13982.0,13033.199999999999,8299.999999999996,9113.999999999995,13776.4,648729.2000000001,852099.5999999999,707902.1999999998,600392.0,731009.8,1342367.2,519068.0,1360428.0,710802.0,1104321.0,139320.00000000006,158323.5999999999,169238.80000000002,182294.4,349631.0,189763.00000000003,231073.99999999997,163336.6000000001,220741.19999999995,378651.20000000007,4432.400000000001,4453.0,4106.0,6539.2,7942.599999999995,7651.599999999998,4375.199999999999,5127.8,6997.400000000001,6542.2
