index,242_1_www.dmca.com,242_2_www.dmca.com,242_3_www.dmca.com,242_4_www.dmca.com,242_5_www.dmca.com,242_6_www.dmca.com,242_7_www.dmca.com,242_8_www.dmca.com,242_9_www.dmca.com,242_10_www.dmca.com,243_1_www.dmca.com,243_2_www.dmca.com,243_3_www.dmca.com,243_4_www.dmca.com,243_5_www.dmca.com,243_6_www.dmca.com,243_7_www.dmca.com,243_8_www.dmca.com,243_9_www.dmca.com,243_10_www.dmca.com,244_1_www.dmca.com,244_2_www.dmca.com,244_3_www.dmca.com,244_4_www.dmca.com,244_5_www.dmca.com,244_6_www.dmca.com,244_7_www.dmca.com,244_8_www.dmca.com,244_9_www.dmca.com,244_10_www.dmca.com,245_1_www.dmca.com,245_2_www.dmca.com,245_3_www.dmca.com,245_4_www.dmca.com,245_5_www.dmca.com,245_6_www.dmca.com,245_7_www.dmca.com,245_8_www.dmca.com,245_9_www.dmca.com,245_10_www.dmca.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,403.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4118.92,4109.38,4129.52,5224.600000000002,5308.12,4157.34,4159.46,4253.26,4153.9,4079.399999999999,1072.3999999999992,1569.1999999999996,1382.0599999999995,2055.9000000000005,1343.6200000000001,3427.4000000000005,3794.5999999999995,2107.399999999999,2024.6000000000008,1569.1999999999996,4100.36,4119.28,4278.76,4115.84,4102.08,1124.24,4112.4,5435.72,3814.999999999999,4050.48,3059.600000000001,1462.2000000000003,3896.5999999999995,1941.7999999999988,1564.54,1072.3999999999992,1472.68,3488.600000000001,1491.74,1455.3
3,8257.68,8334.32,8539.88,8383.44,7794.760000000002,8286.36,8260.84,8651.56,8657.6,8476.800000000001,5561.56,5554.28,5316.720000000002,5094.36,4129.52,5595.4,5174.4800000000005,5313.280000000001,5546.44,5509.28,5074.639999999999,4608.6399999999985,6400.92,4587.839999999999,4457.56,5094.76,4709.400000000001,7682.4800000000005,4938.200000000001,4618.36,4912.719999999999,4106.2,4813.080000000001,5283.32,4184.64,4932.44,3951.28,4707.679999999999,3716.080000000001,3584.4
4,16095.32,16272.98,18427.640000000003,18174.32,18305.83999999999,16026.14,15972.66,18511.18,16256.499999999998,16175.500000000002,6526.74,6295.62,6540.62,8330.38,4606.159999999995,6480.84,8387.16,6159.24,7493.800000000003,6250.62,8386.88,8478.460000000001,14830.48,8176.22,8429.06,8422.52,8334.699999999999,16768.64,8317.900000000001,8642.86,8239.039999999995,5467.599999999995,9845.140000000001,6089.28,6882.18,6601.74,5085.24,8081.06,4915.5599999999995,4646.7
5,21887.12,22023.68,38414.52,38112.0,37345.240000000005,18082.84,21816.44,23833.28,22177.399999999998,22146.2,8088.880000000001,7697.799999999998,7529.239999999998,11406.200000000003,8229.72,12305.360000000002,14788.28,8967.599999999997,13065.08,7652.799999999998,14395.279999999999,16625.08,19919.44,14059.24,16461.88,14708.52,15188.399999999996,22273.28,14518.599999999995,16191.12,12978.040000000003,8330.199999999999,14338.28,8418.599999999997,8392.039999999999,8630.880000000001,7602.879999999999,14454.48,6152.24,6158.2
6,38192.99999999999,39010.600000000006,49506.2,46884.799999999996,48949.4,45366.700000000004,45235.20000000004,45901.3,43344.5,25679.0,16530.500000000004,16193.699999999999,16021.7,17044.800000000003,14439.9,18745.4,18388.6,16098.4,16420.399999999998,16148.699999999999,20241.2,20124.100000000002,35813.4,18444.80000000001,19641.9,18118.8,19047.0,40648.2,18284.5,20073.39999999999,18377.6,14521.0,15726.900000000001,16015.8,14516.899999999992,16642.600000000002,8484.6,18102.100000000002,8110.699999999999,8205.5
7,48961.64,48778.84,52993.920000000006,64508.88000000005,68736.59999999998,47162.16,49590.32,55957.67999999998,49343.8,52004.200000000004,18284.919999999995,19964.76,20072.76,19645.76,18395.48,22425.08,22121.64,19609.48,20987.560000000005,20139.56,21909.2,24839.320000000047,38312.639999999985,21888.28,27608.200000000095,21820.92,21669.000000000004,71441.19999999995,21950.4,35820.56,22049.12,18493.2,23742.72,19703.44,17786.04,18265.919999999995,14565.48,21752.44,14259.119999999999,14490.599999999999
8,76636.28,77018.44,109870.2,98889.08,100708.52000000002,53209.56,71255.29999999996,66033.20000000001,65340.000000000015,56843.9,22025.22,21762.560000000005,21840.760000000002,24345.84000000006,19673.26,38050.32,36622.68,21372.52,25858.44,22036.86,36492.32,34156.24,60273.95999999998,34132.94,36193.299999999996,34676.12,34152.3,124057.24,34692.1,37693.84000000002,36828.48,20719.79999999998,27410.34,20240.76,19800.82,22145.28,17968.76,36278.88,18434.48,18350.1
9,109281.16,116837.6,123457.88,193934.47999999998,175448.48,81822.31999999995,113683.79999999999,116271.47999999998,105499.40000000004,91906.39999999995,37230.920000000006,37835.92,38106.759999999995,37508.96,26606.679999999993,39671.24,41475.72,24512.68,27735.36,36706.92,40281.92,40191.16,73551.12,37817.92,39918.04,37796.36,39820.799999999996,186241.88,38028.4,39522.159999999996,39187.92,28045.799999999952,45120.68,30934.519999999946,21855.04,36622.96,19900.56,39206.52,19687.84,19751.6
10,174847.96,174419.34,202020.56,195280.6,195662.96000000002,159115.59999999998,170656.92,184087.18,161570.3,138221.5,39167.22,41597.84,41381.06,41124.58,37992.22,43478.52,42666.92,30668.599999999984,36158.60000000011,39220.86,45021.79999999998,48373.99999999999,138995.68,43203.14,51345.600000000006,40202.200000000004,42647.999999999985,253839.96,41504.3,82311.96,41173.78,35749.4,45385.58,37827.04,36420.76,37245.22,21885.44,54781.76000000002,21773.16000000001,21944.600000000002
11,226699.0,212389.6,201913.2,243060.00000000006,208243.6,195420.8,218521.6,205722.8,237721.0,198589.0,43332.799999999996,43666.6,43401.6,42680.399999999994,41611.8,60997.80000000001,69347.99999999999,45415.4,45403.6,43405.4,85188.00000000001,78307.2,171598.40000000005,82439.2,73922.0,80311.6,54863.0,258663.2,80905.0,103602.79999999994,65083.600000000144,39408.0,48895.2,40297.39999999998,37159.6,41410.799999999996,37213.6,73132.00000000001,25620.20000000001,37167.0
12,301781.03999999986,228159.26,258992.08000000005,314849.84,275277.2799999999,224523.81999999998,221143.42,236873.52,333512.7000000001,214384.79999999987,47427.09999999999,66401.3,57622.700000000004,54227.38,43234.98,71615.96,75073.04,48974.36,49124.12,60915.2,111438.72000000004,85135.56,207243.64,86661.09999999999,86289.7,85662.52,86685.7,315043.64,85489.20000000001,178514.18000000005,80305.08,41324.2,64254.19999999988,42375.79999999998,41489.340000000004,52689.43999999999,35333.92000000001,93668.36,26354.38,36907.200000000004
13,308614.96,232090.59999999998,315895.87999999983,347887.20000000007,358772.75999999966,239335.59999999998,273415.6,244650.84,359247.8,221398.0,71577.48,75007.36,74256.2,69317.15999999995,51398.79999999998,105351.40000000001,90230.71999999999,61356.79999999999,50544.36,70800.76,158429.24,148956.96000000002,231953.12,162049.36,115330.4,141517.07999999975,102922.19999999998,323886.51999999996,141902.1999999998,184835.44,109190.5199999999,69969.99999999999,96112.72,80814.76,40685.600000000006,85281.68000000001,39115.159999999996,124840.4,44340.759999999995,39369.4
14,358508.76,301314.58,379181.12,392376.84,427204.799999999,292112.7,296763.46,292963.2399999994,371131.80000000005,233471.9,75990.68000000001,75900.59999999999,74938.8,111290.80000000003,56632.38,166763.24,151627.36000000002,69369.19999999998,62339.64000000001,88143.3,186188.48,184840.15999999997,246512.08,185856.1,180177.96000000014,174917.4,119241.40000000001,353221.08,184497.7,205686.63999999998,186497.86,85220.2,107967.55999999995,84074.56,74508.09999999999,89316.4,41408.36,186297.03999999998,44933.32,41225.9
15,388646.8,307098.8,385099.36,401092.08,473661.4,341252.44,310737.6,414686.64,376989.8,237282.59999999992,104568.52,106138.87999999992,118357.04,120658.44,105495.43999999996,217558.52,173599.52,95062.56,91441.35999999999,141046.5999999999,204703.12,184204.96,261297.2,183348.12,202873.75999999998,187255.32,122963.8,354817.28,185542.4,207211.6,187379.52,88622.6,194189.88,113037.28,86737.76,140301.72000000003,45938.59999999999,187015.68,46932.840000000004,41608.99999999999
16,399352.99999999994,367257.99999999994,391795.2,443857.8,515289.8,364003.8,348605.39999999985,487624.89999999997,381347.0,283875.0,178599.39999999973,175676.0,168492.3,123408.7,153418.00000000003,232443.4,191183.2,99492.59999999999,121147.20000000007,188713.0,203098.8,186548.7,289016.6,188572.40000000002,202318.8,203281.4,167904.5,419000.2,190703.0,208918.80000000002,206996.2,154226.0,194202.7,180738.9999999999,87330.8,186400.4,69671.99999999997,187891.69999999998,48576.1,80171.0
17,407445.48,413115.55999999994,422361.32,499063.92,524116.08,396984.6,403100.72,502334.3199999999,386726.0,307902.6,189696.28,180620.27999999997,189373.96,123924.8,185654.2,257639.92,193842.64,164706.71999999997,159445.24000000002,189277.84,203721.16,194272.28,320605.0,192688.84,201141.48,215809.16,179947.8,442057.48,209173.1999999999,228962.4,219695.52,184413.8,196891.92,187547.63999999998,169218.91999999995,186915.24,84236.44,234621.28,65982.88000000005,84232.4
18,411325.04,481943.68,479718.76,511531.36,562660.28,425211.56000000006,448613.84,521597.77999999997,421338.30000000016,320284.49999999994,190642.86,189897.56,217039.12,136918.82,187383.23999999996,264633.04,214731.96,195932.12,157837.84,190493.18,245077.08,210487.94,349418.04000000004,209821.91999999998,203843.46,222069.28,184472.19999999998,476790.92,233287.2,245588.58,239284.06,186727.80000000002,198314.03999999998,188392.67999999996,187696.48,190610.02,83841.12000000001,236166.2,91212.93999999999,87940.00000000001
