index,111_1_www.xing.com,111_2_www.xing.com,111_3_www.xing.com,111_4_www.xing.com,111_5_www.xing.com,111_6_www.xing.com,111_7_www.xing.com,111_8_www.xing.com,111_9_www.xing.com,111_10_www.xing.com
1,0.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
2,461.81999999999994,2273.0000000000005,1203.32,565.4,498.21999999999997,2433.16,1165.7,634.72,904.1200000000007,858.9599999999999
3,2327.04,5310.8,4545.44,2322.0,631.8800000000001,5105.28,2298.4,2197.4399999999996,5353.64,7198.320000000001
4,1205.9399999999998,12460.2,7160.56,2844.799999999994,2081.74,10158.600000000008,6971.200000000003,1238.6800000000007,9028.56,13026.400000000001
5,5280.08,22512.399999999998,8940.96,5274.4,3606.72,23049.48,8426.2,5327.72,14719.12,18574.63999999999
6,7754.400000000001,27086.0,12281.4,6788.0,5112.000000000003,27768.2,11338.5,6946.2,26358.600000000002,34991.799999999996
7,6372.039999999998,65421.59999999993,22306.56,12678.600000000002,8615.639999999996,60197.320000000036,13697.4,12436.720000000001,31618.68,101523.79999999999
8,13212.060000000001,171153.59999999995,23207.320000000003,18981.800000000014,10537.26,162664.32,24274.9,21878.799999999996,97738.84000000005,161680.76
9,18398.760000000002,265704.0,26587.32,22688.2,12332.76,195301.6,23293.400000000012,23249.48,190036.32,247550.68
10,17477.079999999954,342964.2,29116.40000000001,24268.39999999998,15700.600000000002,324523.04,25802.3,24166.72,257154.08,294380.27999999985
11,23699.600000000002,391616.0,67688.79999999997,35311.0,20891.8,400440.6,30432.0,30106.8,298054.8,424207.3999999996
12,25613.119999999995,502645.99999999994,114259.07999999997,37451.4,31685.16,466251.07999999996,55197.80000000003,38754.920000000035,421190.52,508456.4
13,32703.96,632296.7999999997,175671.28,81405.39999999998,29425.96,527498.36,95199.00000000001,95469.59999999999,580769.48,623151.5199999999
14,38996.15999999993,774531.2,192105.80000000002,135317.59999999998,38970.34,579513.8,161161.0,153104.72,686518.88,684886.32
15,79276.56,852094.4,245202.64,191235.0,43395.88,649924.4400000002,191749.0,192144.84,784319.1600000001,792002.52
16,135774.5,1012303.0,264351.2,250323.0,47489.79999999998,823172.6,234013.5,247348.00000000012,863472.4,909454.1999999997
17,189162.68,1034674.0,266763.28,308473.2,101552.51999999999,930932.4,286275.6000000001,298133.04,981524.16,1007612.12
18,190668.86,1141729.0,332558.4,351918.0,170904.4799999999,1012724.4400000001,332387.10000000003,319116.63999999996,1022276.8,1030883.3200000001
19,193490.2,1223582.5999999999,378502.24000000005,406889.7999999997,199052.08,1034737.36,336270.8,366135.32,1038827.2,1106676.7999999998
20,221068.31999999998,1330921.0,428340.9199999999,430563.2,278593.35999999987,1139115.36,340197.60000000003,391788.48,1051511.52,1254038.08
21,269413.7999999998,1425216.0,493473.0,504883.0,289005.8,1273725.6,372944.0,443926.2,1068898.6,1384842.9999999995
22,311422.5199999998,1474281.4,523320.2,506294.4,316740.78,1469504.52,403207.5,501356.8,1075228.44,1471343.44
23,345502.44,1482544.8,596123.7599999997,531214.2,323242.4400000002,1475439.44,438609.60000000027,570789.6000000001,1085054.8,1478049.08
24,391047.2399999999,1506804.2,638070.96,602266.7999999997,405400.95999999996,1493136.72,517120.4000000001,652636.7999999999,1115883.2,1503668.96
25,431148.4799999999,1565720.4,671035.2,713587.7999999999,491447.31999999983,1561673.84,563363.2000000003,734186.1999999998,1189187.72,1561983.4
26,482528.0,1570981.0,728651.0,732649.0,569171.5,1565360.0,673851.0000000005,803411.0,1203682.0,1567500.0
27,532196.64,1579098.4,754845.48,791636.6,603139.72,1566240.56,685060.2,863228.5200000003,1205926.28,1568801.16
28,537298.9,1584272.2,800270.6,859572.9999999999,646856.98,1571353.28,762732.1,951403.5599999999,1213236.64,1571089.32
29,572477.24,1585588.2,848445.3999999999,913889.2000000001,695025.56,1578243.36,816343.4000000006,987036.04,1254275.52,1577807.84
30,648212.4799999997,1591887.6,921651.3199999995,955003.8,763591.52,1589416.24,921441.8,1024969.92,1299701.12,1588697.76
31,707662.9999999999,1594408.0,1004218.5999999997,1015141.0,833829.0,1595460.0,983794.0,1032603.0,1343770.4,1594456.2
32,770668.72,1599271.6,1023229.7999999999,1033126.7999999999,865736.1599999998,1603112.0,1017479.0,1073945.7599999998,1383979.12,1606209.08
33,832779.8799999998,1603357.4,1031545.4,1116682.2,902564.84,1608698.88,1028755.6,1127822.8,1423187.8,1610482.96
34,868548.26,1607530.2,1036145.72,1198000.4000000001,944209.2000000001,1612843.72,1034994.3,1160593.96,1461421.6,1614989.52
35,884734.6,1615343.9999999998,1036419.64,1242462.4,997647.6799999996,1618400.76,1039311.4,1172574.2,1463677.96,1617654.44
36,909533.7999999999,1626971.0,1042642.6,1342038.0,1037993.5,1622949.0,1043347.0,1216714.4,1466798.2,1622885.8
37,942692.7999999999,1630497.6,1049417.56,1446141.5999999994,1041643.32,1625657.72,1045565.6,1255964.04,1471480.64,1625080.64
38,971215.6,1633107.6,1053910.32,1470822.2,1083379.5200000003,1629881.72,1050393.0,1308057.2000000002,1479877.24,1626233.68
39,997487.56,1636554.4000000001,1055390.2,1472375.8,1152852.7599999998,1638268.8,1059750.6,1389185.6799999997,1527396.32,1636340.2
40,1021360.2799999999,1642206.0,1079640.52,1479617.8,1197625.6,1637908.84,1063124.2000000002,1440072.48,1626928.68,1639030.44
41,1082016.5999999994,1644585.0,1124414.6,1480829.0,1257096.8000000003,1643091.0,1081541.0,1479327.6,1627190.2,1642194.6
42,1167719.92,1653351.8,1145171.16,1483118.2,1324927.3199999996,1649932.16,1122174.6,1481511.52,1630998.92,1649469.92
43,1236123.8,1653249.4,1154307.76,1489657.0,1382443.1199999999,1653968.16,1141771.8,1485051.08,1636633.72,1650417.88
44,1291260.1599999992,1654894.8,1178486.32,1513938.6,1440315.48,1656987.88,1143660.1,1498554.56,1639901.24,1654837.08
45,1347695.88,1660089.2,1179351.44,1564250.8,1468129.84,1659610.04,1144944.0,1551481.36,1644040.1600000001,1658255.16
46,1388830.0,1664338.0,1188381.9999999995,1573811.0,1479549.3,1662875.0,1151387.5,1570841.2,1644857.6,1660741.8
47,1466334.8799999994,1666191.4,1204548.28,1575016.4,1481998.12,1665617.52,1158512.2,1573227.24,1650656.6,1664735.84
48,1472519.26,1668541.8,1208603.84,1576560.8,1480605.28,1666439.96,1159209.9,1574039.68,1652480.72,1668235.76
49,1471163.56,1672004.6,1241398.64,1574822.4,1490239.8,1666283.24,1178343.4000000001,1575253.5599999998,1655637.44,1667427.16
50,1476492.18,1675218.9999999998,1267768.8399999999,1578932.6,1491486.1,1673247.24,1180796.1,1581296.32,1661279.52,1669952.84
