index,116_1_www.owasp.org,116_2_www.owasp.org,116_3_www.owasp.org,116_4_www.owasp.org,116_5_www.owasp.org,116_6_www.owasp.org,116_7_www.owasp.org,116_8_www.owasp.org,116_9_www.owasp.org,116_10_www.owasp.org
1,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,1605.96,1466.36,688.2800000000002,1392.4399999999996,1428.8000000000002,1512.1000000000001,1336.8,440.7199999999998,1330.8,1616.32
3,1163.44,2442.68,1151.84,1318.32,811.8400000000003,1066.92,549.6,1305.88,537.44,1259.4799999999998
4,463.8400000000004,4423.08,1903.8400000000045,2569.52,2260.56,2444.16,4499.400000000001,931.1599999999955,4180.079999999998,605.0400000000001
5,4489.28,6566.56,4586.32,4567.12,4321.96,4544.88,4533.8,3999.879999999999,4448.36,4707.12
6,4326.7,8409.199999999999,4066.9000000000005,6401.599999999999,3672.8000000000015,4219.999999999995,6586.0,4613.099999999999,6928.6,4396.2
7,5586.199999999996,13244.800000000001,6560.08,6229.68,6118.56,6568.72,8496.2,6855.080000000002,8118.919999999997,4056.119999999999
8,6574.12,21601.000000000004,6218.82,7599.799999999994,9947.880000000001,8416.14,13019.8,8304.119999999999,8968.399999999998,6829.959999999999
9,8070.679999999999,19519.04,10570.800000000001,12298.400000000001,9819.039999999999,11114.199999999995,17267.20000000001,10824.72,12798.36,7608.400000000002
10,8025.54,20641.079999999998,12849.06,20283.720000000012,18542.28,12746.960000000001,20521.399999999998,11414.600000000002,21810.0,8007.6799999999985
11,13289.2,22467.600000000002,19644.999999999993,20504.8,17303.399999999998,22126.000000000004,21668.0,22005.999999999996,19878.2,11233.400000000003
12,12912.380000000001,26768.08,20814.84,21809.08,18616.84,20279.940000000002,22954.399999999998,20091.34,18887.44,13034.399999999998
13,21357.08,29353.08,21784.36000000002,21171.92,21908.519999999997,19309.52,23316.400000000012,19038.280000000002,22735.52,19480.960000000014
14,20156.86,39043.84,21618.719999999998,24924.720000000005,22254.76,20873.14,26840.4,20510.82,24705.16,20745.84
15,19224.56,41819.200000000004,22981.039999999997,25096.04,24215.84,22836.36,27577.999999999996,22529.960000000003,26735.76,19808.52
16,20880.3,44247.600000000006,24962.899999999998,27813.999999999993,24874.99999999999,25651.799999999992,37591.0,26829.7,29224.400000000023,18928.399999999994
17,22943.44,80290.79999999999,27032.12,38368.119999999995,35098.36,26967.84,39285.6,26792.88,40395.44,23088.88
18,24896.32,84429.68,37983.72,39395.04,37067.31999999999,35454.41999999995,41405.4,36341.6,41562.4,23157.48
19,24597.12,87498.88,39725.03999999999,41391.40000000001,39015.48,40068.96000000001,45475.6,38837.44,45359.72,25050.04
20,26752.58,119939.44,41853.1,46373.23999999999,42380.28,41569.1,47495.6,41512.1,46992.03999999999,25101.280000000028
21,28763.40000000002,155626.00000000003,52844.59999999994,48109.799999999996,43832.8,43198.399999999994,63614.0,42846.000000000015,62609.200000000004,26989.600000000002
22,39228.62,224895.51999999996,66761.82,63631.44,47224.96000000001,44248.520000000004,84798.79999999999,47445.799999999996,66181.52,37923.88
23,40692.12,265148.63999999996,70960.96,82806.39999999995,62229.119999999995,59814.35999999987,85612.4,47984.79999999999,86519.40000000001,40461.28
24,41194.68,276128.39999999997,84367.82,90610.39999999998,63532.36,63101.46,89437.99999999999,63378.64,118356.12000000001,42088.36
25,43608.67999999996,309060.88,85966.07999999999,124538.95999999995,83093.19999999998,62523.48,119532.2,68065.39999999978,147901.71999999997,42651.200000000004
26,58694.5,354337.0,120809.0,153410.0,107392.0,62288.5,120877.0,90645.0,179773.0,43889.0
27,74775.95999999999,415660.04000000004,135450.4800000002,185466.68,134167.60000000003,61346.56,143541.8,142251.67999999985,201566.2,46890.08000000001
28,80896.68,450794.60000000003,164429.88,221467.48,173452.84,82605.56,170828.6,187838.12,236451.39999999997,62533.479999999996
29,81482.68000000001,506201.7999999999,185825.84,257674.35999999996,174898.84,88361.32,175615.39999999997,218944.55999999988,268396.16,63414.67999999999
30,82270.94,527457.96,219931.4,269401.76,206403.31999999995,110729.91999999995,182940.2,247089.24000000002,268723.24,63796.600000000006
31,81493.79999999999,526362.8,240933.40000000005,268642.4,247822.5999999999,126404.99999999999,207364.0,269054.8,266537.8,79044.6
32,81618.43999999999,528848.56,268220.63999999996,271364.68,270901.96,134738.48,245400.00000000015,271662.36000000004,275870.19999999995,80547.40000000004
33,81824.28,531247.12,268872.44,288752.63999999996,270923.72,137172.23999999996,291062.8,288970.92,284511.4,85560.80000000002
34,82491.38,550083.6,268553.36,288002.2,270037.36,151828.19999999998,306505.19999999995,298178.36,315571.6,88347.44
35,85038.79999999997,550640.44,271151.27999999997,289780.56,269883.96,180454.8799999999,354654.4000000001,298035.16,337049.9199999998,90852.08
36,90476.2,552572.4,269132.1,300731.4,272117.2,186779.6,381916.0,322472.6,351624.0,116409.8
37,92647.12,557058.36,287801.32,348489.32000000007,296357.6,208940.24,404438.8000000001,338511.4,397884.56,119561.48000000001
38,106206.76000000008,557973.56,287810.27999999997,391486.6,305178.56,222381.8,435561.2,363632.8,412516.4,124561.76000000002
39,124193.72,559548.68,304332.63999999996,424571.9599999999,305117.92,247952.47999999995,458407.4,392919.96,442415.67999999993,133670.72
40,143061.84,563748.68,314060.48000000004,464125.64,319533.36,279930.2799999999,470733.20000000007,410200.83999999997,481523.56,143755.8800000003
41,153340.6,566316.0,335392.6,486806.2,339991.7999999999,290165.8,475026.0,461250.4000000001,489258.4,170872.2
42,154992.42,568075.2,369437.92,488375.76,379006.55999999976,312722.2799999999,548303.2000000001,498515.98,507794.87999999995,203967.56
43,181114.19999999995,568457.04,406193.1600000002,523022.04,403634.39999999997,341970.8799999999,552141.6,522405.43999999994,539275.96,204253.92
44,214391.92,571053.12,459437.8,549576.4,460936.7199999998,363570.3599999999,556261.4,529352.84,546953.96,206039.04
45,241935.88000000003,572503.84,489245.36000000004,552161.5599999999,490584.51999999996,374255.6,557827.8,530311.64,548494.28,228669.80000000005
46,266188.3999999999,573069.2,529932.2,553844.0,526580.2,400756.99999999994,558471.0,548378.8,548287.2,253193.0
47,291528.76,575572.36,548235.76,554969.64,548822.72,446044.8,559882.8,550020.32,549951.76,275471.4
48,293802.04,576990.92,549818.54,558338.48,552571.44,449477.79999999993,560391.6,549567.14,551842.04,290681.95999999996
49,294441.12,577880.12,552257.56,558261.68,555587.32,472749.52,562217.4,551430.7999999999,552223.92,296871.4000000001
50,293444.72,579950.12,552334.26,558298.16,557878.48,498883.52,563625.4,554471.26,555533.68,326319.7200000001
