index,120_1_www.skype.com,120_2_www.skype.com,120_3_www.skype.com,120_4_www.skype.com,120_5_www.skype.com,120_6_www.skype.com,120_7_www.skype.com,120_8_www.skype.com,120_9_www.skype.com,120_10_www.skype.com
1,67.0,67.0,-48.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
2,1978.1599999999999,2519.78,861.4800000000025,2579.88,342.0,2297.0,1949.1599999999996,2593.2000000000003,456.60000000000025,2659.5600000000004
3,5035.28,6756.3200000000015,6596.84,7084.359999999999,5564.0,8799.0,6950.84,6885.799999999999,7078.8,8710.48
4,8235.399999999994,23400.43999999992,12950.2,19312.8,9874.0,25439.0,17520.320000000003,13621.199999999977,13319.999999999989,32294.359999999997
5,32493.120000000003,28838.320000000003,33012.159999999996,29513.48,25014.0,29109.0,31131.28,32789.6,30393.600000000002,28154.52
6,28663.400000000005,30563.2,29624.600000000002,25652.300000000003,30722.0,30044.0,28034.2,29347.0,29652.0,31699.4
7,28800.83999999999,40008.240000000005,31209.68,35449.84,29647.0,39445.0,29887.56,33406.600000000006,32058.600000000002,40324.88
8,38494.12,44646.18,38651.64,43752.14,36988.0,44362.0,35039.96,42312.6,39550.1,44921.48
9,45123.28,96773.92,43865.84000000002,77491.8,45084.0,93965.0,41108.32,46516.6,44691.4,100843.48
10,95792.76,107095.78,83042.20000000008,96466.62000000001,50294.0,121092.0,43969.76,100152.6,95342.3,121833.8
11,112643.40000000001,123160.6,113369.59999999999,112542.20000000001,99900.0,133893.0,98139.99999999999,115264.0,110105.0,145435.0
12,134241.44,143640.56,116194.20000000001,145558.86000000002,109379.0,152167.0,110333.72,137610.99999999997,118335.70000000001,171208.36000000002
13,152361.23999999996,227225.3199999995,129493.16,171426.08000000002,128238.0,169853.0,123752.12,172286.59999999998,137945.5999999999,220174.40000000002
14,168086.08,291946.22,153850.24,244069.91999999998,168128.0,209741.0,141988.84,174825.2,163225.0,251393.6
15,228162.2,300889.52,173257.8800000001,304125.91999999987,172651.0,255616.0,163921.03999999998,181632.99999999997,188184.5999999999,288288.80000000005
16,368949.99999999994,316632.8,217737.0,405640.19999999984,264775.0,326986.0,213738.60000000003,244073.0,208949.5,380658.1999999999
17,533150.96,409718.36,271842.36,491582.2399999998,449415.0,393626.0,262560.95999999996,322936.2,254355.99999999997,427680.2
18,592101.88,458123.1199999997,280590.28,567067.12,477383.0,512862.0,365727.5199999998,350100.99999999994,302905.3999999996,507203.8000000001
19,715509.28,535282.44,324442.80000000005,626018.0399999996,521245.0,599182.0,455370.08000000013,457745.99999999994,358661.99999999994,593788.84
20,733240.96,611234.5199999999,409622.4000000001,699083.3199999995,607219.0,688953.0,539963.04,497518.0000000002,414341.80000000016,658443.5200000001
21,738268.9999999999,699412.1999999998,504151.00000000006,738215.8,721375.0,706397.0,658166.0,571630.0,519531.0,732870.6
22,758323.7999999999,785228.2,619355.2799999999,765190.04,732400.0,775778.0,708937.2,607856.0,571585.0,839890.2000000001
23,874861.6799999999,935174.5999999999,755115.9600000004,823162.6799999996,737807.0,861942.0,753730.5199999999,677566.0,660401.3999999997,956087.08
24,944175.3999999999,966580.84,866465.8000000002,884326.2799999999,758120.0,974496.0,786506.68,774789.7999999999,743735.9,961713.72
25,960969.72,979495.4,947497.4,960128.48,838217.0,988480.0,812622.04,862476.3999999999,760580.2,979733.1200000001
26,967862.0,1000549.5,969287.0,965902.5,956733.0,1011141.0,839954.0,963984.0,775840.0,986017.0
27,974769.16,994510.2,981236.0000000001,983996.84,966225.0,1019531.0,950382.04,979756.8,858432.1999999998,1010343.08
28,972941.68,1074433.16,991629.24,998512.76,978189.0,1052410.0,963699.9999999999,983346.4,980166.9,1081079.4000000001
29,1024321.4,1120465.5999999999,1005306.84,1013751.92,988662.0,1117401.0,972288.8799999999,983490.4,989006.8,1137091.6400000001
30,1118857.2,1194776.32,1006165.2,1076306.3599999999,990467.0,1188038.0,982945.64,1002981.9999999999,995174.1,1176372.8
