index,124_1_www.springer.com,124_2_www.springer.com,124_3_www.springer.com,124_4_www.springer.com,124_5_www.springer.com,124_6_www.springer.com,124_7_www.springer.com,124_8_www.springer.com,124_9_www.springer.com,124_10_www.springer.com
1,-48.0,0.0,67.0,67.0,67.0,-442.0,-48.0,67.0,-48.0,67.0
2,1282.0399999999995,1146.7399999999998,4608.400000000001,2041.02,1889.3600000000001,4573.9800000000005,1607.88,1458.5599999999995,2213.46,1366.4800000000002
3,6826.480000000003,7678.08,9885.4,4878.320000000001,7248.88,11980.159999999998,7528.36,7103.639999999999,9745.92,7385.24
4,11470.18,32709.499999999996,31248.2,9474.66,28577.88000000002,30508.02,14516.6,28333.800000000076,29602.6,14735.4
5,30349.12,36561.28,38977.4,23008.759999999966,36621.24,48711.48,32617.52,36242.72,34878.92,32459.08
6,48342.1,53762.8,52946.0,36005.1,53846.6,52591.1,48832.4,54001.6,52046.799999999996,44264.7
7,63583.76000000009,59852.479999999996,72342.4,53799.04,73325.24,69748.96,55148.88,77038.64000000013,63419.6,55303.64
8,71816.34,101734.18,73253.4,61989.06,73215.52,72300.66,83195.4,95906.28,87915.98,67521.52
9,76499.28000000004,102904.96,79500.80000000003,68043.87999999996,85249.48,88149.36000000002,90653.28,96765.56000000004,89177.88,85186.40000000001
10,88574.32000000002,128646.95999999998,92909.80000000003,96541.58,93212.68000000001,97377.08,104921.31999999999,143713.03999999998,96119.46,114263.26
11,93583.2,147837.2,141387.0,94906.6,118599.60000000002,96528.99999999999,119051.0,166926.6,139201.8,118452.2
12,98146.28000000007,163142.72,144900.00000000003,100549.59999999996,145879.44,149399.78,143738.72000000006,180606.64,153398.62000000002,146246.22
13,147558.68,208855.76,163576.4,147759.24,165936.48,158362.88,154449.88,244942.56,173841.04,155837.2
14,167275.68,250324.16,226458.00000000003,159657.16,204672.48,205882.04000000004,172562.96,250027.32,239279.02,185342.28000000003
15,181921.63999999998,273288.92,233127.4,212147.39999999994,222178.12,263094.16,211735.52,272602.52,241823.79999999993,205706.16
16,245882.0000000001,342969.3,251273.0,240489.3,253232.4,301567.4,248912.4,342435.8,264768.3,224722.79999999987
17,250492.68,365733.88,270906.20000000007,242962.59999999998,276800.84,309104.24,252728.24,361144.04,335714.16,273205.24
18,253578.54,378248.12,346473.8,273626.34,337563.24,344723.72,275103.16,366488.24,355111.38,342836.82
19,260577.88,456439.64,369928.6,342362.83999999985,357703.48,352856.20000000007,342754.20000000007,398812.72000000015,359953.48,366618.3200000002
20,349450.62,497092.62,375033.4,361671.54000000004,374865.16,399317.60000000003,359209.16,438833.92,403778.1599999999,442931.79999999993
21,373500.2,502904.4,462898.0,367018.4,391618.60000000015,465468.2,405400.00000000047,499660.4000000001,455152.8,460885.19999999995
22,381572.02,506670.42,467826.00000000006,375063.72,413330.76,471578.98,472225.48,505852.04,478486.34,463146.2
23,386982.20000000007,518296.2000000003,503290.80000000005,406435.9199999998,503976.84,475241.51999999996,497026.32000000007,515252.64,484934.2,488706.92
24,454152.06,577743.98,507550.4,488609.26,511430.08,495580.66000000003,501241.32,557187.4,502170.98,501046.62
25,507823.48,616663.8800000001,538754.2000000002,501292.92,517641.96,513894.2,507356.32,582620.08,509017.88,506468.44
26,512843.5,640329.5,579720.0,508113.0,573930.0,567356.0,515610.0,619163.0,570374.5,532952.0
27,517072.72000000003,700215.1200000006,586132.4,543814.8,584689.04,583166.4,521219.68,629343.92,580985.12,578379.48
28,523986.07999999996,716574.86,628809.4,579248.76,628321.72,588764.46,550978.8800000001,689656.4400000001,613369.78,618454.8999999999
29,528780.84,720496.84,653259.8000000002,583449.56,633543.52,627322.88,594542.1600000003,698931.76,619784.36,625173.4400000001
30,530975.34,723572.58,695948.6,602846.6799999998,670124.24,634747.42,628164.52,701488.8800000001,625302.7999999999,660217.5999999996
31,537968.6,728729.4,718051.0,625190.4,696380.6,634618.4,627748.8,704761.8,686458.2,690568.6
32,582765.080000001,739553.16,723046.4,630796.52,701325.84,638248.52,633190.04,709458.52,691263.16,695603.7
33,633822.44,816938.4400000002,726320.6,690899.84,705380.48,702919.76,695915.4400000001,786796.12,695050.32,698559.36
34,639390.46,935754.2000000001,836521.2000000005,695780.66,856095.7200000001,707437.6000000001,698814.3600000001,790454.8,697365.84,701809.84
35,645098.36,1022376.16,844832.6,697035.2799999999,885546.04,736692.6400000001,703107.36,886295.4800000002,701016.2,705524.08
36,707590.9,1026973.5,850382.0,700610.5,912030.0,832019.2000000001,708821.0000000003,890770.2,782479.3,805879.9
37,713504.44,1029988.08,946579.6000000001,757654.76,984675.96,835776.16,782377.4000000001,894201.04,786513.92,817667.2000000001
38,717438.6,1032812.7000000001,950166.8,762156.42,987717.24,841402.82,787976.04,900630.9600000001,859913.3999999999,905301.18
39,734469.6000000001,1046024.64,956352.6,778378.7999999999,994106.1200000001,860782.6,806310.08,904167.3600000001,884946.68,910128.68
40,739137.1,1058893.86,960321.0,824518.1599999995,998697.96,876625.6000000001,816093.6000000001,922442.88,888019.66,911546.9400000001
41,798549.4000000003,1062938.0,965255.0,862832.8,1018836.0,957874.4,937915.0000000009,927201.0,894506.4,920406.6
42,820335.96,1066392.9,970247.6,866304.7000000001,1022563.24,962764.18,1002081.5599999999,932648.72,897687.76,936121.24
43,870560.44,1069313.52,986788.6,872280.04,1027290.4,966506.08,1005888.64,936276.0,916276.12,940191.88
44,918907.66,1069933.98,992052.4,874373.4399999998,1032102.8,971189.24,1012290.24,927599.9199999998,922904.3400000001,946283.48
45,922008.32,1056532.16,990094.2,879121.92,1022711.2000000001,974590.96,1016187.8,910833.28,923914.16,946837.12
46,925701.1,1053175.9,993774.9999999999,897799.1000000001,1005377.8000000002,978416.9,1018683.4,913936.0,928326.2,951877.7
47,928831.24,1056604.84,999562.4,902030.2000000001,1009992.8000000002,983675.28,1021736.64,919949.68,932965.6,955455.84
48,931828.26,1050719.02,981183.0,905993.12,1012349.2800000001,988255.28,1025741.64,916544.6799999999,928106.68,947187.9600000001
49,936896.6,1053020.4399999997,976972.8,910613.24,1008979.0,981827.04,1027009.2,917512.68,911505.56,932393.08
50,940068.6,1045829.22,974834.6,908169.86,1011489.4400000001,966509.6,1016560.0,920011.28,910191.46,935782.36
