index,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_4_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_9_www.office.com,140_10_www.office.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1420.54,1387.36,1396.84,1406.32,1417.3799999999999,1422.1200000000001,1381.04,1376.3,1442.66,1414.22
3,3760.08,3961.56,3935.64,3875.64,3785.76,3747.24,3978.84,3991.8,3601.68,3811.44
4,5090.459999999999,5547.28,5308.44,5705.36,5081.34,5138.88,5567.92,5642.9,5043.16,5094.780000000001
5,6288.6,5081.759999999998,4100.12,5132.120000000001,6092.2,6338.8,4362.6399999999985,4412.4,6320.64,6240.72
6,8280.699999999999,8526.0,8360.800000000001,8620.0,8346.1,8546.0,8593.800000000001,8680.0,8215.699999999999,8171.099999999999
7,13456.44000000001,7655.399999999999,7502.3600000000015,8734.600000000008,16714.48,14293.519999999999,7843.159999999999,8101.199999999999,19381.4,11182.919999999993
8,18681.8,18914.88,18755.72,19415.56,18629.42,19081.04,19158.32,19369.5,19286.2,18728.559999999998
9,20795.88,19137.28,18656.24,19106.36,20692.76,19093.840000000004,19049.440000000002,19273.2,20704.28,20540.84
10,26434.68,20944.96,20391.04,20525.88,26262.420000000016,21289.39999999999,20887.36,20908.7,26048.8,24837.980000000018
11,27332.599999999988,26438.000000000004,26304.2,22342.2,26286.200000000008,26262.2,26118.0,26014.0,27979.600000000002,27286.8
12,28825.1,28422.96,27958.24,29235.519999999982,28363.400000000005,28056.88,28244.24,28417.2,33540.9,27570.780000000006
13,33698.40000000001,33775.8,33223.92,30872.560000000005,33331.6,33373.64,33921.24,31561.600000000024,33935.68000000001,32698.64
14,84272.2,37685.04000000001,41618.08000000001,34189.96,71927.84,47889.44,48406.399999999936,36452.00000000006,36618.079999999994,33913.86000000001
15,82622.52,76906.39999999994,66980.31999999999,36022.92,82944.56,83871.64000000001,83381.48,81484.79999999999,41250.84,41389.04
16,80868.2,83089.2,83593.2,41132.4,81214.1,82691.4,81832.2,83126.5,81829.39999999998,67391.19999999981
17,83641.12,81488.08,81525.52,92262.08,79543.64,80960.64,88853.12,81573.4,91013.48,91172.84
18,98075.92,82360.96,80124.68,90736.64,98167.77999999993,96467.24,103847.92,82498.2,89252.82,89507.81999999999
19,136702.76,81258.16,78889.72,88894.08,114252.08000000002,102219.96,140208.32,83501.2,93075.95999999999,106552.76000000005
20,141734.44,96869.80000000012,88702.96,96401.48,139343.22,134862.63999999998,141408.76,113264.2,92976.68000000001,110460.94
21,145849.2,120754.8000000001,126323.79999999994,97319.6,142502.40000000002,141735.6,143592.8,141641.0,138490.80000000002,114200.59999999999
22,147692.34,125793.56,141153.44,127972.96000000004,145747.58,145568.08,145582.84,143505.9,149557.84,140331.52000000002
23,149979.88,129927.36,145283.48,147124.04,147908.36,152288.64,148799.52,147839.6,153196.92,151142.64
24,154252.48,131962.28,153688.08,151109.36,151225.46,154756.08,151463.92,147846.1,155876.92,155400.26
25,155890.84,143490.16,153302.16,153394.68,152998.48,153884.88,155858.96,151311.2,159452.63999999998,156392.12
26,155291.5,152536.0,155093.0,155050.0,154918.0,153854.0,155314.0,152264.0,162146.0,159847.5
27,158209.19999999998,154122.44,155169.84,159669.60000000003,160051.44,157066.4,156316.59999999998,157346.2,161212.8,161916.72
28,164722.22,152854.88,155959.72,163562.12,157567.34,155380.96,161012.6,157847.0,161932.78,160764.46000000002
29,185655.6,158184.32,161900.08,163229.84,167310.03999999998,161147.80000000002,167258.6,164510.6,160187.48,161393.44
30,195233.08,162081.83999999994,159277.16,161180.6,176093.88,176995.28000000003,179508.75999999998,167612.70000000004,174018.19999999998,165094.4
31,196761.0,175892.59999999998,166490.6,169800.4,179999.4,195604.6,194786.6,169072.0,184917.19999999998,171931.99999999994
32,197095.56,182423.04,170171.43999999997,174472.11999999997,193050.37999999995,200591.44,195283.56,173469.8,203032.48,195256.59999999998
33,196502.80000000002,190535.12,180854.28,194243.64,192287.08,202298.84,194872.80000000002,171040.0,207025.28,201848.83999999994
34,195439.3,197201.88,183133.2,203888.2,192239.12,201976.80000000002,194163.96,178926.0,207791.68,203336.44
35,212062.52,232560.72,182115.4,204663.72,200204.2399999999,202375.52,214390.96000000002,181515.0,208165.6,203142.8
36,229900.0,257919.8,197753.19999999995,204493.0,236816.5999999999,201898.4,228834.0,217029.0,208604.8,216385.5999999999
