index,157_1_www.oracle.com,157_2_www.oracle.com,157_3_www.oracle.com,157_4_www.oracle.com,157_5_www.oracle.com,157_6_www.oracle.com,157_7_www.oracle.com,157_8_www.oracle.com,157_9_www.oracle.com,157_10_www.oracle.com
1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2,1969.5000000000002,3881.5,5773.78,4046.3199999999997,4393.88,4358.72,3575.8,4213.16,4243.46,4063.6
3,5671.8,8493.0,13226.720000000001,8702.92,6507.599999999999,8012.320000000001,4568.639999999999,8859.84,8654.44,6165.0
4,8796.1,18789.0,27107.88,19029.239999999998,19182.76,28593.72,9194.399999999998,19344.12,19541.8,18953.2
5,19399.6,28027.0,35298.92,28357.12,28004.76,33120.04,21387.2,28334.68,44107.119999999995,28497.6
6,27527.0,30803.5,71617.19999999997,38307.00000000005,44444.60000000002,150085.4000000002,29825.6,32049.400000000012,79958.20000000001,30925.0
7,33175.799999999996,87017.0,161813.32,81411.96000000002,91701.96000000002,259848.44,43632.47999999999,51442.47999999999,171974.0,36519.00000000002
8,84806.99999999999,207981.0,268449.8,166491.92,154823.80000000002,367396.2,142594.92000000004,105436.36,295377.0,134444.00000000003
9,198471.99999999994,367414.0,388074.83999999997,236791.32000000004,239327.28,443643.16000000015,265579.44,125622.8,368355.04,184190.8
10,327965.79999999993,366755.5,530331.6,333094.80000000016,342661.68000000046,533617.84,361313.56,179632.64,414521.7200000001,275018.8000000002
11,366982.0,468401.0,556602.0,367812.0,465786.2000000003,567629.0,366450.6,214219.8,528246.0,329315.0
12,476642.3999999999,532817.5,583513.86,436432.08,532951.98,605785.0000000001,433644.04000000015,334283.44,539281.48,359136.4
13,533405.6,544277.0,671485.84,516765.48,568942.72,669786.8,530887.92,435607.32,567033.76,426210.60000000003
14,568061.7,562250.0,717137.48,537998.12,638514.0800000001,733269.12,567234.68,525134.1600000001,592086.38,516332.4
15,572896.0,590514.0,743078.4400000001,565415.8,662252.6799999999,750807.3200000001,584760.68,641378.84,639123.1199999996,657036.6000000001
16,594472.0,595098.5,813768.0000000001,598636.0,706134.8,865481.2,658111.6,662827.8,676543.0,662921.0
17,700544.1999999998,633401.0,876117.44,662650.76,725297.88,907915.44,673282.28,668828.4,706104.24,668926.0
18,732672.2,727008.0,907105.6399999999,685678.24,764099.0800000009,972082.7600000002,705949.4799999997,733623.84,764849.84,732350.8
19,743919.0,743075.0,1030855.1600000003,733973.12,814830.9199999999,1095161.16,736776.12,743006.28,785999.84,735248.8
20,878270.5,834988.0,1101976.3,794572.56,863019.0800000001,1107932.84,791041.12,783276.76,889287.76,812227.3999999999
21,907083.0,881309.0,1106371.8,870597.0,928338.8,1113780.8,832648.0,893885.2000000002,1033440.0,858250.0
22,943012.5,892657.0,1114593.42,898707.08,1011367.9600000008,1123575.12,897990.64,908713.88,1100506.22,907284.8
23,1077286.3999999997,914777.0,1141924.4,908366.4,1093215.96,1148356.8,907948.52,982783.88,1102782.04,928721.2
24,1095316.2,999719.0,1156363.32,961710.7600000002,1097754.16,1220280.6,1024156.6799999998,1028201.9600000001,1107932.52,1062866.4000000006
25,1097617.6,1098764.0,1202186.36,1092275.72,1112008.4,1254168.32,1093303.76,1080062.96,1135330.64,1096276.4
26,1106309.5,1104381.0,1216824.5,1095299.0,1115812.5,1264545.0,1094004.0,1095562.0,1137774.5,1098456.0
27,1113773.0,1109222.0,1267012.08,1102836.36,1129589.56,1288585.92,1098144.32,1098659.84,1155875.96,1108610.6
28,1121934.3,1120436.5,1276953.78,1109864.4000000001,1144760.9,1319396.8000000007,1098797.68,1098284.56,1200829.1,1113781.6
29,1143441.2,1128243.0,1285466.8,1122103.08,1161780.48,1373771.56,1126943.44,1117116.84,1239911.88,1124202.8
30,1161497.9,1143416.0,1356650.9200000002,1127808.52,1211515.5600000003,1408207.56,1129324.2,1134505.04,1264917.38,1135865.0
31,1207521.0,1167117.0,1425650.0000000002,1143125.4000000001,1249976.6,1432846.2,1147705.4,1137261.6,1267586.4,1149926.0
32,1250159.3,1203707.0,1437577.38,1169438.2000000002,1256776.58,1441501.36,1159925.4,1173373.96,1277470.0,1208477.0
33,1255680.5999999999,1213596.0,1453084.52,1222314.72,1259980.8,1459227.12,1220091.6,1220517.04,1305057.2,1220960.6
34,1324925.0000000002,1264538.0,1489988.4799999995,1250396.8,1294953.56,1509015.88,1250160.2,1251449.36,1392628.0,1273854.4
35,1349933.4,1266113.0,1517430.64,1260930.2,1363085.36,1516305.68,1253957.5599999998,1267562.36,1422846.4,1316192.8000000003
36,1356815.0,1271962.5,1527812.3999999997,1309641.6,1365046.3,1539175.2,1270713.0,1351558.8,1445210.5,1350916.0
37,1361550.6,1301638.0,1545262.04,1352070.56,1418037.2000000002,1545181.64,1302342.72,1354905.8,1467431.64,1358174.2
38,1416548.5999999999,1370444.0,1550666.46,1359777.2,1463483.46,1550647.84,1355229.4,1361187.28,1494943.7199999997,1393461.8
39,1421357.2,1372013.0,1552881.68,1367981.92,1466948.28,1553768.8399999999,1360411.24,1366369.96,1511124.16,1399701.6
40,1434274.7,1437983.5,1558748.62,1403446.16,1479644.04,1557833.7599999998,1397767.8,1429241.2,1518292.82,1421279.8
41,1450085.0,1440793.0,1595912.0,1408982.6,1499360.0,1615086.8000000012,1422454.6,1462537.2,1534835.0,1459957.0
42,1470081.2,1462428.0,1629997.74,1447607.4000000001,1504839.92,1630170.16,1429691.36,1477233.32,1546245.88,1471036.8000000005
43,1473901.8,1474971.0,1634375.24,1465886.36,1513533.04,1659958.9200000002,1440188.88,1497465.24,1549619.92,1480542.8
44,1477026.1,1507646.5,1668197.76,1481338.4800000002,1517988.2000000002,1692301.6,1469082.2,1501325.56,1553219.18,1498418.6
45,1511206.7999999998,1516197.0,1673199.32,1490892.28,1539683.6,1694911.04,1484671.24,1508642.56,1557859.72,1502290.8
46,1516644.0,1522051.5,1690871.1,1501411.2000000002,1544423.1,1699513.0,1504219.2,1513199.6,1579388.0,1508240.0
47,1523320.8,1537813.0,1699674.92,1508112.36,1549838.88,1703986.32,1507763.16,1533170.16,1625736.2,1512558.2
48,1541341.0,1544343.5,1704347.34,1513401.12,1551058.18,1707532.88,1514255.5999999999,1542423.24,1632020.22,1533147.4
49,1545182.8,1548121.0,1709390.96,1528516.6000000003,1553504.16,1714901.4000000001,1518533.08,1547066.48,1641111.88,1539388.4
50,1550961.8,1551627.5,1723795.22,1540299.56,1553470.08,1740684.6400000001,1539260.2,1550332.32,1668149.9,1544933.8
