index,169_1_www.avira.com,169_2_www.avira.com,169_3_www.avira.com,169_4_www.avira.com,169_5_www.avira.com,169_6_www.avira.com,169_7_www.avira.com,169_8_www.avira.com,169_9_www.avira.com,169_10_www.avira.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1477.42,1431.6000000000001,1368.3999999999999,1418.96,1214.26,1472.68,1368.3999999999999,1447.3999999999999,1442.66,1381.04
3,3554.16,3670.2,4013.4,3772.92,4532.240000000001,3560.64,4013.4,3595.2,3601.68,3978.84
4,4881.919999999999,4774.5999999999985,5441.2,5182.04,6250.48,5022.68,5297.999999999996,4963.2,4898.339999999999,5382.92
5,8530.68,5849.400000000001,5083.399999999997,6371.96,8440.24,6396.72,4504.200000000001,6840.399999999997,6013.72,4177.6399999999985
6,8100.900000000001,8168.0,8486.0,8347.800000000001,17520.799999999992,8145.6,8658.0,8300.0,8069.3,8410.800000000001
7,16661.08000000001,17115.8,7730.600000000003,12960.039999999994,19805.04,17272.36,8115.599999999999,17179.2,15014.840000000006,7662.159999999999
8,20225.64,18528.2,14040.199999999984,18858.56,22282.68,20268.44,17361.8,18683.8,18463.62,14854.12
9,21916.36,21418.2,19295.6,19833.44,25378.520000000004,21495.44,18960.2,19190.6,19541.68,20038.92
10,22318.32,22107.6,20429.399999999998,21523.359999999997,40471.799999999996,22333.76,20505.399999999998,19836.200000000004,21592.06,21614.84
11,27933.200000000048,22007.0,22454.0,22806.4,130252.39999999997,28698.4,22530.0,22540.0,22505.6,22268.4
12,40522.600000000006,36892.80000000002,22164.4,33240.68000000001,167429.48,39000.84,22546.399999999998,22534.000000000004,32260.419999999995,22396.8
13,100950.40000000004,53406.00000000008,39161.8,36833.840000000004,182715.68,107289.04,29952.199999999935,39515.99999999998,43640.200000000026,39291.88
14,153235.52000000002,140965.80000000002,49170.399999999994,43837.92000000001,186468.34,176280.31999999998,38692.6,100327.39999999995,124782.11999999994,64025.43999999996
15,175164.56,180693.4,85493.39999999998,92378.2,241782.36,183135.52,87092.79999999996,162995.19999999987,181378.44,134276.2
16,182956.5,182537.0,121980.0,164586.80000000037,253405.2,187137.0,140612.0,183770.0,183172.1,177915.0
17,185750.56,184819.4,181270.4,184142.48,348805.36000000004,196653.36,181783.4,185782.0,186874.72,182908.16
18,209670.9,212329.40000000002,183041.2,188039.08,425954.7,225226.71999999997,183554.2,187909.6,209005.64,184205.4
19,242159.96,241234.4,186952.2,189896.0,509960.2799999999,241997.16,185992.4,226133.39999999997,229725.56,185719.04
20,261673.52000000002,257716.59999999998,194955.19999999998,190575.68,531900.9,288440.68,204269.19999999992,242814.0,242193.82,215921.12
21,316850.20000000007,312940.0,241995.0,221030.80000000002,559182.6,364414.00000000006,242665.0,241750.0,280750.80000000016,234497.59999999998
