index,174_1_us.norton.com,174_2_us.norton.com,174_3_us.norton.com,174_4_us.norton.com,174_5_us.norton.com,174_6_us.norton.com,174_7_us.norton.com,174_8_us.norton.com,174_9_us.norton.com,174_10_us.norton.com
1,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,67.0,-442.0
2,17615.55999999999,17331.48,8764.400000000001,8742.06,8354.099999999999,8059.800000000001,8367.400000000001,8476.14,9114.12,13197.46
3,48865.32,42923.48,42373.4,34704.04,41727.8,29371.199999999924,41910.4,19932.76,43340.52,27102.72
4,76116.45999999999,67278.84000000001,53759.200000000004,53162.22,53001.3,52887.6,52519.2,51168.98,68453.20000000001,54273.78
5,147618.4,136553.88,79796.8,86644.84,78369.6,76689.2,77578.0,74007.99999999999,101324.6,70098.56
6,354063.39999999997,309677.5999999999,275592.0,214415.1,179054.5,237277.0,264357.0,155841.19999999998,273729.39999999997,174287.59999999992
7,432247.55999999994,404592.36,425361.39999999997,367997.4,376982.0,417610.8,382988.6,335167.80000000005,418871.72000000003,378896.04
8,503265.24,498954.64,483717.6,462468.7200000001,463149.5,482237.0,473549.0,382857.62,508557.6,459666.89999999997
9,543671.92,542978.68,517970.3999999999,508009.4,498889.0,507691.4,507325.0,477787.39999999997,555765.6,504251.56
10,600402.7,588665.52,530544.8,531224.1,549944.8,567721.0,601521.4,498654.62,739927.8,529116.2
11,705945.7999999999,784601.5999999999,680440.0,607881.9999999998,646700.0,677767.0,653405.0,558290.0,1019293.6,603655.6
12,743652.54,970520.4400000001,776606.2,708234.74,788800.8,928266.9999999993,766133.6,692421.5599999999,1134543.52,649317.9
13,770006.48,1088904.080000001,881362.6,794202.72,958867.0000000001,1048014.5999999996,894337.3999999999,883613.32,1399264.32,711935.28
14,827727.6599999999,1223177.5200000003,970912.8,874219.58,1217813.4000000001,1158662.7999999998,1062977.5999999999,1120629.92,1688690.12,727005.58
15,841942.24,1377494.6,1029232.4,932847.72,1383961.8,1224453.8,1202049.0,1253848.5999999999,1925571.4800000002,763901.28
16,881039.1,1532688.2,1062759.0,967894.0,1491000.5,1348814.0,1329032.0,1427403.8000000003,2185837.2,780245.5
17,939471.8799999999,1592979.32,1073381.4,996656.36,1609900.8,1441256.2,1422494.3999999997,1610156.72,2618561.0,806297.64
18,994243.86,1658879.8,1113782.4,1033923.92,1744712.6,1561850.9999999998,1572640.8,1796259.3,2668888.92,852561.66
19,1058920.4799999997,1796862.4,1135831.8,1095229.4,1904763.0,1696951.6,1673194.399999999,1927633.2400000002,2684495.04,886015.3999999999
20,1149885.72,1902630.5999999999,1191132.4,1166550.6,2136068.5,1730706.6,1785770.8,2143166.28,2703659.0,930690.22
21,1231652.8,2079870.0,1267796.0,1212124.0,2360798.0,1765365.0,1848467.0,2368935.7999999993,2796032.4,977918.4
22,1302952.0999999999,2200816.8000000003,1382215.4,1335837.8,2584938.9,1846053.2,1928207.0,2556746.0400000005,2838084.16,1043556.26
23,1414844.36,2390689.96,1472741.0,1491607.4000000006,2666993.6,1934956.4,1994850.6,2648716.88,2971023.44,1089722.6400000001
24,1573594.6399999997,2521659.2,1597469.0,1598221.38,2678729.8000000003,2041052.5999999996,2025044.0,2662179.94,3117713.44,1213732.7
25,1717095.3199999998,2703950.68,1719821.4,1746582.6,2688831.2,2155629.8,2189034.8,2666546.76,3141015.48,1290441.44
26,1851092.0,2755017.0,1838761.0,2018214.5,2714959.5,2264314.9999999995,2293590.0,2674722.5,3165966.0,1371483.0
27,1952350.1999999997,2785585.56,2055031.799999999,2249673.280000001,2733049.400000002,2390748.1999999997,2382137.7999999984,2689432.88,3174112.68,1500935.6400000004
28,2092019.0,2831647.2,2245305.0,2453197.6,2806704.5,2496407.5999999987,2576206.7999999993,2749520.28,3195353.92,1629159.44
29,2214160.6,2885101.24,2542902.0,2601073.56,2828896.2,2588133.5999999996,2724024.8000000007,2772296.48,3314869.96,1702055.0400000005
30,2396898.1599999997,2957343.52,2776139.0,2822281.1,2966106.2,2606703.5999999996,2838788.3999999994,2830374.68,3381891.76,1778067.7799999998
31,2459834.4,3089438.0,3072692.0,3042680.6,3110193.0,2792105.0,3038314.0,2957356.8000000003,3387684.6,1854924.8
32,2602397.959999999,3137134.92,3127542.6,3056428.68,3126046.0000000014,2957524.0,3122592.0,3105847.48,3409952.08,2042972.9
33,2800790.4,3166680.28,3149405.6,3075710.52,3144062.8,3053335.0,3141036.4,3116299.48,3419665.56,2213387.6
34,2959445.3,3187220.9200000004,3157709.0,3114514.4000000004,3160554.1,3064078.0,3163660.0,3146207.9,3444253.08,2299040.12
35,3080854.4,3208339.88,3175581.4,3210072.04,3175230.8,3091465.6,3173591.2,3154682.44,3450566.88,2359428.76
36,3146572.0,3260652.6,3248673.0,3252799.1,3190554.5,3153978.0,3185025.0,3173011.9,3456774.2,2380849.0
37,3166970.92,3317093.64,3260464.4,3282914.28,3231971.0,3163244.2,3253864.8,3179581.76,3485569.2,2400364.24
38,3188472.38,3384609.72,3377222.8,3292063.32,3325347.5,3253112.1999999993,3370000.8,3213510.0,3529058.4,2407886.34
