index,181_1_www.microsoft.com,181_2_www.microsoft.com,181_3_www.microsoft.com,181_4_www.microsoft.com,181_5_www.microsoft.com,181_6_www.microsoft.com,181_7_www.microsoft.com,181_8_www.microsoft.com,181_9_www.microsoft.com,181_10_www.microsoft.com
1,-442.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,1390.52,1499.02,79.22000000000003,75.26000000000002,1366.82,1426.86,1419.6,-258.0799999999998,1509.94,1400.0
3,3952.92,3809.8400000000006,1613.1599999999999,1656.2799999999997,4017.72,3708.7200000000003,3944.28,4261.399999999998,3950.48,4057.0
4,5323.48,6298.560000000009,4464.98,2373.7200000000003,5193.86,4892.98,5430.64,5787.98,4426.98,5409.0
5,6518.52,10000.200000000006,4931.88,5578.639999999999,4651.120000000001,6087.24,6798.72,6533.84,8490.36,4539.0
6,8382.6,12529.8,9004.1,7273.200000000002,8234.4,8176.3,10127.2,8897.699999999999,8913.000000000005,8532.0
7,9577.600000000002,13964.48,10538.88,8018.16,7528.279999999998,12909.839999999998,13008.640000000001,20074.28,17249.839999999997,8018.0
8,19574.600000000002,16239.140000000001,17701.740000000005,17894.3,19561.12,19136.399999999998,14168.44,19833.88,20046.499999999996,17802.0
9,19547.48,27459.52,22744.440000000006,20229.12,18983.2,19421.6,16023.44,36785.399999999994,49675.2,19436.0
10,25494.0,27126.2,25854.36,26188.440000000002,24397.599999999984,29116.88,17906.600000000002,51083.28,57552.46,36225.0
11,25701.600000000002,36260.4,25278.600000000002,26509.8,57116.4,33548.799999999996,26995.0,51238.200000000004,60620.4,54645.0
12,25773.32,50170.58,26584.08,25125.86,55853.840000000004,31847.320000000003,27486.44,52096.86,59274.18,56926.0
13,27081.56,54483.880000000085,41468.76,42442.479999999996,53572.719999999994,51148.92,50420.79999999992,68922.32,57622.56,55331.0
14,47288.52,64859.94,47330.64,45927.76000000001,70125.46,52402.56,57864.36,80799.14,71020.58,56313.0
15,67698.11999999998,66326.56,47038.2,48159.6,81870.16,64751.04,58495.16,90767.64,75046.76,55160.0
16,71303.8,65863.7,45944.6,52239.7,87677.20000000001,68219.8,56927.6,90517.9,88383.9,69764.0
17,70966.08,69582.16000000002,49356.92,54514.36,92689.28,73965.76,55763.04,91719.47999999995,92637.4,91449.0
18,70182.28,77089.46,52334.65999999999,61679.44000000001,92279.94,76330.02,64745.72,108151.59999999998,96471.48,95929.0
19,85659.76,78868.36000000002,64088.44,64324.28,96700.76,78815.92000000001,66896.24,121291.72,115949.92,121559.0
20,89828.88,83773.56000000004,62301.62,90560.46,119040.58,82833.86,79042.36,137976.09999999998,118091.86,120816.0
21,90892.6,103856.4,73816.99999999999,89780.00000000001,123409.4,107114.80000000013,81292.0,149097.6,135476.8,120399.0
22,89326.28,115199.40000000001,89858.09999999998,100570.79999999999,130270.00000000006,116410.89999999998,83324.28,165066.89999999997,160787.15999999995,134079.0
23,104582.76,124250.24,104499.43999999999,124920.6,154482.36000000002,133235.59999999998,87204.40000000001,173334.2,186358.39999999997,138701.0
24,113578.80000000002,142442.88,110320.72,140201.40000000002,156697.9,148422.4,97420.76,185264.07999999993,201054.69999999998,138749.0
25,129032.24,161345.4400000001,117844.6,154629.11999999994,158184.72,162758.6,111317.88,217439.6,207605.36,142115.0
26,139267.0,171939.00000000003,140618.0,166226.0,178990.5,173039.0,139092.0,244601.0,218762.5,160998.0
27,158945.04,196442.6000000001,152936.24,184002.24,196139.80000000002,184261.68,146766.39999999997,259741.12,228751.48,174061.0
28,163284.52,199520.94,172930.3,195156.30000000002,213775.19999999998,185837.3,188154.04000000007,285175.06,236613.30000000002,186352.0
29,169865.63999999996,212587.60000000003,188253.52,206883.6,228152.04,187502.6,202478.79999999996,284529.39999999997,250221.63999999998,193440.0
30,178667.68000000002,226970.4,188556.48,220394.52000000002,240310.31999999992,200841.77999999985,252224.6,318108.76,277713.4,196115.0
31,182001.80000000002,232276.8,200658.0,246420.60000000015,285650.8,226613.0,261660.4,337221.8,289118.0,198168.0
32,186482.4,248684.82,222462.6,273828.72,289551.57999999996,236351.98,276020.5600000002,342152.3999999999,296762.60000000015,222473.0
33,222160.19999999998,267316.48,238519.32000000004,303087.2,299317.12,247837.4,302007.88,368539.8,344343.68,228636.0
34,232056.4,266036.04,259601.18,312142.32,302121.34,254377.5,301973.6,402114.94,361186.3399999998,243232.0
35,243984.39999999997,295213.04000000004,263680.08,320723.60000000003,314821.92,292982.6,301395.6,422673.55999999994,376496.76,268913.0
36,267137.39999999997,323924.60000000015,268278.5,343390.50000000006,323670.90000000014,313779.8999999999,311339.0,445667.9999999998,400731.19999999995,293628.0
37,276938.8,354207.16000000003,292637.0,360869.39999999997,337121.48,337835.28,315001.96,459954.39999999997,423034.0800000001,326955.0
38,288984.6,394353.9000000001,323251.12000000005,381086.3,336104.84,371484.3,317441.84,485244.4199999997,461109.9799999999,336439.0
39,299280.83999999997,413391.9600000001,355379.1599999999,395895.2,340976.16,405196.96000000014,318617.84,522432.91999999987,493102.44,348931.0
40,322943.83999999997,436273.6800000001,365319.56,417328.28,349002.06,431221.48,352227.8,547099.36,498665.54,404143.0
41,342983.0,467117.0,370258.0,427902.2,359209.0,437620.6,369873.8000000001,597923.8,544816.8,421994.0
42,354281.8,493861.3800000002,391489.1600000001,430529.32000000007,376806.22000000003,450556.36,403231.4399999996,595562.1,551333.76,440885.0
43,364434.07999999996,520406.32,421403.6399999999,453992.4,384596.24,477943.48,423390.39999999997,608219.2400000001,572879.48,443715.0
44,379229.31999999995,550426.28,452877.80000000005,469681.7,413377.63999999996,509102.7,455207.52,609342.18,591431.38,472153.0
45,392754.19999999995,548716.12,467243.56,484433.92,432813.3199999999,540992.9999999999,475849.24000000017,611088.2,587313.28,476586.0
46,415846.0,558496.2000000001,474408.00000000006,499855.7,453220.50000000006,545846.5,520339.9999999998,612686.8,594321.3,497008.0
47,418587.80000000005,577339.3200000001,484746.96,518794.80000000005,466327.28,562894.28,547497.68,612957.3200000001,605857.48,507516.0
48,430370.28,596531.6400000001,518306.76,532369.12,484797.74,571533.24,560137.96,615455.26,608236.7000000001,528836.0
49,449790.96,605761.8400000001,535050.48,534255.3999999999,501423.6,585595.9999999999,558420.7999999999,616739.88,602582.32,539917.0
50,496625.36,601117.76,544088.7000000001,553832.7,542582.6799999999,594241.34,563980.2,619125.74,602557.84,555555.0
