index,1_1_www.google.com,1_2_www.google.com,1_3_www.google.com,1_4_www.google.com,1_5_www.google.com,1_6_www.google.com,1_7_www.google.com,1_8_www.google.com,1_9_www.google.com,1_10_www.google.com
1,-442.0,67.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,67.0,0.0
2,1330.48,1704.68,109.72,893.9200000000003,1553.6000000000001,1330.8,-46.08,-176.52000000000004,1755.0,-146.39999999999998
3,533.76,844.5200000000002,1543.8,1274.76,708.7200000000004,537.44,-236.16,1518.1599999999999,1350.0,-235.20000000000002
4,4478.44,2823.7200000000003,851.3800000000001,2290.7599999999984,4681.56,4178.079999999998,1509.9600000000003,680.4399999999998,2534.0,-88.80000000000007
5,4500.68,4637.5199999999995,2308.48,4687.48,6206.08,4444.36,577.7599999999999,4571.32,4728.0,-212.40000000000015
6,6710.4,6675.4,4485.1,4289.799999999999,8291.799999999994,6924.6,3339.399999999997,4540.4,7212.0,1692.5
7,8200.52,7992.28,7153.52,6036.88,10054.68,8385.36,4380.279999999998,6109.56,7207.0,470.80000000000217
8,11883.000000000002,12808.64,7200.38,8576.279999999999,13628.36,8479.8,6642.76,6935.800000000001,7397.0,4675.299999999999
9,12301.32,21253.199999999968,7782.6399999999985,10077.36,13915.719999999998,12592.68,6481.04,8223.759999999998,12564.0,4207.800000000001
10,42569.47999999999,82710.44,12623.279999999999,10378.599999999997,74937.11999999991,12721.92,12621.279999999999,9847.88,29224.0,6624.4
11,82403.0,85590.8,12578.600000000002,14338.2,85783.2,40676.8,12232.2,11743.800000000001,51534.0,7592.0
12,83599.24,85952.67999999998,57930.48000000009,14431.54,87189.96,69369.20000000001,48349.159999999996,12449.44,82677.0,12437.999999999996
13,83963.04,91624.12,81908.64,28694.6,93363.68000000001,81968.36,82557.59999999999,49959.439999999915,83879.0,12958.400000000001
14,89563.16,92929.92,83629.06,63915.240000000005,94719.04,83727.36,86169.28,81340.36,83168.0,82658.59999999999
15,92197.88000000002,93549.08,87225.72,84399.48,97738.84,85255.76,85739.92000000001,82750.96,85482.0,82941.39999999998
16,93524.2,108682.99999999991,91522.3,85776.1,163381.99999999997,86776.6,91879.8,84540.2,93241.0,86040.5
17,95076.6,167327.2799999999,92992.48,85168.56,231978.39999999997,92940.44,93330.64,86237.28,93775.0,87588.4
18,150784.04,230745.36000000004,93561.36,87359.54000000001,250045.43999999997,93552.2,93180.08,89976.12000000001,93183.0,91437.6
19,181943.4,248466.24,97811.80000000002,92880.24,250228.76,124824.28,119219.59999999998,91861.44,128065.0,93304.2
20,219094.2,248275.88,155300.56000000003,94924.62,254921.59999999998,164041.15999999995,168114.31999999995,92450.48,171924.0,93857.1
21,228474.2,300052.9999999998,221251.60000000003,97630.40000000001,295412.3999999998,214886.20000000004,213301.59999999992,111479.99999999994,225512.0,129642.0
22,245063.52000000005,312679.48,234269.08000000002,99179.77999999998,322318.72,246687.28,247238.52,164915.23999999993,246589.0,200108.59999999992
23,248443.63999999998,313914.04,248186.24,101759.96,321794.52,245929.92,248604.88,223521.63999999996,245585.0,246903.8
24,248292.64,315888.48,249545.8,135850.98,324016.36,248015.2,248246.16,245437.04,247827.0,248658.7
25,277080.3999999999,318998.44,312392.04,201240.63999999993,327191.56,269613.04,313092.88000000006,247130.92,312821.0,256040.99999999968
26,312934.0,319710.0,313923.5,254904.5,329052.0,312960.0,314684.0,246664.0,314236.0,312925.5
27,315585.04,318132.76,313383.24,254381.84,333999.84,314283.36000000004,314357.92,249771.0,313843.0,314435.4
28,316838.80000000005,326189.36,315600.34,255813.62,336628.88,313973.08,315967.64,255379.43999999992,315507.0,314131.6
29,321727.92,331328.56,318848.76,271212.36000000004,376067.2,315696.52,319470.36,282500.64,319043.0,316196.8
