index,201_1_siteorigin.com,201_2_siteorigin.com,201_3_siteorigin.com,201_4_siteorigin.com,201_5_siteorigin.com,201_6_siteorigin.com,201_7_siteorigin.com,201_8_siteorigin.com,201_9_siteorigin.com,201_10_siteorigin.com
1,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4440.0,4644.4,4584.8,4798.96,5270.099999999999,5071.72,5051.8,5084.92,4719.84,5345.96
3,23115.600000000002,8630.800000000001,10929.8,12072.92,11060.799999999994,10981.84,10981.6,9072.6,10749.92,12872.04
4,49029.600000000006,24804.399999999994,23345.600000000006,18280.44,19137.799999999996,26422.16,22858.4,25815.76,38667.64,18313.36
5,61056.6,54403.6,60166.6,34607.64,43142.6,32086.319999999996,60524.8,60713.76,62006.52,31586.56
6,140709.0,67611.0,132774.0,66735.6,67060.0,64613.4,74606.0,132471.99999999997,189702.4,68505.6
7,155006.99999999994,137758.80000000005,155600.8,160430.52,120294.7999999997,137357.88,155722.80000000002,156388.56,285276.92,151390.19999999998
8,221017.99999999988,169953.20000000027,247768.8,164630.63999999998,165223.5,165607.56,179015.0,235279.88,323110.72,217779.6799999998
9,305243.19999999995,262057.8000000002,340218.8,249227.16,254256.8,167726.6,251660.4,278371.3599999999,410068.56,295445.16
10,382532.6,341422.0,454959.6,348113.16,309053.3999999999,215559.40000000002,370109.7999999997,419898.51999999996,454579.12,333474.32000000007
11,456047.0,457623.0,482744.0,462185.0,420796.0,279897.0,417036.0,457738.2,482719.6,419876.5999999999
12,488377.39999999997,489407.4,487803.4,496976.08,465073.8,409325.6,488324.6,484639.2,488122.88,471296.19999999995
13,492823.80000000005,494331.00000000006,504570.8,502041.04,498195.0,471897.08,495160.2,489936.19999999995,507221.92,481323.28
14,513282.8,516447.0,534033.2,521822.76,507030.0,501343.64,512109.19999999995,507580.64,532521.92,487508.48
15,541157.4,538777.6,544924.0,547931.32,520715.8,519140.0,541191.8,508805.12,546617.2,521895.44
16,545254.0,545410.0,564825.0,554934.0,522008.5,543103.0000000001,542846.0,522934.4,563728.0,528985.6
17,555885.4,562889.0,711141.5999999999,568197.44,524507.8,551596.52,556864.3999999999,558769.4399999997,673111.0,541461.04
18,574591.0,655219.6000000001,725897.6,691402.4400000002,584899.1,561107.36,614649.6,648616.6,725796.92,557514.48
19,677887.2,736481.8,739807.4,736878.56,699336.6,623127.4800000002,728064.6,682289.7999999999,740327.44,606574.6400000001
20,734433.6,737849.4,746612.8,747739.48,738776.3,730954.4000000001,756162.8000000002,735065.96,758038.16,665897.36
21,743827.0,748048.0,765459.0,750576.6,778460.0,736034.6,763121.0,759210.6,811274.6,675682.6
22,758725.2,762994.6000000001,848856.0,779965.44,879553.9,744217.16,772016.2,762252.72,862885.52,707924.92
23,764687.2,814898.2,935374.0,859257.08,886171.2,745599.16,799347.8,769594.36,946392.2,713326.2
24,793096.0,874976.0000000001,982015.6,976148.1999999998,904972.7,782303.72,903643.9999999999,891940.4,994337.24,762596.08
25,856614.9999999993,937197.0000000002,984503.4,995569.2,1048207.3999999997,842493.88,982258.5999999994,960677.2399999998,996661.72,874301.2399999999
26,906584.0,965082.0,985473.0,1019817.0,1075073.5,902004.0,990129.0,1056947.0,996312.0,948869.0
27,909647.8,969053.4,1002891.2,1023402.36,1109313.4,900780.04,1107372.0,1084211.92,1027588.52,1001683.44
28,932254.2,1105874.8,1021836.8,1029137.76,1113811.3,906150.9600000001,1138358.5999999999,1103736.7999999996,1032504.56,1045261.2800000004
29,940219.8,1113528.2,1053061.2,1041006.96,1187123.1999999993,932367.16,1147074.0,1175242.32,1048393.16,1074951.5599999998
30,944674.1999999998,1143940.4000000004,1199617.5999999985,1105512.5599999998,1227662.9999999993,942918.72,1296237.7999999993,1185651.96,1136753.7999999998,1121485.5599999994
31,960675.0,1290054.0,1344664.0,1231241.2,1398446.0,1008148.4,1420304.0,1264091.6,1290193.0,1209603.2
32,1067250.8,1418173.0000000002,1514587.3999999997,1386281.919999999,1484783.5999999996,1125731.080000001,1600573.1999999997,1356036.4399999985,1423921.2,1289965.9599999995
33,1184004.5999999996,1570628.2000000007,1686844.7999999993,1552738.2399999993,1603130.6,1230982.56,1734232.6,1465409.24,1599287.48,1455790.2399999998
34,1336473.2,1765687.6000000015,1905475.399999999,1724468.68,1822979.1999999988,1392160.4400000002,1900873.2,1686365.4799999997,1746534.08,1653070.76
35,1448746.4,1913368.2,2066471.5999999999,1910278.8800000004,2036698.799999999,1536798.72,2076735.2,1902468.6399999994,1903744.44,1884583.4400000002
36,1569156.0,2065183.0,2176846.0,2084121.1999999988,2276258.5,1713200.6,2116285.0,2062353.9999999998,2058597.9999999993,2099507.8000000003
37,1733679.5999999996,2183505.6,2329890.4,2272477.5199999996,2430494.6,1883326.4800000007,2270477.199999999,2211322.7199999993,2192904.6,2256175.52
38,1874903.4,2271177.4,2483651.0,2386204.16,2638412.6,2051260.1600000001,2451955.4,2337615.759999999,2379101.32,2359117.6799999997
39,2011329.599999999,2388937.800000001,2536180.4,2502589.239999999,2658281.4,2211116.28,2574147.6,2580463.2399999993,2494546.04,2545197.079999999
40,2163466.599999999,2501310.0,2615485.6,2531591.76,2668014.4,2361799.5200000014,2605443.8,2624857.92,2516486.8799999994,2574796.56
41,2286171.0,2595166.0,2617862.0,2627349.6,2662520.0,2407493.8,2604256.0,2633368.2,2611249.8,2579929.0
42,2298146.6,2595550.2,2623862.8,2625001.32,2638235.3,2533112.52,2612021.1999999997,2634742.2,2610711.32,2576498.4
43,2398462.9999999995,2598981.0,2627444.8,2632728.0,2641698.4,2532827.16,2620987.6,2609083.08,2616866.84,2551546.32
44,2525400.4,2609194.2,2643557.6,2640257.52,2645467.2,2542855.04,2627683.0,2613401.52,2623874.88,2553932.68
