index,203_1_www.warnerbros.com,203_2_www.warnerbros.com,203_3_www.warnerbros.com,203_4_www.warnerbros.com,203_5_www.warnerbros.com,203_6_www.warnerbros.com,203_7_www.warnerbros.com,203_8_www.warnerbros.com,203_9_www.warnerbros.com,203_10_www.warnerbros.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4081.44,3976.6800000000003,1668.1000000000013,4035.0,2758.199999999999,1695.8000000000006,4048.76,3570.2000000000007,1900.3999999999999,4045.3199999999997
3,4537.44,6954.32,5234.88,4702.0,5029.04,5658.44,4755.32,5142.08,5069.88,4506.6
4,8475.58,13437.18,6036.02,8716.0,8354.08,6466.76,8757.32,8471.02,8420.539999999999,8510.24
5,15941.560000000001,16422.120000000003,9034.800000000007,16610.0,15892.16,9626.400000000003,16344.24,15975.76,10901.599999999999,16019.44
6,40194.799999999996,23879.2,15404.200000000003,39452.0,40394.7,36188.6,39578.4,40230.7,19134.20000000002,39573.799999999996
7,40856.04,48049.24,39393.76,100106.0,40952.16,34555.84,45214.23999999987,39027.68,39669.4,76523.68000000002
8,145659.38,48527.62,40266.38,219002.0,77302.59999999995,79464.15999999999,143398.2799999999,145855.91999999998,57930.63999999996,187476.96000000017
9,247349.0,118590.67999999996,116300.60000000002,350290.0,160265.63999999993,175752.24000000002,241641.2,214091.6,149858.16,303999.2400000001
10,367243.84000000026,244727.1199999999,219542.84000000023,484758.0,275927.43999999994,274741.72000000003,364933.16000000003,350411.7600000002,245326.78,444186.12
11,491986.8,382484.4,328389.60000000015,642034.0,390322.99999999994,378347.80000000016,463302.4000000001,473828.80000000016,300059.8,448997.8
12,617537.92,480169.8,434792.36000000004,671947.0,539160.7599999997,508698.16,570431.84,598110.18,302265.86,452539.88
13,669735.84,663195.5199999999,519210.08,671725.0,639593.44,610407.68,629827.28,669964.44,398886.2399999999,454254.72
14,674286.6000000001,679536.9,603340.8800000004,676167.0,649676.96,671573.64,676300.92,672246.42,451294.96,476077.8
15,677540.04,682628.96,670256.4,709312.0,673224.72,675463.04,678575.16,674272.8,520488.8,543691.8800000002
16,708879.1,685716.3,673723.1,709460.0,676029.9,677610.4,682496.4,680558.8,631938.3000000002,686750.8
17,707560.52,718287.64,675876.76,712887.0,706598.64,703924.6,712735.76,694683.36,675736.84,695167.32
18,710791.78,719496.68,706299.74,716235.0,709317.16,709152.5599999999,713113.12,711369.12,673882.52,711195.36
19,714715.12,722037.5199999999,709392.72,719550.0,713268.36,709746.48,717058.2,713331.12,695195.04,715250.4
20,718819.34,723915.36,709749.84,729886.0,714210.74,710809.92,724836.2000000001,712555.8,704902.6799999999,718866.92
21,726214.2,754344.9999999993,711896.8,740727.0,718067.7999999999,716539.0,739976.0,719748.0,709088.4,725710.6
22,739558.4,802475.74,715388.14,839807.0,731222.12,722210.8,740593.36,729705.1,715121.32,740094.2
23,805765.12,825678.92,720412.92,942131.0,738922.2799999999,721240.44,753155.2400000001,733150.12,713878.84,777234.6800000002
24,941170.24,826298.92,733013.16,1060940.0,739237.72,720990.4,881154.08,737577.2200000001,723219.04,874787.48
25,1043255.2400000003,877296.96,735901.64,1196853.0,842175.48,801942.1200000001,1098548.8399999999,816161.7200000002,730346.92,979331.7200000001
26,1177474.5,980016.0,738145.0,1344265.0,984923.0,915624.0,1234766.0,896218.0,749668.0,1095077.0
27,1297335.7600000007,1116346.2399999993,787107.1200000002,1351515.0,1146415.1600000001,1041656.8800000004,1350125.72,1007919.7200000007,834606.56,1228316.28
28,1349177.26,1258672.3999999997,885269.3600000003,1430379.0,1304280.5599999996,1151367.7600000007,1369157.8,1125915.32,943977.0399999996,1349595.36
29,1374229.04,1382043.28,1002764.28,1468537.0,1350088.3599999999,1253258.44,1431689.44,1240782.28,1074851.92,1390611.4800000004
30,1428732.0,1438218.96,1102922.1,1601254.0,1389717.64,1331608.24,1454192.0,1349514.98,1197188.08,1430508.76
