index,207_1_www.justice.gov,207_2_www.justice.gov,207_3_www.justice.gov,207_4_www.justice.gov,207_5_www.justice.gov,207_6_www.justice.gov,207_7_www.justice.gov,207_8_www.justice.gov,207_9_www.justice.gov,207_10_www.justice.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1433.18,1350.4,1406.32,1327.32,1444.24,1453.72,1332.06,1422.1200000000001,1352.6000000000001,1389.6000000000001
3,4566.28,3876.2,3875.64,4107.24,3599.52,3586.56,4096.92,3747.24,4052.2,3549.7999999999993
4,5667.74,4135.08,5408.679999999999,4481.040000000003,5191.32,5079.72,4107.26,5012.16,4444.000000000005,4129.52
5,6763.84,5050.360000000001,6481.32,4638.68,6713.8399999999965,6098.88,4696.92,5984.4800000000005,4697.400000000001,5258.12
6,8968.1,6338.200000000001,8338.6,8576.6,8513.8,8188.400000000001,6273.3,8282.4,8655.0,6483.6
7,14739.879999999994,8331.12,10303.800000000005,8593.68,14969.72,12673.519999999997,8476.36,13058.36,8456.399999999998,8491.16
8,25116.97999999999,7902.1999999999925,14649.800000000001,12728.640000000003,24606.079999999998,24195.68,11691.599999999993,24333.72,14829.200000000008,8109.4400000000005
9,25602.64,14731.48,24600.24,14757.2,24769.48,22683.039999999994,14550.599999999999,22252.32,24929.399999999998,14957.52
10,24514.46,24632.08,24737.96,23376.12,23624.280000000002,23125.84,23546.960000000003,23326.079999999998,25487.6,24740.36
11,22863.8,25154.2,22701.600000000002,24983.2,22102.399999999998,21708.4,24726.2,22210.2,24747.0,22761.4
12,30970.080000000024,24399.760000000002,21871.12,23792.84,34584.71999999998,55726.55999999996,23861.720000000005,45153.0,23131.600000000002,24218.079999999998
13,50998.39999999999,23206.079999999998,25412.48,31290.16000000002,65423.399999999994,59404.19999999999,26312.559999999958,55584.399999999994,38637.399999999994,23921.52
14,75121.34,31683.71999999998,27764.640000000014,55330.72,73274.48,88685.92000000003,54154.15999999994,64844.2,54678.6,22334.48
15,94336.07999999999,54518.76,46130.48,54286.159999999996,97260.36,95977.52,62902.04,83965.96,63542.60000000002,32681.679999999997
16,96433.7,62522.200000000004,60309.00000000001,75784.40000000002,100077.6,97912.8,66659.59999999999,90373.2,66480.0,58876.799999999996
17,101295.72,66621.28,70638.12,85979.64,102404.84,100237.52,89142.96,94883.92,68379.6,61007.08
18,100959.54,70251.35999999999,89694.6,98767.36,103881.31999999999,103503.20000000001,91514.07999999999,94521.04,75040.4,72518.83999999995
19,105233.16,70334.36,99731.04,98356.76,102215.59999999996,104282.84,94993.52,97591.51999999995,74983.2,81147.84
20,108329.78,72832.88,98763.72,98067.0,103030.04000000001,103834.39999999998,99166.16,113625.12,92640.60000000014,84804.87999999999
21,107212.0,102588.19999999998,96628.4,103633.4,126741.5999999999,126331.59999999999,101032.79999999999,112649.6,103106.0,87613.4
22,110631.68,104673.92,99585.88,103777.60000000002,142663.24,145015.48,104910.88,150073.59999999998,104155.4,88159.23999999996
23,110181.84,103270.76000000001,106540.19999999998,104159.16,153781.75999999995,150476.44,123184.03999999986,151388.32,102547.0,97361.44
24,109802.38,107906.80000000002,112607.6,104902.24,155258.88,159092.79999999996,144221.88,158593.16,105030.00000000003,101688.20000000001
25,122145.19999999998,109133.60000000002,114693.8,118524.84000000017,159210.4,160459.47999999998,150163.96000000002,156255.28,107546.40000000001,102273.08
26,140242.0,112553.0,136078.0,127567.0,161793.0,215120.0,148092.0,174952.0,108376.0,138067.0
27,211242.5199999998,114343.96,164978.8,127684.28,200166.28000000003,234396.80000000002,152282.36,178247.12,145743.6,138739.52
28,264028.0,114250.52,163938.99999999997,126919.76,237989.27999999988,278214.27999999997,157077.98,217878.80000000002,155914.00000000003,138919.88
29,280629.8399999999,127631.83999999978,196007.36000000002,130347.28,286480.19999999984,296756.4799999999,157667.56,254638.24000000005,189974.80000000002,148819.19999999998
30,315889.86,158736.44,225731.71999999997,132471.71999999997,316623.68,319428.64,157774.58,301773.12,203050.2,166866.39999999994
31,349594.5999999999,176056.0,257590.6,152340.0,346652.6,387159.1999999998,179186.4,332360.8,201585.0,182014.6
32,403755.98,192934.63999999998,267972.23999999993,170525.48,368084.44,402592.92,200934.28000000003,385868.68000000005,206824.0,184877.52
33,405624.04,216953.68,304238.28,175944.6,382316.4399999998,406119.16,241332.2399999999,403061.44000000006,218752.80000000002,184496.96
34,406214.75999999995,240948.56,316897.96,202331.80000000002,406406.28,405915.84,297658.87999999995,404251.24,239647.00000000015,183291.6
35,410294.28,255321.07999999993,345506.88,238811.36000000002,405064.44,412277.68,308255.11999999994,406094.08,276029.40000000026,194883.08
36,411408.8,271697.39999999997,379780.8,273403.2,428954.99999999994,412200.8,342981.3999999999,409041.0,297528.0,217353.19999999995
37,414806.12,293587.3600000001,399355.2799999999,314161.1599999999,471185.8799999999,416675.3600000002,365142.92,412586.0,334538.0,243497.6399999999
38,419166.44,316061.24,411086.19999999995,353439.96,521413.47999999963,446551.3999999998,389454.82,430519.52,338617.4,275843.4799999998
39,438896.5199999998,339515.31999999995,456286.0,382482.44,559875.92,476474.27999999985,404854.32,432821.64,374015.00000000006,304516.8399999999
40,440699.54,365204.52,507070.7200000001,405423.4,596882.08,513070.75999999983,406556.96,434132.44,379125.60000000003,350457.83999999997
41,450465.00000000006,390602.79999999993,525024.2,455074.9999999998,631173.6,550478.5999999999,405592.8,433644.2,406421.0,368902.39999999997
42,494984.39999999997,403897.28,535826.4400000001,503796.76,643781.7199999997,610788.88,402393.64,455770.60000000003,409367.00000000006,390378.1199999999
43,532491.72,403383.60000000003,551231.28,533754.36,649235.04,649694.12,423286.24,507364.0799999999,413113.2,403119.12
44,578850.36,426987.32,570687.12,575244.48,676139.7199999999,666930.1600000001,452431.3599999999,539403.5200000001,413874.4,400756.68
45,639804.2000000001,475501.5199999999,597075.5999999997,618888.4799999999,701193.52,701212.08,487002.67999999993,572125.9199999999,424290.2000000001,433831.8
46,658087.5,506981.6000000004,636322.8,623013.0,703504.2,703236.4,511197.4,624688.8000000002,431107.0,472709.1999999999
47,689762.7599999999,543305.0800000001,652193.72,623983.88,706819.36,706320.08,543025.64,656396.48,448318.00000000006,506390.56000000006
48,709575.26,577069.1600000003,656034.04,624237.36,717971.68,717748.96,584357.1999999998,691783.2000000004,498834.0000000001,555983.0399999996
49,711582.64,619616.28,658986.3600000001,628977.76,717865.12,717756.64,601652.24,709464.04,528660.2000000008,611506.6
50,714660.9,621341.4,658966.84,630779.68,717977.44,717716.32,616663.2,710936.08,573203.0000000002,619988.6
