index,211_1_www.playstation.com,211_2_www.playstation.com,211_3_www.playstation.com,211_4_www.playstation.com,211_5_www.playstation.com,211_6_www.playstation.com,211_7_www.playstation.com,211_8_www.playstation.com,211_9_www.playstation.com,211_10_www.playstation.com
1,-442.0,-442.0,-442.0,-113.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0
2,43754.2,42281.52,43745.7,44294.66,44493.88,43986.0,43766.0,43880.3,43540.38,44281.5
3,232171.91999999998,236918.0,226093.56,234716.56,203035.36000000004,217473.0,237913.2,234978.0,236967.76,228788.0
4,585370.96,609861.76,519292.32,588101.12,430386.5200000001,377598.0,612940.6000000002,561329.4,512875.18000000005,501417.5
5,679903.24,693461.4,679021.92,682439.64,640614.28,666593.0,693293.0,682224.2,684305.52,675923.0
6,794869.8,984894.4000000006,778044.1,793948.1,696274.2,703692.0,977875.0,801990.8000000002,787953.5000000001,805198.0
7,1240370.92,1677845.1199999999,1087272.24,1291059.6000000003,843907.6,1070625.0,1689081.2000000007,1392649.72,1188514.2400000002,1406460.0
8,1908229.2399999993,2328889.2,1644477.6799999997,1845393.3,1311964.96,1789619.0,2526118.000000001,2051429.2399999993,1798514.04,2063008.0
9,2806655.12,3090386.8000000003,2352061.8,2384753.96,1788909.3600000003,2361864.0,3105152.0000000005,2713637.2,2638719.0400000005,2645712.0
10,3490428.04,3580561.920000001,2965322.96,2959932.1,2502988.2,2945719.0,3829731.7,3443747.8800000004,3300286.1,3425219.0
11,4075342.0,4172998.4,3719821.7999999993,3462117.2,2776284.4,3567603.0,4555287.0,4199564.200000001,3901060.8000000003,3931105.0
12,4451928.16,4763098.080000001,4425413.4399999995,3887125.94,3091221.52,4363715.0,5323906.5,4941100.52,4609534.62,4616512.0
13,5020847.84,5462785.32,4995385.08,4304955.600000001,3751165.16,4904409.0,6043157.800000001,5603533.28,5290115.0,5347210.0
14,5670371.96,5918571.52,5594203.42,4877562.18,4384913.4799999995,5634028.0,6751707.200000001,6289906.16,5908161.94,6027618.5
15,6249529.479999999,6219433.4,6063199.12,5394638.680000002,5267236.08,6234975.0,7529677.6,7005343.68,6461728.24,6630568.0
16,6899801.399999999,6654749.600000001,6673289.5,5726846.8,5672694.2,6886974.5,8216896.0,7664307.8,7103746.2,7289220.0
17,7634074.6,7087459.640000001,7273568.079999999,6262298.76,6516338.640000001,7590938.0,8503142.600000001,8287612.96,7689706.0,7880817.0
18,8259786.0,7254786.64,7883596.959999997,6483343.280000002,7583174.56,8285964.0,9089508.800000003,8745839.44,8335151.56,8408279.0
19,8661520.36,7761543.840000002,8423696.759999998,6946999.0,8099583.4799999995,8746556.0,9807434.200000001,9117725.76,8843240.880000003,8906926.0
20,9280213.4,8213589.680000002,8871435.599999998,7141347.14,8624702.52,9272500.0,10210494.8,9489088.84,9501003.4,9510483.0
21,9779936.0,8625217.2,9469258.2,7610121.0,9086589.0,9852372.0,10630687.0,10080399.400000002,10012520.000000002,10195715.0
22,10486641.84,9207109.480000002,9635017.559999999,8038461.640000001,9579625.640000002,10318781.5,11523504.400000002,10758070.6,10307246.420000002,10846904.0
23,11171119.52,9759277.200000001,10481298.799999999,8526230.0,10021220.0,10780768.0,12246297.200000001,11314642.8,10910839.88,11494167.0
24,11582077.56,10290364.8,11191021.68,8950430.66,10603568.68,11324210.0,12779921.7,11964812.92,11428973.08,11999585.0
25,12166262.16,10851369.959999999,11713871.48,9442400.56,11176130.4,11943100.0,13779143.600000001,12579790.72,11978900.32,12472897.0
26,12703754.0,11266769.0,12310414.0,10149712.0,11808013.0,12613448.0,14479704.0,13129655.0,12354298.0,12701444.5
27,13305665.72,11696226.8,12977882.88,10764776.72,12301978.28,13229827.0,15045919.8,13716281.32,12711146.040000003,13327040.0
28,13871833.4,12226237.52,13665123.479999999,11283313.68,13126693.08,13840868.0,15609410.1,14297851.64,13085004.14,14063776.0
29,14294680.2,12692156.56,14445413.799999999,11913752.48,13636950.040000003,14417735.0,16219518.200000003,14889089.52,13601295.24,14764817.0
30,14711938.279999997,13325603.08,14990708.519999998,12512695.74,14367181.2,14990946.0,16829391.2,15518480.279999997,14229650.46,15203665.0
31,15411591.599999998,13881066.4,15588410.6,13014405.4,14914420.000000002,15566852.0,17396342.000000004,16173324.8,14885810.2,15914681.0
32,16043506.919999998,14429851.400000002,16135896.279999997,13593680.04,15378583.6,16120555.0,17919903.0,16829948.919999998,15291159.98,16439569.0
33,16565302.2,14846243.8,16803046.28,14214596.88,15827894.56,16786018.0,18353274.2,17608858.96,15747807.56,16829151.0
34,17363128.559999995,15181697.72,17393675.12,14838237.600000001,16536926.44,17368482.0,18878147.2,18334605.559999995,16367261.320000004,17210647.0
35,18004277.04,15461290.68,17523687.76,15467080.16,17113651.44,17676820.0,18996228.2,18833908.88,17060545.36,17490549.0
36,18821699.2,15855222.8,17746679.599999998,16111854.400000002,17690232.2,18278265.0,19212400.5,18972152.3,17606972.900000002,17840277.0
37,19142861.56,16436848.640000002,18359142.48,16726308.24,17741052.08,18555632.0,19876704.400000002,19001079.16,18062202.000000004,18347829.0
38,19553847.72,17044004.6,18860115.559999995,17266112.08,18114809.160000004,18971116.5,20643137.800000004,19352745.36,18450564.22,18447578.0
39,20070618.56,17814311.440000005,18982175.84,17921837.92,18628654.8,18985534.0,21428206.400000002,19949250.84,18898021.32,18970359.0
40,20699770.8,18469555.64,19072414.599999998,18585346.56,19108362.52,19383975.0,21847134.9,20642069.48,19013921.38,19064944.5
41,21319993.0,18943600.6,19396333.8,19008504.6,19777979.199999996,19859598.0,21864320.0,21373441.800000004,19468643.600000005,19541974.0
42,21758442.0,19190822.24,19926150.58,19452998.200000003,20360203.6,20531265.5,21888905.9,21844995.14,20121816.12,20104478.0
43,21856619.68,19831155.040000003,20595022.8,19992068.6,20807216.280000005,21213121.0,21933738.6,21868895.24,20658937.48,20608486.0
44,21880814.04,20594808.840000004,21190140.08,20595648.12,21365116.12,21750115.0,21971223.9,21893217.22,21345304.600000005,21197337.0
45,21892087.32,21417930.720000006,21658950.599999998,21321366.88,21770655.16,21851777.0,22036045.4,21917383.32,21818563.2,21705701.0
46,21946330.2,21862089.2,21858715.8,21855695.5,21856990.2,21877725.0,22054728.0,21970128.0,21868860.7,21851265.5
47,21983602.24,21889029.32,21875240.32,21872341.08,21883769.080000002,21899914.0,21959329.4,22030662.12,21896734.56,21869303.0
48,22046802.12,21909117.0,21912782.56,21895511.16,21908783.84,21932093.5,22103158.7,22045509.66,21926691.16,21888855.5
49,22061036.24,21956271.64,21941664.88,21918710.72,21935327.04,21970950.0,22117915.6,21950666.44,21962332.2,21914742.0
50,22005656.68,21994394.96,21977551.94,21960147.04,21981165.28,22036003.0,22127120.9,21960118.599999998,22040022.34,21964858.5
