index,214_1_www.iso.org,214_2_www.iso.org,214_3_www.iso.org,214_4_www.iso.org,214_5_www.iso.org,214_6_www.iso.org,214_7_www.iso.org,214_8_www.iso.org,214_9_www.iso.org,214_10_www.iso.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0
2,1456.8799999999999,1406.32,1430.02,1433.18,1336.8,1445.82,1595.2,1441.08,1358.92,1373.82
3,3582.2400000000002,3875.64,3683.04,3657.36,4086.6,3597.36,3105.0000000000005,3603.84,4038.44,3604.36
4,5023.88,5520.679999999999,5194.86,5150.74,4116.8,4982.26,4245.100000000002,5170.44,4524.3200000000015,4918.32
5,6109.5199999999995,6593.32,6344.92,6252.28,4392.599999999999,6657.5199999999995,4443.599999999999,6350.279999999996,4604.44,8526.28
6,8086.599999999999,8466.6,8506.1,8467.1,6083.0,10180.3,6173.5,8502.6,8554.6,7592.900000000001
7,12585.76,10760.600000000008,13042.720000000003,12912.640000000001,8301.2,11949.639999999998,8317.199999999999,14428.84,8616.08,16061.48
8,16484.96,16213.56,15725.14,15691.26,11671.599999999997,16050.26,14217.099999999999,15736.56,13669.039999999999,16333.08
9,17722.440000000002,16538.48,16143.639999999998,16812.76,15900.6,15983.400000000001,15540.4,18241.16,15763.64,18777.36
10,18341.44,18028.88,18832.92,18803.72,16452.8,23638.72,16140.399999999998,18652.36,16389.68,20759.239999999994
11,27040.8,18683.6,19483.399999999994,18537.000000000007,17583.0,23883.600000000002,18639.0,27460.400000000005,17978.2,25455.2
12,24632.44,27035.84,25450.82,25529.34,18410.399999999998,25772.859999999997,18445.9,25219.96,18591.76,26565.62
13,25796.52,28191.719999999998,26502.44,24230.720000000005,18776.00000000001,26123.88,27011.199999999997,26496.320000000003,27291.24,28079.84
14,28753.76,33712.16,29818.9,31804.100000000006,25935.199999999997,34093.399999999994,24614.699999999997,33271.15999999998,25060.679999999997,32209.66
15,31915.92,35074.32,38214.28,35766.88,24334.2,34213.88,26130.8,36267.48,26682.12,31007.319999999996
16,33839.8,36074.2,39958.7,37968.3,29285.0,33467.3,32590.0,39567.99999999999,30084.600000000006,44881.39999999995
17,39908.72,42991.76000000001,56639.35999999999,71220.4,35660.2,43277.88,37972.8,73465.88,56236.56000000004,53209.76
18,37607.399999999994,81822.52,74743.06,72823.54,37433.6,78031.76000000002,54193.00000000008,73825.24,72121.36,64368.96000000014
19,50723.60000000001,90217.68,83144.68,81065.44000000002,39772.6,81628.24,75152.6,84938.51999999995,73718.64,108624.44
