index,21_1_www.amazon.com,21_2_www.amazon.com,21_3_www.amazon.com,21_4_www.amazon.com,21_5_www.amazon.com,21_6_www.amazon.com,21_7_www.amazon.com,21_8_www.amazon.com,21_9_www.amazon.com,21_10_www.amazon.com
1,0.0,67.0,67.0,67.0,-48.0,0.0,-442.0,-442.0,-442.0,67.0
2,540.92,1552.8400000000004,1810.22,1260.8999999999999,1928.1999999999985,618.6800000000001,1233.02,1166.24,1139.9599999999998,2303.7
3,1014.84,2396.96,1272.7599999999989,4708.2,5563.599999999999,1307.04,4517.360000000002,4581.36,4456.32,8547.44
4,2534.6999999999994,7181.04,4650.66,6680.8,12631.900000000001,2814.76,6909.48,6729.66,6201.159999999997,19263.58
5,2102.120000000001,9007.599999999993,7202.24,12604.599999999995,32782.6,3636.6800000000003,8330.119999999999,9437.08,8360.24,33971.560000000005
6,5520.099999999999,12695.4,13140.5,18631.5,36933.0,6103.400000000001,17976.6,17477.0,18161.4,43478.00000000001
7,7052.92,30412.72,14963.759999999995,28841.399999999998,50898.200000000004,10527.72,29951.320000000003,36922.28,28372.6,74325.63999999994
8,9202.020000000002,33697.880000000005,25420.039999999964,37847.7,90989.8,15173.999999999996,30233.76,37535.74,66802.96,87029.45999999999
9,11664.800000000001,34469.04,31508.44,38095.8,97475.6,26424.16,34700.36,39092.44,64911.240000000005,111598.4
10,20476.18,37562.28,30249.16,66788.39999999998,169124.3,26971.92,41834.74,43749.92000000001,82861.36,174472.9199999999
11,32186.2,42029.200000000004,55555.8,68582.0,189999.0,30421.199999999997,53413.799999999996,46598.2,88688.6,233547.8000000002
12,34505.31999999997,69659.19999999995,57186.42,93846.3,278972.3,35015.28,54674.62,56787.49999999999,92802.76,265027.12
13,46201.360000000015,91848.44,85915.56,98152.2,310121.6,51160.16000000001,91937.20000000001,91750.76,93015.92,322494.68
14,55282.24000000011,90651.44,88028.94,135103.79999999973,314993.6,57066.80000000001,94490.34,100126.54000000001,100699.11999999994,327173.84
15,63528.88,100393.88,88092.39999999997,167825.4,317683.2,89269.04,98195.0,112929.11999999995,101553.00000000001,330386.88
16,80756.19999999997,134284.39999999994,109933.79999999999,166169.5,320394.5,92751.20000000006,144075.20000000027,113303.59999999999,125303.39999999989,333163.7
17,83525.68,166475.84,109780.12,171851.6,325758.0,94243.72,169408.32,182454.03999999998,172598.24,340895.48
18,97027.04,164342.63999999998,110813.38,270250.19999999984,443636.3999999996,164016.28,168256.62,189052.26,176634.32,379295.32
19,99933.84,166120.4,126196.80000000002,305672.8,564148.6,170725.28,246002.2,213137.08000000002,176485.08000000002,379462.4
20,109020.7,190292.67999999967,183760.18,304894.2,574349.0,170274.04,266161.2,247490.18,191216.79999999987,537362.28
21,107818.8,226433.4,185126.8,308727.0,637714.0,194359.6,305213.8,302117.5999999999,247656.99999999997,622214.4
22,125306.60000000002,237149.64,186019.18,312157.6,640011.7,251333.6,309707.42,325056.46,307501.0399999996,657826.86
23,178029.24,240845.48,274955.75999999966,313397.8,643841.6,267844.6,311427.36,326194.28,313250.52,658087.24
24,182557.6,242033.56,317677.98,314234.7,641939.7,304756.6400000001,312347.77999999997,329788.34,314399.44,662749.96
25,183821.44,243570.12,316265.24,316203.39999999997,674898.1999999995,308212.64,314058.36,331116.28,315487.84,662149.92
26,232384.0,246151.0,318746.0,321658.5,707481.0,309709.0,317585.0,332331.5,317051.0,676806.0
27,259954.04,249540.88,321775.72,322537.60000000003,744999.0,310736.64,317272.68000000005,335020.88,320795.04,730669.64
28,311063.6,251081.96,322987.02,334370.69999999995,753703.0,314187.96,320189.22,336921.66,319712.44,737785.1600000001
29,315746.68,273589.19999999995,324477.72000000003,340252.8,755351.3999999999,315055.44,322264.8,340841.88,323722.48,771368.44
30,314019.76,314472.5599999999,326064.51999999996,340229.9,755257.9999999999,316784.08,327968.94,375233.44,324911.64,775699.18
31,320199.6,315093.0,329257.4,340761.0,832778.0,321835.6,329558.39999999997,373952.0,326396.4,775468.4
32,320000.02,335989.7999999998,333617.08,372963.7999999999,904549.1999999998,324199.84,343494.76,419239.47999999975,327314.9600000001,846902.6
