index,225_1_web.de,225_2_web.de,225_3_web.de,225_4_web.de,225_5_web.de,225_6_web.de,225_7_web.de,225_8_web.de,225_9_web.de,225_10_web.de
1,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-113.0
2,8356.48,4564.82,4580.6,5272.18,8360.68,5283.12,4507.04,8176.0,5078.2,4112.14
3,34966.16,14807.84,15936.999999999996,15713.28,36102.96000000001,7959.880000000001,8854.72,34825.0,11940.000000000005,11797.28
4,49171.16,38879.38,39194.4,35902.360000000015,53980.6,34324.91999999999,34811.06,54022.0,34924.200000000004,16189.26
5,120211.68,49536.96,61131.39999999997,49132.880000000005,122432.56000000004,38118.56,39465.24,120696.0,42586.000000000015,41372.52
6,152152.39999999994,118321.7,118182.0,77288.89999999997,170537.40000000002,49615.299999999996,50355.5,197096.0,70454.0,46788.1
7,219552.16,135504.96,135102.99999999997,118400.56,225748.04,101632.2,84888.12,224308.0,118518.40000000001,57120.04
8,319947.19999999995,203298.78,176168.0000000001,135990.58,376808.0,125847.40000000001,120657.81999999999,375890.0,134157.4,106634.16
9,387257.07999999996,224211.04,219136.19999999998,157430.28000000003,454847.4400000002,132854.32,137377.08,405937.0,164420.20000000007,130560.64000000001
10,449580.39999999997,327281.6,285314.0,215226.91999999998,504860.8,155701.02000000002,171988.56000000003,585228.0,206852.6,154634.86
11,599991.4,386138.4,384631.0,272837.79999999993,605793.0,214383.6,218142.59999999998,606657.0,224830.0,209133.8
12,607003.6,448548.94,444848.6,358041.00000000006,650624.36,235637.53999999998,274486.0399999999,647972.0,316992.80000000005,226246.7
13,651824.92,547976.4,527812.3999999997,387421.36,766619.64,313019.23999999993,375873.32,752881.0,379941.40000000014,291244.64
14,767782.72,600150.18,601503.4,446332.36000000004,773809.24,388841.52,395791.3,759330.0,397502.6,373945.94
15,775415.88,607343.24,616093.0,545725.48,788699.6799999999,453662.2,449123.56,786211.0,470898.00000000076,392457.64
16,785751.2000000001,640107.1,633812.0,602412.8,892797.2000000002,547380.7,546382.9,901505.0,550432.0,413242.0000000002
17,832982.36,746413.9600000001,651349.4,609060.84,913167.28,570136.04,599214.6399999999,914143.0,603114.2,531784.12
18,951342.9599999995,768606.14,660916.6,635643.26,1204175.5599999998,610274.34,604767.34,1099808.0,606860.6,575756.44
19,1291070.8,778029.76,695268.3999999999,751285.32,1589013.88,628908.2,632376.04,1440098.0,637909.6,610848.56
20,1655974.719999998,786926.32,772766.4,752033.34,1784256.28,657373.36,688029.9199999998,1661206.0,654728.0000000001,643512.28
21,1978632.5999999985,796579.6,791653.0,760155.6,2177180.0000000005,740656.0000000001,751279.4,1907113.0,741975.0,655172.6
22,2338306.4799999986,883012.7600000006,829928.1999999998,768099.44,2523904.28,760849.6,751873.96,2246651.0,764513.2000000003,659858.52
23,2701990.7199999993,936085.2800000001,915756.6,776896.12,2830499.800000001,769235.0,757905.68,2565650.0,777917.8,665648.6000000003
24,2960118.16,1216351.8800000004,1141316.4000000001,800845.46,3309665.640000001,773722.9,763966.46,2886464.0,786178.0,766207.3200000001
25,3334009.48,1488004.56,1423988.4,903654.6,3631525.9200000004,780562.72,772373.2,3208796.0,794943.6000000001,777846.8
26,3633155.9999999995,1773073.0,1760374.0,915153.5,4041072.0,789457.5,782012.0,3536658.0,802618.0,779060.0
27,3996376.8799999985,1936982.5599999998,2003862.1999999995,1081470.3200000003,4301236.72,830078.6799999998,863606.56,3894534.0,888437.4,783751.88
28,4339585.759999999,2231966.1200000015,2287295.4,1339966.8399999999,4541711.120000001,893912.42,906756.48,4276950.0,924634.4,797588.4
29,4606843.16,2713040.4400000004,2481962.4,1555799.04,4625410.16,920275.24,916667.12,4491577.0,1109711.8000000012,845001.1600000003
30,4689881.56,2897829.0000000005,2692760.2,1816763.6799999995,4633622.16,985733.1599999995,1078030.2799999996,4679598.0,1345999.4000000015,877576.84
31,4765727.6,3071673.4000000004,2829643.0,2001231.6000000003,4644569.4,1169043.1999999988,1310421.7999999993,4691226.0,1562516.0,927532.4
32,4777488.96,3251371.360000001,3053695.0,2392792.399999999,4746136.32,1370101.04,1509556.9599999995,4702096.0,1775143.6000000003,1068510.3200000005
33,4844934.0,3452423.64,3303082.8,2799504.36,4745571.72,1564588.5999999999,1773969.5599999998,4712535.0,1935088.8,1272640.0800000003
34,4902878.839999999,3684153.4800000004,3548840.4,3108879.360000001,4753800.84,1813062.919999999,1965325.96,4715638.0,2158784.2,1517591.7600000007
35,4904677.68,3927710.08,3794356.0,3346679.28,4767221.68,1997631.44,2085104.2000000002,4730379.0,2382417.6,1756842.9200000002
36,4909581.4,4170115.6,4072161.0,3535832.2000000007,4910011.8,2241317.1999999997,2281014.0,4745701.0,2590549.0,2009859.2000000002
37,4927070.12,4404694.52,4338227.799999999,3760108.5999999996,4915045.56,2553343.599999999,2525698.6400000006,4789054.0,2798690.8,2251175.920000001
38,4961688.24,4607302.34,4586848.2,3926465.84,4924689.36,2829961.8800000004,2800635.919999999,5031170.0,3003517.2,2396609.640000001
39,5093732.119999998,4675342.52,4659585.6,4169035.7199999997,4940142.64,3006930.1199999996,3084177.079999999,5158486.0,3217526.800000001,2630767.04
40,5118714.24,4681987.06,4680040.6,4340721.7,4970742.68,3187075.88,3299825.9199999995,5174365.0,3458299.6,2881329.400000001
41,5244198.6,4701096.6,4687518.0,4536294.8,4970887.2,3364009.0,3483774.8,5240773.0,3698126.0,3093572.800000001
42,5251820.88,4726664.24,4725178.2,4615849.16,5096879.04,3597123.88,3673366.3,5249460.0,3944866.6000000006,3320517.2600000002
43,5257248.76,4793284.88,4734173.8,4664570.8,5124648.64,3857410.4799999995,3887004.88,5259242.0,4193690.2000000007,3556508.240000001
44,5262560.56,4821429.04,4798392.6,4686593.86,5419500.239999999,4106761.3199999984,4055521.8800000004,5268982.0,4411351.600000001,3817861.9600000014
45,5273548.68,4854273.08,4829667.2,4767943.44,5550802.920000003,4318662.56,4260857.039999999,5284079.0,4583247.4,4042435.080000001
46,5280316.0,4853401.3,4851472.0,4783085.6000000015,5589320.8,4551493.799999999,4442983.199999999,5292948.0,4655215.000000002,4273417.400000001
47,5284844.28,4863109.36,4866619.2,4857474.04,5599216.08,4595747.88,4578114.28,5313616.0,4694300.0,4425494.48
48,5292654.8,4873605.38,4879658.6,4862937.8,5613028.0,4665642.3,4592743.2,5343463.0,4705039.4,4433616.64
49,5299255.16,4880923.08,4877733.2,4872962.6,5619738.84,4684126.28,4738882.4,5354414.0,4727796.400000001,4452341.4
50,5299437.48,4888447.24,4889009.2,4935698.26,5630616.88,4711713.06,4756899.8,5362196.0,4730453.4,4473797.66
