index,227_1_www.gmx.net,227_2_www.gmx.net,227_3_www.gmx.net,227_4_www.gmx.net,227_5_www.gmx.net,227_6_www.gmx.net,227_7_www.gmx.net,227_8_www.gmx.net,227_9_www.gmx.net,227_10_www.gmx.net
1,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3919.0,3598.76,4092.42,3604.92,4136.94,6252.74,4996.72,3929.16,4060.8,4090.04
3,29051.0,6481.919999999995,8136.12,6153.16,8522.36,28500.16,15422.84,6195.360000000002,4387.599999999999,4729.04
4,33613.0,15307.960000000005,28837.58,15696.119999999999,29466.06,43118.720000000016,33307.92000000001,9311.799999999996,8344.100000000002,8599.28
5,56998.0,31924.24,31638.24,28014.92,34277.92,73324.20000000001,45034.6,28899.559999999998,14947.600000000002,15450.680000000002
6,213304.0,33147.49999999999,40706.5,33936.9,42911.4,315872.60000000003,73631.99999999997,31723.899999999998,27843.0,28029.4
7,481525.0,44414.799999999996,72368.08,45375.24,72260.28,480843.04,256923.28000000006,34457.59999999999,34040.200000000004,34350.36
8,517319.0,71513.46,155349.40000000005,44833.5,214442.16000000024,540875.18,479898.46,44131.74,40172.39999999998,39638.91999999999
9,580302.0,242599.87999999983,369165.7200000001,86879.87999999998,448565.04000000004,598919.72,498055.24,71852.04,46817.4,44314.200000000004
10,649922.0,426747.2399999999,481376.86,188543.0800000001,493049.66,615751.2000000001,540816.06,172987.98,69783.3,75456.63999999996
11,775623.0,481474.0,489240.4,316803.19999999984,518280.6,778086.8000000002,600068.6,323640.80000000016,116950.0,142149.19999999992
12,827996.0,517607.58,507051.74,466056.56,542895.4,853112.86,611677.48,479698.22,255387.09999999998,280015.67999999993
13,844687.0,541914.24,536343.36,481414.68,599777.84,865362.04,680878.4400000001,494657.1599999999,392846.2,413493.39999999997
14,858939.0,594742.2799999999,578132.7999999999,505621.51999999984,674647.4400000002,872554.42,779671.86,517806.72,481770.6,482642.24000000005
15,874157.0,606844.04,614380.68,539374.2,777750.76,893710.64,815837.28,539769.28,496130.8,497938.68
16,899194.0,695603.7,675857.6000000002,553190.5999999999,823327.2,908575.1000000001,864328.7000000001,557132.4000000003,518563.0,518113.6
17,915396.0,786307.68,785525.92,597489.88,854407.76,947519.12,870647.24,599440.12,540902.2,531482.64
18,921570.0,844424.58,823978.24,621382.32,857005.18,959441.78,879170.6,608316.06,544455.5,544362.32
19,951095.0,843671.56,841289.36,694681.16,863201.04,970294.36,891328.8,614185.84,600245.2,598561.12
20,960812.0,851049.64,854373.56,738532.96,873722.24,976317.2,909631.82,702883.56,614419.7999999997,606946.92
21,970351.0,856681.7999999999,861275.2,785526.2,883395.6,998851.8000000002,938898.2,751858.8,694362.0,632341.1999999998
22,988620.0,869891.22,867072.8,844600.62,900615.54,1016983.1200000001,958948.82,800124.5599999999,739625.3999999999,718249.04
23,1005322.0,884852.48,885702.84,845977.56,919478.16,1049357.32,960583.96,836753.24,786384.0,787007.9999999999
24,1023561.0,884748.64,899921.42,852888.34,933010.78,1057112.4,972693.36,865193.46,844757.3,803308.6799999996
25,1034033.0,901621.76,906906.4800000001,859115.04,947999.72,1064786.16,977085.24,863531.32,847009.6,846768.08
26,1048671.0,916956.9999999999,929391.0,864243.5,952299.5,1131530.0,996516.0,868682.5,847690.5,852843.0
27,1077174.0,917861.92,952168.72,876227.48,959763.12,1171406.76,1000243.3999999999,872385.68,851118.2,856980.44
28,1116906.0,949081.12,956142.02,885616.2199999996,969703.2000000001,1168261.88,1031459.56,872154.34,860668.3999999999,861421.52
29,1127756.0,955456.8,964676.32,897595.08,972451.3599999999,1183130.28,1036710.32,885000.24,862296.6,867231.28
30,1130545.0,957469.7999999999,972746.14,904600.72,990315.18,1204233.92,1054724.34,893690.62,861080.2999999999,874748.8
31,1136920.0,967210.0,974672.0000000001,919289.4,996490.7999999999,1214732.2,1064736.8,895200.2,885299.0,882087.8
32,1139092.0,968249.1799999999,992743.28,919137.12,1024030.66,1211898.06,1069653.46,909413.24,890604.2,885452.84
33,1166710.0,974317.68,1000810.08,948848.64,1026379.52,1216661.2,1076769.72,927893.76,898236.3999999999,902582.28
34,1180572.0,990896.02,1021566.12,950730.1,1031418.86,1232988.58,1085695.78,928209.66,909349.9,907111.88
35,1180007.0,998440.08,1031454.24,959329.04,1041535.44,1239245.96,1091394.48,954503.44,908286.4,907984.96
36,1178863.0,1023966.9,1036114.1,965343.4,1048646.7,1235498.9,1093203.2,959231.5,933558.0,912878.6
37,1190391.0,1031748.8,1066640.16,967169.4800000001,1114961.2,1242054.24,1103531.44,961285.4800000001,937304.2,945965.2
38,1196769.0,1034298.72,1075224.9200000002,970978.72,1130504.2,1309079.7799999998,1110979.94,969442.9,937290.9,945186.12
39,1206321.0,1035383.12,1117752.9200000009,987603.32,1170902.64,1325778.28,1132587.04,972039.92,946330.6,950901.68
40,1229612.0,1074245.28,1165777.1800000002,990190.48,1180912.3600000003,1325348.84,1260811.9,975832.02,953722.3,958865.92
41,1253781.0,1076399.6,1174133.0,998871.2,1194384.8,1325825.4,1439724.6,977589.0000000001,953216.0,958697.4
42,1316534.0,1139525.3599999999,1208146.26,1016894.1199999999,1199052.26,1383335.3599999996,1496498.86,996108.22,956617.6,964340.32
43,1377781.0,1167937.92,1210746.84,1027322.88,1204958.12,1503445.44,1497007.48,1005055.4,971710.4,973601.24
44,1469944.0,1196266.3399999994,1215347.58,1030641.76,1240833.88,1627668.18,1595187.4199999997,1023668.9400000001,974024.2000000001,971803.52
45,1475544.0,1205997.56,1218715.7600000002,1033421.68,1272996.32,1776036.2400000002,1607049.36,1043253.56,983451.0,977788.1199999999
46,1506267.0,1206043.2,1222443.5999999999,1067943.7,1296732.9,1891193.5999999999,1610317.0,1050967.2,1000194.5,976880.2
47,1508319.0,1209632.76,1225977.44,1071456.64,1303713.6,1989238.32,1616047.4,1057383.12,1004544.0,993492.24
48,1551770.0,1212359.74,1237953.74,1113258.3199999991,1312925.64,1997797.82,1625494.88,1074494.98,1007233.9,1003111.2
49,1591217.0,1218819.8800000001,1251842.68,1140951.04,1442683.04,2014144.48,1636152.84,1089354.04,1029930.6,1018641.48
