index,231_1_www.msn.com,231_2_www.msn.com,231_3_www.msn.com,231_4_www.msn.com,231_5_www.msn.com,231_6_www.msn.com,231_7_www.msn.com,231_8_www.msn.com,231_9_www.msn.com,231_10_www.msn.com
1,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4040.16,3753.8000000000006,4035.0,1562.44,3987.48,1343.6200000000001,4072.84,3676.6200000000003,3761.7799999999997,4064.24
3,4629.12,4514.96,4590.0,3847.32,4028.84,4985.4,4380.88,6211.76,7740.879999999999,4224.76
4,8150.0199999999995,8141.68,8002.0,7511.319999999991,7695.5199999999995,6436.76,8389.88,14849.9,18673.34,8387.18
5,19161.92,19107.56,19568.0,14109.76,18967.6,8493.88,19189.08,34029.24,57813.76,18998.6
6,52667.9,43063.400000000016,57816.0,19745.000000000007,58542.8,19323.6,56982.4,55838.1,56655.6,56884.4
7,54845.52,57386.479999999996,57945.0,56302.639999999985,55896.52,30966.83999999998,57234.52,57518.87999999998,61573.159999999996,57082.719999999994
8,55380.44,55665.52,55316.0,57034.12,58700.28,58441.18,57863.68,61374.96,67833.88,58484.92000000001
9,65024.31999999999,58911.64,61197.0,57372.28,63046.32,56862.52,64994.68000000001,65317.64,70108.52,63136.28
10,65291.060000000005,62871.04,67252.0,60639.32,68889.96,55121.58,67685.88,73246.81999999999,87250.20000000001,67411.44
11,68762.20000000001,67149.4,69298.0,65105.4,73568.4,58947.200000000004,71151.6,72691.59999999999,112512.00000000001,65287.600000000006
12,86302.74,69701.80000000005,75215.0,68646.96,80079.96000000002,64281.98,81098.6,95784.13999999991,140541.44,70323.78
13,101924.8,77161.48,111322.0,69130.79999999999,118074.28,67446.16,130168.31999999998,132753.3999999999,169198.32,75217.84
14,125949.09999999998,82495.44,126178.0,77435.04,170144.03999999998,70190.19999999998,150724.6,184703.15999999995,236939.31999999992,93299.56000000016
15,142362.6,94087.04,216197.0,88626.95999999998,225566.96,69388.68000000001,219461.12,264745.16,317187.32,131734.40000000002
16,171062.8,148900.40000000005,290120.0,111079.2,319248.2,85285.00000000003,298433.8,334438.9999999999,375244.8,169546.1
17,227622.88,190940.04000000007,332707.0,145471.4,380846.16,100066.76,348554.56000000006,347937.92,386062.76,181855.72
18,264775.04,264227.9199999999,340573.0,177311.36000000002,386532.68,111587.28,380643.08,366672.48,392811.4799999999,223509.72
19,315638.07999999996,339210.72000000003,361073.0,225446.32,388937.12,114240.20000000001,381780.28,391012.79999999993,400742.32,292214.19999999995
20,351190.26,387266.84,391517.0,268592.16000000003,397152.44,165284.39999999985,384721.96,399024.78,402711.54000000004,321201.72000000003
21,373291.80000000005,390637.8,393398.0,329055.20000000007,400824.8,241917.80000000005,396740.6,405742.6,429703.4,337818.0
22,393510.34,391983.92,399806.0,343255.56,405918.84,305732.1599999999,396463.72,405897.62,474037.82,390170.10000000003
23,404266.52,397846.28,403824.0,371766.48,408575.24,339602.32,421696.72,438083.67999999993,520574.04000000004,402006.84
24,410064.92,400579.4000000001,437613.0,389885.76,455061.44,342270.56,464092.96,482103.95999999996,574899.2,405646.89999999997
25,410942.96,406580.52,465576.0,395191.32,503299.8,344150.8,466310.76,523123.11999999994,605997.7599999997,406453.84
26,419941.5,412480.0,503786.0,402928.0,577643.0,356629.5,506826.0,577497.0,643018.0,417368.5
27,429412.8,440246.36,535303.0,404835.52,592503.92,374235.79999999993,516030.16,643273.36,649498.84,447973.20000000007
28,482400.6,499586.4800000001,570754.0,406439.24,645024.08,382901.38,526823.6000000001,656010.96,665084.5800000001,473300.89999999997
29,502742.39999999997,538874.4,570906.0,425510.95999999996,647515.6,400865.04,579445.12,665920.44,663601.92,511550.7600000001
30,541725.2,581337.48,579121.0,475335.2,659225.72,400815.62,626041.52,669457.26,671121.42,533756.72
31,587242.8,641885.0000000001,580660.0,509607.2,660068.8,409074.0,647196.8,682790.8,672229.0,579469.2
32,602670.7999999999,645997.24,581480.0,530532.52,660103.6,406810.92,645470.24,692866.22,690073.16,593647.3199999998
33,653337.2799999999,651614.8800000001,581468.0,576983.6799999999,673705.88,464389.6,646886.84,696574.84,755639.0,644917.44
34,656087.58,651496.12,597420.0,588462.4399999998,689228.7599999999,495855.12000000005,656853.04,691196.96,805235.88,647396.4800000001
35,666267.7999999999,652183.72,612271.0,641727.96,691217.68,532718.7999999999,668882.7200000001,693197.08,805148.24,663336.64
36,663095.3,654166.0,644085.0,644076.8,689288.6,563835.3,671928.4,693389.2,813387.6,668008.0
37,669266.44,654724.64,669862.0,658179.04,713893.36,578255.32,674313.72,692785.2,855899.28,677343.04
38,685193.5999999999,663371.88,674674.0,663565.88,711963.12,585149.8,676690.52,709632.66,961341.0,675421.58
39,681707.3999999999,677427.72,678225.0,672283.92,719978.3999999999,592063.16,689472.8800000001,724369.8799999999,985538.2,678513.32
40,690770.94,684616.76,677176.0,674408.2,768195.2,596660.42,691828.2,767798.7,1011087.3599999999,675225.88
41,689774.4,692279.0,690864.0,680811.4,833875.6000000001,602360.0,689946.2,838796.0,1092153.0,676762.6
42,764084.4399999998,690630.96,690319.0,676590.92,882234.7999999999,655088.4199999998,762359.2800000001,927758.26,1140017.7199999995,687796.62
43,775670.8,718792.6799999999,707347.0,681223.12,971441.5200000001,671814.48,774762.08,995763.04,1184185.12,704908.56
44,774620.68,812659.4800000002,701268.0,678377.92,1049908.0799999998,673508.56,789631.32,993616.16,1261683.1800000002,701135.8200000001
45,782473.44,851686.8000000006,699428.0,683863.9999999999,1080034.08,674994.64,792424.76,1062802.2,1356812.84,698500.56
46,865923.2999999998,881546.2,724163.0,699433.2,1095799.0,672833.1,816146.8,1130501.5,1379207.7,744055.8
47,942376.3200000001,889900.4,739401.0,697904.32,1130522.96,670546.12,806742.68,1229273.28,1395494.72,742267.68
48,995935.62,970230.8400000001,741884.0,713119.4000000003,1128590.72,675787.8,829572.68,1276711.2599999998,1398667.42,740478.08
49,1004539.96,987228.0,824022.0,737843.28,1160659.0,678465.4400000001,862930.44,1346413.1199999999,1409797.4000000001,783795.040000001
50,1016846.8,998373.88,929260.0,736271.64,1255198.5199999998,677138.22,863234.44,1377023.98,1418209.1,860896.52
