index,234_1_www.unicef.org,234_2_www.unicef.org,234_3_www.unicef.org,234_4_www.unicef.org,234_5_www.unicef.org,234_6_www.unicef.org,234_7_www.unicef.org,234_8_www.unicef.org,234_9_www.unicef.org,234_10_www.unicef.org
1,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8482.44,7764.919999999995,5953.639999999999,8171.7,6823.399999999997,7259.0,6165.599999999999,8632.16,7124.000000000002,8523.5
3,38757.8,37965.32,34786.35999999998,41176.96000000001,34102.2,42593.0,33856.76,39097.68,18631.000000000004,40871.0
4,80759.52,106563.27999999996,163018.92,153404.94,108529.79999999987,84468.0,130908.12,181042.47999999998,47592.5,171606.0
5,220430.36000000002,300165.48,289829.36,330334.88,263094.4,302603.0,287958.56,302667.28,116233.6,300276.0
6,307726.0,303147.8,370981.6,420669.6,306499.0,365915.0,305574.8,350334.99999999994,202163.0,381225.0
7,484358.8,438244.92,441482.19999999995,480702.72000000003,378038.5999999999,466452.0,442441.6,511380.87999999983,318635.0,481360.0
8,651427.92,653211.4,652451.36,641316.9200000002,569226.4,637837.0,621974.0800000001,722587.48,472064.79999999993,644325.0
9,785537.9599999998,822233.1599999999,844404.28,807290.04,758329.7999999999,800431.0,775787.4400000002,939773.2799999999,604221.4,760625.0
10,1019568.44,1070312.5599999998,1092736.9999999993,939148.28,930336.4,1057195.0,1013822.9600000004,1123229.44,730376.8,1011156.0
11,1122844.6,1144130.2,1175347.3999999997,1129466.8,1106537.0,1122508.0,1122431.6,1188186.5999999999,883725.0,1123032.0
12,1183341.48,1296066.48,1310968.72,1157670.36,1129633.7999999996,1205288.5,1215043.2000000007,1369787.76,1092969.1,1220397.0
13,1332658.0399999998,1359813.7999999998,1375348.5599999998,1335683.8000000003,1228629.7999999998,1356128.0,1369364.52,1409770.16,1132246.0,1372878.0
14,1393288.4,1408484.1799999997,1416107.399999999,1398275.3,1378865.0,1389452.0,1433117.48,1449838.32,1214271.5000000002,1437268.5
15,1443008.12,1557389.4799999995,1593001.32,1452647.68,1440797.8,1449845.0,1445698.16,1459151.6400000001,1340422.5999999999,1582300.0
16,1449273.8,1600139.7,1600382.0,1464065.0,1594476.0,1594678.0,1457987.8,1465855.4,1392187.0,1601057.5
17,1459805.7999999998,1610454.72,1615154.08,1503655.52,1601381.6,1605773.0,1493328.84,1497774.96,1458964.4000000001,1611542.0
18,1493488.52,1620689.44,1634570.88,1515465.58,1610156.2,1618840.0,1503895.44,1583757.5599999998,1601691.6,1650826.5
19,1501212.96,1659007.64,1700287.1599999985,1664682.0,1642229.8,1648719.0,1542893.64,1695748.519999999,1609541.6,1710272.0
20,1699784.04,1715830.04,1718975.64,1719620.78,1671583.6,1709699.5,1695579.9600000002,1721621.28,1618292.1,1715158.5
21,1728076.5999999999,1725781.0,1725081.8,1731076.4,1710721.0,1714623.0,1719787.8,1730127.8,1648932.0,1727150.0
22,1733598.8,1737757.52,1734324.04,1735637.02,1723641.8,1724396.5,1734049.56,1740378.5599999998,1712913.8000000005,1799057.0
23,1739254.24,1742132.24,1854848.08,1743434.64,1728175.6,1845721.0,1740195.16,1857290.08,1724997.6,1856694.0
