index,239_1_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-15.0
2,1468.0,1605.96,1594.12,1580.8,1592.64,1573.4,1369.98,1619.28,1613.36,-347.1
3,2139.000000000001,1562.72,1440.6399999999999,1246.6000000000001,1419.0800000000004,1138.7999999999997,4009.08,1529.96,1544.52,1361.0
4,3669.2000000000016,3993.96,3942.12,3798.6000000000004,3935.6400000000003,3702.2999999999997,5262.879999999999,4048.76,4026.3599999999997,1131.000000000003
5,5198.2,4182.52,4110.44,4382.199999999999,4114.68,4214.8,4331.639999999999,4131.64,4114.68,3563.2
6,4152.0,5391.099999999999,5154.799999999999,4672.0,4892.6,5398.0,8510.6,5140.799999999999,4894.599999999999,4613.5
7,8489.6,4600.24,5816.519999999998,6252.8,5864.439999999991,6817.4,8164.920000000001,4376.32,4237.879999999998,4440.399999999999
8,8462.800000000001,6681.38,7074.440000000008,8386.6,7167.679999999993,8943.8,14272.68,5996.24,7056.320000000007,6082.400000000001
9,11919.600000000004,8395.92,8419.84,8159.400000000001,8209.92,8928.2,26898.12,8281.56,8024.719999999999,8223.6
10,14310.8,8044.74,8727.599999999997,11265.599999999991,8876.199999999995,11520.800000000003,25257.440000000002,8074.719999999998,7728.84,8050.299999999997
11,26368.0,11687.4,14345.4,14161.0,14091.800000000001,14696.0,29467.2,11094.00000000001,12255.800000000003,10737.0
12,25345.199999999997,14226.66,14950.7,26895.600000000002,16123.87999999999,13623.199999999997,28777.76,14073.84,14029.08,13976.1
13,27219.2,13783.96,26101.56,25430.2,25901.32,15682.2,28454.039999999994,19891.919999999995,27020.039999999997,26943.799999999996
14,29285.399999999998,27003.56,25284.960000000006,27109.6,25650.119999999984,20617.800000000007,34103.56,25962.36,25629.239999999998,25438.7
15,28254.799999999996,25688.08,27242.72,29274.8,29227.84,32594.600000000006,33685.72,25020.559999999998,27144.04,27053.8
16,29668.0,27412.399999999998,29331.7,29004.0,29131.399999999998,35384.0,48429.79999999999,27045.8,27906.400000000012,29195.0
17,33671.6,29571.36,28445.44,27729.4,28111.68,33828.799999999996,51185.12,29107.920000000002,29100.04,28761.8
18,33697.2,29169.74,27684.719999999998,29423.4,27330.84,35462.7,51351.68,28693.679999999997,28108.84,27871.199999999997
19,36267.4,28474.04,31748.64,31588.600000000002,29366.079999999998,37604.8,51481.19999999999,30942.76,27439.64,29428.6
20,50781.000000000015,30218.46,33356.48,33749.0,33643.64,37295.799999999996,86957.76000000001,29985.239999999998,29268.36,31569.8
21,51963.0,30145.200000000008,33715.6,37836.0,33523.2,35983.0,118209.40000000007,31690.6,31774.200000000008,33711.0
