index,245_1_www.dmca.com,245_2_www.dmca.com,245_3_www.dmca.com,245_4_www.dmca.com,245_5_www.dmca.com,245_6_www.dmca.com,245_7_www.dmca.com,245_8_www.dmca.com,245_9_www.dmca.com,245_10_www.dmca.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3059.600000000001,1462.2000000000003,3896.5999999999995,1941.7999999999988,1564.54,1072.3999999999992,1472.68,3488.600000000001,1491.74,1455.3
3,4912.719999999999,4106.2,4813.080000000001,5283.32,4184.64,4932.44,3951.28,4707.679999999999,3716.080000000001,3584.4
4,8239.039999999995,5467.599999999995,9845.140000000001,6089.28,6882.18,6601.74,5085.24,8081.06,4915.5599999999995,4646.7
5,12978.040000000003,8330.199999999999,14338.28,8418.599999999997,8392.039999999999,8630.880000000001,7602.879999999999,14454.48,6152.24,6158.2
6,18377.6,14521.0,15726.900000000001,16015.8,14516.899999999992,16642.600000000002,8484.6,18102.100000000002,8110.699999999999,8205.5
7,22049.12,18493.2,23742.72,19703.44,17786.04,18265.919999999995,14565.48,21752.44,14259.119999999999,14490.599999999999
8,36828.48,20719.79999999998,27410.34,20240.76,19800.82,22145.28,17968.76,36278.88,18434.48,18350.1
9,39187.92,28045.799999999952,45120.68,30934.519999999946,21855.04,36622.96,19900.56,39206.52,19687.84,19751.6
10,41173.78,35749.4,45385.58,37827.04,36420.76,37245.22,21885.44,54781.76000000002,21773.16000000001,21944.600000000002
11,65083.600000000144,39408.0,48895.2,40297.39999999998,37159.6,41410.799999999996,37213.6,73132.00000000001,25620.20000000001,37167.0
12,80305.08,41324.2,64254.19999999988,42375.79999999998,41489.340000000004,52689.43999999999,35333.92000000001,93668.36,26354.38,36907.200000000004
13,109190.5199999999,69969.99999999999,96112.72,80814.76,40685.600000000006,85281.68000000001,39115.159999999996,124840.4,44340.759999999995,39369.4
14,186497.86,85220.2,107967.55999999995,84074.56,74508.09999999999,89316.4,41408.36,186297.03999999998,44933.32,41225.9
15,187379.52,88622.6,194189.88,113037.28,86737.76,140301.72000000003,45938.59999999999,187015.68,46932.840000000004,41608.99999999999
16,206996.2,154226.0,194202.7,180738.9999999999,87330.8,186400.4,69671.99999999997,187891.69999999998,48576.1,80171.0
17,219695.52,184413.8,196891.92,187547.63999999998,169218.91999999995,186915.24,84236.44,234621.28,65982.88000000005,84232.4
18,239284.06,186727.80000000002,198314.03999999998,188392.67999999996,187696.48,190610.02,83841.12000000001,236166.2,91212.93999999999,87940.00000000001
