index,246_1_taz.de,246_2_taz.de,246_3_taz.de,246_4_taz.de,246_5_taz.de,246_6_taz.de,246_7_taz.de,246_8_taz.de,246_9_taz.de,246_10_taz.de
1,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,80953.72,42449.0,62732.54,72691.32000000002,42076.6,80406.48,69524.78,61251.000000000015,135977.74,97080.14
3,187412.6,150135.0,188206.96,177535.36000000002,81706.6,208405.48,168834.04,207183.8,218508.28,199322.63999999998
4,434613.8000000002,397856.0,493642.1,370231.82,237228.99999999994,351366.6400000001,321030.36,349356.4,567884.1,462857.28
5,565816.48,637392.0,648675.6,571134.24,441356.0,618594.92,631814.24,577698.0,795590.08,758300.1599999998
6,787791.3999999999,768704.0,818752.1000000001,774430.2000000001,620956.0,765909.2,853174.6000000003,683697.0,1161392.5,1026333.5999999999
7,995769.8,1000854.0,1101203.3599999999,1000338.8000000002,783821.3999999999,1021805.8,1076479.2,899512.6000000001,1434070.1199999999,1342358.16
8,1214965.72,1229558.0,1392371.9,1252477.7000000002,972322.0,1318894.72,1370031.6,1242358.2,1836252.52,1832721.68
9,1389444.1199999999,1560014.0,1748600.48,1569869.2400000002,1208475.4,1577640.08,1736261.76,1562727.4000000001,2154727.9599999995,2019070.0799999996
10,1655000.9999999998,1827237.0,2035998.3,1793820.9,1442289.0,1928628.2,1952283.2200000002,1932304.8,2615213.8399999985,2496066.8399999994
11,1876877.0,2150685.0,2387003.0,2060041.2,1749917.0,2160120.4,2246673.0000000005,2278200.0,3046418.199999999,2945970.2
12,2144269.88,2447946.0,2612000.6999999997,2320975.26,2044034.7999999998,2390711.2799999993,2550846.06,2719077.6,3399915.2199999997,3491062.4199999995
13,2364040.6400000006,2737431.0,2886762.56,2424361.96,2302752.8,2801486.1600000006,2839283.7199999997,3236574.800000001,3879639.52,4022189.28
14,2491820.56,3032845.0,3056514.1,2641491.3,2546807.4,3012163.68,3138709.2,3804193.0,4344972.419999999,4435928.82
15,2697597.12,3153247.0,3118097.3599999994,2869820.4000000004,2800139.0,3124142.08,3412385.9199999995,4238310.8,4580241.2,4551425.12
16,2883793.0,3266496.0,3348596.5,3057331.4,2901330.0,3332435.0,3719276.9,4488716.0,4834183.9,4813918.9
17,3088459.44,3478741.0,3527844.96,3350450.6,3062083.8,3514776.52,3946167.4,4690346.600000001,4926331.96,4981568.76
18,3364741.4,3633586.0,3627426.68,3539782.4,3184816.5999999996,3744453.08,4241214.24,4941984.8,5022595.04,5105488.12
19,3638597.44,3827524.0,3883170.52,3728776.5999999996,3362074.9999999995,3948359.6799999997,4507694.88,5033004.4,5158265.04,5195352.5200000005
20,3876521.8399999994,4006439.0,4094117.64,3888081.1800000006,3630289.8000000003,4136056.16,4702009.600000001,5242381.2,5190970.08,5309278.08
21,4079283.0,4164842.0,4394466.4,4038961.6,3835120.0,4299195.2,4874818.2,5262485.0,5225007.2,5447704.599999999
22,4306951.88,4341944.0,4651064.04,4179521.18,4120320.0,4517536.8,5079078.18,5327665.2,5252110.78,5611530.92
23,4423745.36,4599660.0,4862808.12,4355177.4,4306657.8,4798527.12,5228126.68,5586356.4,5261060.56,5701445.639999997
24,4586453.04,4779234.0,5013568.54,4665273.04,4544951.199999999,4975876.04,5427117.24,5716663.4,5295631.46,6048776.78
25,4958209.5600000005,4997092.0,5247562.44,4948233.4,4713952.8,5295424.84,5602243.28,5989822.6,5314857.12,6211572.68
26,5352126.0,5258829.0,5478110.0,5160257.5,4931236.0,5580058.0,5647014.5,6051698.0,5328985.0,6227744.5
27,5719898.72,5582758.0,5701895.6,5483519.44,5126340.0,5784093.359999999,5775508.720000001,6071079.4,5512214.64,6239333.64
28,5855523.16,5878981.0,5785698.9,5762948.98,5310578.8,6002897.92,6161421.26,6080671.6,5548264.96,6244293.04
29,5923587.24,6100384.0,5860631.84,5882770.8,5681283.6,6087943.2,6178628.12,6089442.2,5609272.72,6275633.24
30,5944467.48,6158540.0,5868595.62,5939622.24,5859583.8,6215798.76,6189696.88,6098716.0,5620460.6,6318884.78
31,5972829.4,6190854.0,5888441.6,5968891.2,5870125.0,6222683.2,6203170.4,6159722.0,5632224.8,6333469.0
32,5991737.88,6214368.0,5905933.94,5986245.760000001,5887996.600000001,6250688.48,6214670.32,6170292.4,5653256.38,6356679.96
33,6041670.36,6220110.0,5921693.04,6010602.72,5892376.6,6254511.36,6226024.16,6228214.600000001,5675504.36,6368544.56
34,6059424.64,6258083.0,5929171.68,6071518.32,5914143.8,6263768.399999999,6262588.54,6236948.8,5684174.16,6394116.14
35,6094108.52,6293496.0,5958347.28,6108296.96,5932284.8,6289464.16,6274086.84,6252060.800000002,5953821.92,6437338.52
36,6101022.0,6299768.0,5990599.3,6124556.7,5936905.0,6341113.6,6292793.3,6254630.0,6001767.9,6449654.8
37,6125962.32,6309555.0,6017133.72,6166109.64,5958574.999999999,6354175.04,6308218.6,6275973.4,6015084.08,6470088.84
38,6136160.64,6335606.0,6057422.64,6186705.5200000005,5997600.0,6361217.52,6310783.98,6287420.8,6043929.94,6480330.26
39,6128880.76,6360789.0,6073357.52,6206391.96,5998901.8,6422739.76,6319214.96,6298491.8,6049818.64,6493598.36
40,6135662.08,6377554.0,6085318.08,6212482.66,6017975.6,6467838.12,6327796.82,6318830.2,6070326.14,6521188.4799999995
41,6167299.4,6386493.0,6096220.8,6231844.2,6027221.0,6488672.6,6331413.2,6335438.0,6069196.8,6528368.8
42,6192670.28,6391583.0,6131989.82,6256364.96,6042179.8,6507493.24,6345019.58,6350426.4,6104658.76,6546831.46
43,6222268.080000001,6413293.0,6136388.84,6296344.08,6054688.6,6510608.52,6355148.84,6357437.2,6116005.6,6553481.32
44,6232734.96,6413414.0,6153501.54,6309480.06,6062807.8,6524745.32,6373491.22,6354627.2,6129228.24,6576459.94
45,6258277.5200000005,6412992.0,6183441.0,6337686.64,6097180.199999999,6574073.72,6432023.6,6373699.4,6129866.28,6593371.88
46,6261427.0,6446383.0,6218785.1,6380303.3,6113223.0,6591689.2,6445583.6,6374908.000000001,6177725.3,6608220.6
47,6274117.08,6452024.0,6214062.56,6413777.28,6127143.2,6602387.92,6461082.599999999,6384628.4,6190350.68,6624956.719999999
48,6291307.5600000005,6503059.0,6223118.74,6482509.7,6143224.2,6612631.96,6480067.84,6394639.8,6212186.46,6645953.62
49,6305341.84,6530943.0,6234249.6,6682842.64,6151597.8,6620857.28,6497409.84,6419091.2,6218864.36,6651841.36
50,6327115.72,6536363.0,6259671.54,6698491.58,6165258.6,6646233.600000001,6514717.56,6435455.6,6232956.68,6658387.62
