index,253_1_www.faz.net,253_2_www.faz.net,253_3_www.faz.net,253_4_www.faz.net,253_5_www.faz.net,253_6_www.faz.net,253_7_www.faz.net,253_8_www.faz.net,253_9_www.faz.net,253_10_www.faz.net
1,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0
2,30867.0,16163.840000000002,43734.39999999999,16260.679999999997,14897.600000000004,23597.64000000004,9927.600000000006,14425.0,29873.359999999957,49735.87999999999
3,101814.0,164297.52,173894.08,168265.24,170083.8,283368.64,161027.96000000002,173185.0,195471.15999999997,185598.47999999995
4,194112.0,304157.3,402169.02,333223.95999999996,358780.0000000002,529758.36,327618.06,375132.5,420122.83999999997,392093.48
5,297468.0,530634.04,614319.96,541056.44,571561.8,656372.24,482492.4,621891.0,615906.32,616740.4400000001
6,443321.0,682054.9,854107.0,797020.6,861205.0,863522.4,656341.8,881406.0,795303.1,870246.3999999999
7,630374.0,877856.36,883581.32,882162.12,892378.6,892011.68,859664.3600000003,899190.0,886488.6,890633.96
8,837472.0,890601.5599999999,1011702.76,953633.3599999998,967502.4,1067240.04,885968.72,1004180.0,900896.12,1017357.8799999993
9,887983.0,989598.92,1085833.32,1076126.24,1088494.8,1079461.76,1027531.88,1089954.0,1064979.2799999998,1083764.44
10,939560.0,1083175.14,1141651.92,1094479.28,1105837.4,1105850.28,1081757.18,1115596.0,1093156.78,1135011.88
11,1023532.0,1116663.0,1282931.6,1252185.4,1264064.0,1196899.0,1110209.0000000002,1301508.0,1117508.0,1265967.6
12,1102072.0,1253369.6199999999,1385345.76,1372834.56,1388338.4,1269383.4000000001,1256415.3,1392339.5,1308086.3999999997,1384603.08
13,1224273.0,1373763.04,1397066.44,1387864.36,1388344.6,1387967.84,1379800.9600000002,1428177.0,1397136.04,1420875.32
14,1320774.0,1386742.22,1389249.88,1392248.36,1403318.8,1398899.32,1385802.92,1420572.5,1400055.32,1424647.24
15,1322969.0,1389820.4400000002,1413397.2,1407276.5999999999,1429374.4,1425077.96,1396297.32,1460346.0,1397811.88,1429170.52
16,1336226.0,1408786.4000000001,1467339.1999999997,1475751.2,1516319.0,1439921.8,1402923.8,1468840.0,1428488.3,1494587.2
17,1345182.0,1484040.04,1577957.16,1487569.76,1525943.6,1474400.32,1474282.08,1581578.0,1445000.8,1553481.32
18,1355532.0,1496673.52,1581867.08,1514878.84,1541177.2,1476692.6,1506072.0999999999,1579665.0,1556873.3,1579659.16
19,1414397.0,1500508.92,1599530.5999999999,1525193.04,1566785.2,1585697.64,1511343.16,1603468.0,1585073.36,1586852.24
20,1454419.0,1525842.98,1625728.44,1551657.32,1659206.6,1589734.2,1527363.38,1619126.5,1587190.98,1582864.4000000001
21,1495027.0,1537474.8,1613123.8000000003,1631348.6,1682141.0,1597106.4000000001,1574752.0,1612994.0,1624626.4,1598764.4000000001
22,1566618.0,1606311.26,1670230.28,1710004.68,1684390.2,1601834.08,1611136.28,1671736.5,1612344.1,1612611.04
23,1597187.0,1675538.88,1690547.72,1710645.16,1719344.8000000005,1608316.04,1691946.640000001,1688315.0,1669383.64,1664725.08
24,1679113.0,1700774.12,1734349.42,1725445.96,1766536.0,1644512.2000000002,1707869.24,1710271.0,1681733.94,1675361.28
25,1728268.0,1706851.4,1745725.96,1794323.68,1788431.0000000014,1647371.52,1720858.4000000001,1746806.0,1697346.08,1701929.56
26,1751815.0,1743948.0,1789881.5,1822937.0,1884659.0,1744011.0,1745559.5,1759276.0,1741431.5,1736910.0
27,1791625.0,1827555.4,1813169.16,1868528.2,1987680.6,1750893.72,1836629.4400000009,1782057.0,1781171.9200000002,1747266.48
28,1818677.0,1928318.3399999999,1820558.58,1948308.56,1992666.4,1796067.12,1878844.68,1791937.0,1795812.1400000001,1771542.04
29,1839543.0,1933839.8800000001,1834611.28,1999008.56,2034325.2,1853251.9600000004,1888517.2400000002,1831037.0,1835028.08,1820913.04
30,1874485.0,1950187.66,1843449.38,2017768.2799999998,2262353.6,1863396.08,1909881.7,1883517.5,1847067.12,1836833.92
31,1902922.0,2023185.6,1878556.2,2114211.7999999993,2271303.0,1868070.6,2038176.6,1953526.0,1888186.4,1860578.2
32,1918207.0,2094351.14,1968225.56,2256484.68,2393238.6,1926670.0400000007,2186643.48,1959065.0,1910258.88,1913054.2399999998
33,1991404.0,2264263.68,1969615.68,2264667.96,2419693.8,1993157.9200000016,2215020.08,1958153.0,1932531.64,1951008.04
34,2030518.0,2272452.42,1987393.78,2318586.16,2446733.6,2073492.2000000002,2333180.380000001,1975821.0,1954818.56,1969415.84
35,2080736.0,2307374.68,1999783.68,2329208.44,2465339.2,2090394.8,2409048.4000000004,1995510.0,1983383.0,1963698.16
36,2164372.0,2328527.6,2006869.2,2490361.4000000004,2552977.0,2099401.0,2438094.2,2008656.0,1999221.9000000001,1989514.2
37,2221063.0,2457378.16,2077068.72,2554752.68,2566576.8,2104266.92,2449335.32,2112993.0,2170439.04,2004892.76
38,2252960.0,2488364.38,2082466.74,2573878.36,2574023.2,2114457.76,2479442.58,2182596.0,2295454.32,2016720.04
39,2363386.0,2580578.08,2108768.5600000005,2586250.36,2610608.6,2134100.76,2561790.92,2213508.0,2373816.56,2136211.76
