index,258_1_www.samsung.com,258_2_www.samsung.com,258_3_www.samsung.com,258_4_www.samsung.com,258_5_www.samsung.com,258_6_www.samsung.com,258_7_www.samsung.com,258_8_www.samsung.com,258_9_www.samsung.com,258_10_www.samsung.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0
2,3554.16,4793.24,4142.5,5065.14,4138.0,4100.9,5636.14,6379.400000000001,1033.56,4110.44
3,8666.68,16271.600000000002,8031.0,17714.44,10139.0,8351.4,7927.719999999998,21164.799999999996,4708.48,8478.84
4,17805.88,120027.84,17727.5,116773.92,13939.0,43478.00000000008,36571.600000000006,181801.1999999998,9609.32,32840.439999999995
5,59394.0,249601.24,122541.0,223005.03999999998,25335.0,161404.20000000004,119443.16,208107.4,27914.560000000063,125732.08000000002
6,154984.8000000002,321297.6,164563.0,230097.0,99323.0,202847.0,158275.70000000016,379046.0,160027.00000000003,164806.40000000008
7,198547.56000000008,511452.52000000025,236939.0,338408.95999999996,219175.0,239022.4,273550.36000000004,511552.99999999977,266926.27999999997,195999.52
8,245001.52,769495.92,300215.0,543092.08,355735.0,342404.1,412555.6800000001,807452.1999999998,368648.4800000002,300200.96
9,316737.72,880630.64,418547.0,743817.32,406472.0,467911.4000000001,535215.4800000002,1037842.3999999999,533849.6800000002,410282.28
10,474359.4800000002,1031968.2799999999,543797.0,982200.6000000001,510295.0,647496.2000000003,655129.9,1184717.1,613556.34,568680.9199999999
11,631765.6000000003,1132870.0,630235.0,1161591.8,675272.0,807067.0,811016.0,1347463.0,771310.4000000001,657311.4
12,800153.36,1203323.4,704321.0,1365321.7599999998,819736.0,995494.6,988825.56,1475198.1,928976.16,783046.36
13,942085.56,1388477.36,862760.0,1412774.1199999999,957604.0,1130772.2,1133506.6400000001,1516727.7999999998,1086304.48,896722.6
14,1087711.04,1416394.56,1008891.5,1573746.8800000001,1084721.0,1228286.2,1207464.24,1608182.2,1130372.34,1035448.52
15,1133181.48,1564016.64,1183059.0,1573865.12,1139613.0,1310976.1999999997,1361252.7200000002,1612966.2,1213673.36,1126848.0000000002
16,1190596.8,1587345.4,1291420.0,1601584.4,1200123.0,1389460.0,1391840.0,1620734.0,1304797.2000000004,1223881.7999999998
17,1235990.6400000001,1608299.92,1386997.0,1607333.48,1328989.0,1422007.4000000001,1518143.4000000001,1728086.3999999997,1377304.16,1398258.08
18,1323970.16,1616376.32,1411927.0,1618791.0,1405337.0,1567740.3,1592015.18,1854293.7999999993,1437131.7800000003,1412725.56
19,1390920.56,1640256.6,1408213.0,1681798.44,1538521.0,1585487.4,1596319.84,2069619.9999999998,1571379.56,1519639.96
