index,266_1_translate.google.de,266_2_translate.google.de,266_3_translate.google.de,266_4_translate.google.de,266_5_translate.google.de,266_6_translate.google.de,266_7_translate.google.de,266_8_translate.google.de,266_9_translate.google.de,266_10_translate.google.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0
2,3366.2,4102.08,2249.800000000001,3590.6000000000004,2332.8999999999996,1587.8799999999999,3814.999999999999,1462.2000000000003,1566.3600000000001,1511.76
3,5049.48,4629.08,5075.32,5199.04,5190.160000000001,5809.24,5005.200000000001,4106.2,4089.24,3973.919999999999
4,8402.28,8337.14,7639.240000000002,8384.2,8203.12,8737.960000000001,8209.9,5763.599999999995,6729.12,4413.92
5,12522.68,14528.759999999998,12450.080000000005,13216.64,13027.039999999997,10552.400000000001,14956.2,8598.199999999999,8211.36,8461.44
6,36742.79999999998,55698.0,19948.00000000004,48318.20000000002,27344.999999999938,15698.999999999998,45234.5,15281.0,14704.400000000007,9092.999999999995
7,71167.96,71912.28,70465.72,71819.07999999999,71104.48,70883.64,70959.6,31966.999999999938,15000.28,15065.52
8,73491.74,74286.64000000001,74294.64,73391.64,71808.82,74215.68,73998.4,67767.19999999998,63284.7200000001,48928.48
9,75815.71999999999,110122.36,75517.16,85907.56000000004,77616.52,77292.32,113643.79999999994,70346.2,69741.88,69800.96
10,142400.74,205651.18,147321.6,170337.9600000001,155055.86,118795.52,177065.99999999997,71549.2,73733.56,73827.96
11,205485.59999999992,312209.8,217801.20000000004,250512.8000000002,205544.99999999994,185137.2,259283.0,75824.0,77209.8,75639.6
12,278846.16,363672.08,279167.60000000003,358528.92,285446.45999999996,269335.6399999999,337462.19999999984,144967.2,151244.96,114555.36
13,346934.36,363538.04,362852.84,363585.24,360024.92,359135.8800000001,363718.4,179096.59999999998,185118.32,179764.48
14,365037.46,367446.46,364007.48,364266.72,362830.86,363567.44,364071.7,268488.1999999999,266223.72000000003,238309.07999999987
15,366914.52,373224.32,365883.48,367789.52,367169.64,364519.84,367405.0,331641.99999999994,329101.6400000002,328224.8
16,371964.60000000003,379943.60000000015,371248.8,373104.2,368913.1,367410.8,371242.0,361408.0,362890.8,331900.8
17,374113.76,427880.4,373282.88,375752.48,372474.16,373119.6,375769.6,363201.8,363402.04,362670.28
18,394986.88,447681.80000000005,394594.68000000005,397669.36,375569.06,376705.04,395443.1,365205.6,366918.28,365463.88
19,431694.60000000003,500643.24,430938.60000000003,455575.6000000001,396721.39999999997,398329.68,399599.0,367790.6,368097.6,367114.92
20,501723.5,516581.10000000003,501092.08,500249.4,498400.5199999998,481934.12000000017,408813.39999999985,370732.2,373572.64,368059.8
21,525309.6,532455.2,514621.00000000006,526805.8,517971.0,502132.4,451192.0,375867.0,375271.6,372467.0
22,573102.22,555833.06,534602.52,571830.92,521041.46,502639.84,491521.6,391687.39999999997,394612.96,375703.84
23,573874.04,577804.8,574596.52,569487.08,556214.72,506596.76,508299.8,414660.1999999998,431309.6000000001,394697.24
24,574205.64,585113.08,572311.68,573186.16,574004.16,507986.36,505898.7,441714.8,498557.24,463260.27999999997
