index,275_1_www.sparkasse.de,275_2_www.sparkasse.de,275_3_www.sparkasse.de,275_4_www.sparkasse.de,275_5_www.sparkasse.de,275_6_www.sparkasse.de,275_7_www.sparkasse.de,275_8_www.sparkasse.de,275_9_www.sparkasse.de,275_10_www.sparkasse.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2066.0,3243.8000000000006,2231.6000000000004,1320.800000000001,3345.8,2728.4000000000005,2231.6000000000004,2231.6000000000004,1114.1000000000006,3590.6000000000004
3,4916.0,4864.72,5271.12,5050.320000000001,5178.52,5280.96,5579.24,5571.24,5524.68,5304.04
4,8344.5,8273.92,6164.46,6202.62,8545.72,7250.200000000002,6287.46,6279.46,6951.9800000000005,8497.84
5,10788.0,16899.24000000001,10132.400000000001,7935.96,14887.72,12738.72,8045.200000000001,8256.400000000001,10464.76,15043.08
6,19764.5,22937.8,19863.1,20223.2,23234.2,16171.6,19986.1,19978.1,14624.80000000001,22967.600000000002
7,24097.0,27442.360000000008,24201.920000000002,22539.12,28079.56,22459.88000000001,24609.879999999997,24601.879999999997,15662.960000000001,24753.12
8,28063.5,43776.40000000006,27404.18,27845.3,43433.28000000002,30099.680000000015,28303.02,28295.02,27892.579999999998,28721.199999999997
9,89084.0,100386.16,98962.44,56881.32000000002,97533.44,32278.36,71194.12000000001,90443.40000000001,31446.680000000008,74905.8
10,99333.5,97498.64,99130.54,100516.68,98359.56,35370.46,100301.54,99383.78,35661.9,99965.68000000001
11,100354.0,99894.6,96334.4,101252.2,100285.4,108896.8,100705.8,96836.2,77540.20000000011,100214.2
12,103974.0,101869.72,99329.66,98593.72,114022.36,109362.52,100824.62,99186.88,107902.04000000001,102713.28
13,117350.0,113664.32,116854.04000000004,112638.76,126973.12,110994.44,115628.20000000001,114455.28,106569.28,109392.8399999999
14,137623.0,130726.39999999998,128413.04,111046.02,130217.48,115386.66,141539.63999999998,157930.13999999998,106203.04,123527.31999999999
15,145487.0,158875.40000000005,158251.92,155375.96,163836.20000000004,112194.36,141610.32,163734.12,121106.88,137902.88
16,144990.5,176539.9,167329.79999999993,166837.6,180651.6,110266.7,141214.3,178384.3,138870.00000000003,177429.8
17,173115.0,179011.63999999998,194872.12,170594.96,195781.24,135034.72000000003,201688.48,200202.48,146853.96,203734.88
18,174378.5,207919.59999999998,199659.26,192513.58,211435.08,147620.04,208222.46,208924.36,152919.02,208771.16
19,186450.0,213322.04,201747.76,198935.08,223180.9199999999,162990.28,217604.8,208444.76,188129.32,211203.56
