index,279_1_www.deutsche-bank.de,279_2_www.deutsche-bank.de,279_3_www.deutsche-bank.de,279_4_www.deutsche-bank.de,279_5_www.deutsche-bank.de,279_6_www.deutsche-bank.de,279_7_www.deutsche-bank.de,279_8_www.deutsche-bank.de,279_9_www.deutsche-bank.de,279_10_www.deutsche-bank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,1357.34,1377.8799999999999,1500.84,1390.52,1411.06,1374.72,1691.36,1655.3999999999999,1396.84,1526.8799999999999
3,4041.88,3987.48,3848.1600000000003,3952.92,3837.1200000000003,3996.12,3950.4000000000005,3747.24,3935.64,4093.48
4,5406.18,5365.76,4449.04,5324.96,5370.38,5195.56,4937.440000000002,5201.88,5035.12,4595.840000000005
5,4497.16,4474.12,8348.360000000002,6673.08,5351.959999999997,3991.9600000000005,7099.44,6400.36,6023.52,8204.28
6,8444.699999999999,7566.600000000003,7794.0000000000055,8015.200000000001,8205.1,8224.4,9127.200000000008,8396.6,8294.400000000001,16184.800000000001
7,8497.16,7891.12,17947.44,8641.88,9131.799999999992,7690.880000000001,13316.24,8604.8,9037.199999999995,18474.52
8,16325.54,13816.399999999998,18205.32,12798.16,17947.679999999993,13210.68,12058.320000000007,18172.36,17429.519999999997,19721.24
9,17589.72,17648.04,20644.08,13596.64,18452.84,17821.12,16316.88,18681.68,18572.68,19828.92
10,18244.52,18976.679999999993,20255.199999999993,17061.400000000005,19728.54,19927.12,15463.14,20019.079999999998,19750.56,46395.119999999995
11,20343.799999999996,20675.2,45883.400000000016,25303.799999999992,20175.200000000004,20441.8,22693.000000000022,20690.6,20426.8,46967.2
12,20446.48,20544.64,48435.24,26265.68,45833.200000000004,19704.16,26435.04,40046.35999999999,33743.76000000001,56903.68
13,36018.51999999999,45842.2,84207.2,27437.24,47933.68,46465.12,27852.079999999998,46075.76,45373.48,91598.2
14,45418.02,46984.44,119844.40000000002,28115.32,57323.53999999998,46995.84,28390.36,46874.52,47788.560000000005,138259.0
15,47733.68,59575.84,193711.8,44065.15999999994,76972.07999999999,48239.32,28940.280000000083,50270.72,48243.6,203132.52
16,56843.700000000004,84060.0,259040.40000000002,53207.200000000004,88766.69999999998,83590.20000000001,53292.1,67195.00000000001,77484.40000000002,237548.1999999998
17,90675.6,120447.87999999998,259394.68,55671.92,103963.31999999996,109108.23999999999,56046.72000000001,83715.48,83506.12,261685.12
18,124101.81999999995,124403.32,263714.28,92013.79999999999,152175.31999999995,174427.36000000004,92392.42,118898.0,92650.28,263646.44
19,163560.72,156562.88,293755.8,99314.8,157640.48,233014.91999999998,91181.68000000001,167972.95999999996,95299.64000000001,286279.24
20,186378.47999999992,160828.04,331004.12,132691.12,170236.95999999993,259435.48,92466.82,222256.19999999998,148218.44000000015,314786.92000000004
21,193693.8,192007.40000000002,411785.6000000001,189500.59999999998,198625.2,260757.4,139436.60000000012,256538.8,225378.1999999998,354023.79999999993
22,195912.14,230986.88000000003,451234.12,231902.08000000002,236600.36000000002,272363.32,173172.82,262482.08,261353.12,399321.8
23,248522.32,241085.44,451078.04,267339.52,247843.88,309575.71999999974,198002.16,268668.04,263223.48,446189.24
24,265071.83999999997,297296.88,453544.4,268944.72,264843.94,335463.87999999995,198526.3,302812.56,288451.76,453712.36
25,298288.8799999999,317856.76,459215.64,270592.32,308988.55999999994,374787.9199999999,264907.24000000005,324883.24,319599.76,457274.88
