index,283_1_www.ing-diba.de,283_2_www.ing-diba.de,283_3_www.ing-diba.de,283_4_www.ing-diba.de,283_5_www.ing-diba.de,283_6_www.ing-diba.de,283_7_www.ing-diba.de,283_8_www.ing-diba.de,283_9_www.ing-diba.de,283_10_www.ing-diba.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3631.3999999999996,1300.5,1403.5999999999995,3774.2000000000003,3223.399999999999,1192.7000000000003,1041.7799999999997,1192.7000000000003,1859.0000000000007,1095.6799999999996
3,4992.72,5385.0,5525.04,5027.76,5315.320000000001,5113.199999999999,5325.44,5090.2,5479.2,5395.920000000001
4,8147.32,6137.5,6215.66,8183.059999999999,10389.12,8671.6,6084.26,6107.700000000001,6248.8,8655.64
5,16950.92,8022.0,7682.920000000001,17148.36,12348.640000000001,8504.8,7412.119999999999,7794.800000000001,8755.000000000004,8993.400000000007
6,20303.399999999998,9126.5,18712.5,20438.7,16398.6,17940.0,18549.499999999996,17734.0,18731.0,15016.800000000012
7,23583.760000000002,17771.0,22394.32,23745.92,26441.519999999997,20413.600000000002,22233.88,20227.8,21966.600000000002,17446.12
8,26015.56,23196.5,23877.42,26121.98,28194.120000000003,24042.4,23232.38,23837.4,23377.6,20252.119999999995
9,31800.64,28195.0,26199.76,31918.12,30435.48,25465.599999999988,26103.36,24287.399999999998,26264.199999999997,21422.800000000014
10,54581.51999999996,31773.0,32449.12,34309.380000000005,31475.24,30431.7,31858.939999999995,28546.999999999993,32072.4,27604.68
11,56419.4,32132.0,33635.4,56772.200000000004,34476.2,34028.0,34230.59999999999,33279.0,36373.0,31018.800000000017
12,56288.96,34200.5,57678.86,56649.68,40227.28,58654.40000000001,57176.22,35544.99999999998,56863.799999999996,52639.24
13,62062.96,39779.0,55783.95999999999,64134.92,50921.19999999997,56516.200000000004,57377.24,57027.200000000004,58273.800000000025,52888.08
14,67743.8,48370.0,58489.86,70057.34,64888.44,56645.8,59843.80000000002,57344.8,60442.20000000004,55932.08
15,72929.28,65033.0,64067.36000000001,73541.96,64687.240000000005,60421.2,66283.88,60106.79999999996,64661.99999999999,61262.120000000046
16,75037.8,64871.5,70092.19999999997,76933.40000000001,72897.8,63130.0,67683.2,64116.5,70610.0,65204.20000000004
17,96659.87999999992,68138.0,69982.52,75657.20000000001,78025.92,71037.59999999999,73236.72,67732.8,69407.4,71166.32
