index,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3968.04,3955.08,3563.88,3669.2,3961.56,3989.64,3604.92,3553.08,3650.94,3931.3199999999997
3,4393.320000000001,6282.48,8635.24,8538.6,5072.759999999998,4363.12,8387.92,8509.200000000003,5959.56,6221.720000000004
4,7979.26,9927.399999999998,18510.120000000003,19454.599999999988,7689.799999999998,8050.8600000000015,18442.42,16377.039999999995,16977.859999999993,9308.600000000006
5,20327.039999999997,20717.96,37796.91999999999,40714.8,20904.72,20695.64,20826.08,21984.44,20349.440000000002,20805.84
6,39556.9,38974.9,40112.799999999974,39449.0,39651.2,39771.9,37849.8,28438.399999999998,38398.4,39378.399999999994
7,47765.359999999986,72172.04,74962.87999999999,70386.2,63631.28,56959.87999999998,73638.92000000001,58192.039999999935,86072.2,67148.16000000002
8,69832.84,99851.22,121528.85999999996,102684.4,76672.04,73979.44,89801.6,88426.94,95617.58,76519.88
9,97989.56,123366.68000000001,135482.36000000002,135375.2,112150.63999999996,93071.96,135036.08,110749.24,154047.2799999999,120110.32
10,133982.54,139104.26,214930.91999999995,194640.79999999973,134222.24,128651.92000000001,138083.6,143279.66,234717.44000000015,135507.28
11,183474.0,142405.0,275815.6,291575.0,204730.60000000018,133095.0,233936.5999999999,214749.00000000017,313832.79999999993,174759.00000000006
12,299765.87999999995,206624.20000000022,380652.35999999975,391728.19999999984,317094.87999999983,248272.10000000012,285046.32,331891.02,376260.16000000003,344417.92000000004
13,395325.36,292185.36,484537.2399999998,503167.1999999998,417695.72,323766.8,321032.80000000005,464672.19999999995,459556.5999999999,481105.6400000001
14,496323.2,429745.8400000001,650392.8799999998,638232.8,511388.60000000003,377507.88,406783.5599999998,631185.48,538057.72,625076.8400000001
15,605802.3999999997,506273.1600000002,779448.84,761149.7999999997,619672.6799999998,447767.6,518160.48,755404.84,595483.5199999999,727575.96
16,727957.9999999998,621719.9999999999,816295.4,804204.0,761220.1999999998,527705.8,624113.3999999998,826581.4,682621.4,803994.2
17,802733.28,733167.68,851953.92,811622.0,818413.16,605840.24,737464.5199999999,868689.56,793893.5599999998,810357.04
18,804272.26,811050.88,942955.3999999999,837360.3999999999,827755.64,733136.1999999998,802901.44,947573.12,816512.22,853444.8
19,876442.12,829782.6799999999,1046032.3599999999,917586.9999999995,889814.24,804363.36,843160.52,1102632.5999999999,831328.4,1003444.1600000004
