index,292_1_www.commerzbank.de,292_2_www.commerzbank.de,292_3_www.commerzbank.de,292_4_www.commerzbank.de,292_5_www.commerzbank.de,292_6_www.commerzbank.de,292_7_www.commerzbank.de,292_8_www.commerzbank.de,292_9_www.commerzbank.de,292_10_www.commerzbank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,1444.24,1526.32,1328.8999999999999,1428.44,1442.66,1381.04,1099.5600000000004,1445.82,1434.76,4114.12
3,3599.52,4135.88,4103.8,2228.04,3601.68,3978.84,3657.4000000000005,3597.36,3644.5199999999995,4678.12
4,4688.24,4651.44,4414.499999999997,6149.32,4958.38,5540.92,5646.460000000001,4939.32,5071.68,8260.960000000001
5,5986.96,8592.560000000001,4636.8,6949.48,6299.56,4335.6399999999985,5810.240000000002,8454.28,6138.32,14792.12
6,8317.8,11429.4,6136.5,8468.199999999999,8265.7,8558.800000000001,8439.699999999999,8600.9,8363.2,19703.4
7,14218.64,15134.12,8330.4,13514.240000000005,10604.32,7800.159999999999,11735.200000000003,12808.639999999998,10803.36,19853.16
8,15845.88,16552.2,10984.99999999999,15995.08,15259.480000000003,14464.76,16239.199999999997,18201.44,13931.920000000013,21876.88
9,16255.119999999999,22939.51999999999,15920.799999999994,17647.84,19590.32,18232.92,17995.04,19481.2,17696.36,34328.880000000005
10,16688.96,34220.76,18155.6,21700.760000000002,21444.36,19808.84,21813.56,21306.48,21607.04,35943.96
11,17848.800000000003,32507.400000000005,19700.0,21720.000000000004,27019.800000000017,21614.8,24187.999999999993,36826.799999999996,21869.000000000004,41688.799999999996
12,21787.16,35419.88,21622.6,38857.000000000015,36680.06,29431.6,38715.399999999994,36058.66,36808.88,48704.52
13,23037.16,40041.83999999999,22262.999999999985,36546.759999999995,34907.64,37176.88,36272.56,38790.680000000015,35738.600000000006,74988.08000000002
14,37260.96,42281.40000000001,35564.49999999999,37227.24,37840.58,35611.16,37213.08,41912.640000000014,39467.52,93772.0
15,35845.159999999996,68504.72,36931.200000000004,41056.16,41451.92,37878.12,41330.96,45324.84,41904.64,108044.0
16,37282.6,77652.4,36294.0,42086.6,45804.9,40779.999999999985,43510.4,47352.3,47794.60000000002,135634.6
17,41242.359999999986,127151.0,38623.00000000001,46450.76,47458.159999999996,46561.55999999999,45698.64,52231.600000000006,48019.64,167219.76
18,43164.08,155835.08000000002,39748.299999999996,49933.92,80866.92,50503.92,46250.0,64241.26,79298.12,203663.20000000004
19,47802.52000000001,184562.83999999994,45924.2,48918.27999999999,93292.03999999998,65960.72,50959.08,98114.11999999998,96945.72,238910.8
20,44518.24000000001,225079.11999999997,50305.1,86807.0,144661.09999999998,96273.31999999999,83300.55999999998,115382.56,111909.96000000002,270418.56
21,50887.600000000006,244114.79999999987,64713.0,102199.20000000027,178275.00000000003,128629.2,102800.6,124268.0,119498.59999999999,304061.8
22,64978.95999999998,264280.31999999995,118531.1,133480.84,207389.56000000003,151888.88,115720.20000000003,154405.5,157507.36000000013,344415.60000000003
23,83868.95999999999,286278.8,133931.0,157767.08000000005,224317.63999999998,179377.4,143790.2,177421.59999999998,182641.63999999998,414010.7599999999
24,103960.95999999998,324293.39999999997,167015.49999999997,186832.8,235642.03999999986,196294.03999999998,188254.46,210130.52,201874.04000000004,471371.7999999998
25,132704.12,339189.6,188576.4,207933.84000000023,250144.08,238695.60000000006,200804.24000000002,248653.40000000002,227181.6,480720.32000000007
26,167858.0,354750.0,195219.5,233055.0,256563.5,264843.0,229612.5,295254.0,250235.0,492651.0
27,196281.6,379331.8399999999,203075.0,258362.36000000004,280545.5199999999,296432.76,249998.6,327066.32000000007,286845.56,504930.6
28,232561.31999999995,421986.67999999993,219629.6,283131.16,300191.5,319612.1199999997,271024.96,341407.38,316503.80000000005,549659.7600000001
29,266837.59999999974,441082.2,240624.99999999997,306809.44000000006,327486.32,351392.72000000003,288143.6400000001,369790.76000000007,325721.2,580901.96
30,296468.9199999999,466354.56,249269.99999999994,326305.72,345154.68,387313.3599999999,313548.9,402596.91999999987,337891.48000000004,614803.6
