index,294_1_www.dhl.de,294_2_www.dhl.de,294_3_www.dhl.de,294_4_www.dhl.de,294_5_www.dhl.de,294_6_www.dhl.de,294_7_www.dhl.de,294_8_www.dhl.de,294_9_www.dhl.de,294_10_www.dhl.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2760.5999999999985,4028.92,3961.56,4070.2799999999997,3597.36,3572.52,4028.92,504.1200000000007,3843.54,4035.0
3,4752.92,6525.52,4334.4800000000005,8090.64,6493.36,8464.96,6796.08,7921.800000000001,6693.52,4590.0
4,8595.94,11332.600000000002,7957.4400000000005,18704.160000000003,16823.480000000014,18268.579999999998,8947.22,18012.72,13627.44,8006.0
5,17869.16,34374.24,19171.8,40328.2,33332.08,32646.52,13947.44,31901.04,27473.96,19661.0
6,33138.3,33073.7,38731.6,62500.60000000001,34413.99999999999,45706.599999999984,25550.899999999998,38834.6,45708.99999999999,32043.0
7,43232.27999999998,37686.96,50370.08,124714.36,52558.68000000002,57648.2,41317.96000000001,72569.04000000001,76449.16,49505.0
8,85254.34,71554.06,75673.35999999996,151560.24,98426.04000000007,95949.95999999995,42931.78,87438.99999999999,106575.44,73590.0
9,103891.84,103776.03999999998,121608.87999999998,173986.12,149481.76,149014.24,78102.8,110811.6,114075.68,114066.0
10,151761.69999999998,151950.76,139960.92,204103.52,180714.59999999998,173193.3,105366.20000000003,158238.95999999996,151805.9,143830.0
11,176337.2,182825.99999999994,161216.4,241836.4,244640.0,209423.99999999997,126795.19999999997,190239.5999999999,195012.0,160727.0
12,203304.3,244563.55999999997,183458.8,292470.76000000007,257408.04,284954.31999999995,156569.09999999998,250633.2,247720.09999999998,167772.0
13,248105.19999999998,292396.4,201377.83999999997,345858.8,299275.6400000001,360118.83999999997,189246.2,278666.4,328833.56000000006,211112.0
14,299308.3199999999,325015.44,246553.4,416851.9599999999,357025.8,428295.88,220539.81999999995,316200.36,396662.54,285038.0
15,349576.16,359331.39999999997,289279.0,440220.6,391124.4,501012.67999999976,263989.72,349695.04000000004,423563.51999999996,347963.0
16,389491.3,402242.0,323272.0,481406.0,416555.8,542786.5,362448.4000000001,412225.4,478612.0,396576.0
17,422960.8,460722.68,359121.36,509152.76,441353.24,592921.2,382843.08,432939.76,508803.6,455336.0
18,467454.48,493955.16,393254.96,548003.44,462693.4000000001,623994.98,450977.83999999985,472836.0,518098.66,493225.0
19,476140.96,545441.5200000001,415002.8,586435.76,490533.16000000003,646104.12,491843.48,513428.6,539967.64,551787.0
20,486237.78,608498.78,459679.2,604114.28,522612.51999999996,653629.2999999999,531422.9,585339.28,562572.54,586200.0
21,526887.2,643909.2,475795.80000000005,609051.2,545796.0,694297.1999999998,550278.8,614147.6,570015.0,614647.0
22,553333.92,643155.9,486206.8,632854.12,617075.9600000001,718886.58,563479.2,643047.2800000001,601130.2,650142.0
23,570181.68,668978.3999999999,498327.84,658704.68,685930.9999999999,745442.4,598191.2,671216.72,623508.3999999999,697783.0
24,616209.6,677100.22,522082.8,681041.16,736483.8,778781.24,614855.86,757348.6,645467.08,762544.0
25,639280.2,695462.8,570141.4,712634.84,752931.36,820525.24,636669.96,790590.88,667385.68,773897.0
26,689589.0,720181.0,595724.0,720666.0,754888.0,832189.0,667546.0,813921.0,685186.5,785668.0
27,763025.24,767343.48,633588.56,755248.24,791680.4000000001,842045.88,703931.48,864698.36,716428.0399999999,804405.0
28,775340.66,785233.36,679699.6800000002,788553.4400000001,806005.52,868076.0199999999,752195.9,892997.4,723387.34,821966.0
29,789029.12,801458.12,701221.16,798963.08,825288.24,891299.36,781620.56,938141.84,742228.44,843486.0
30,792656.82,875480.0000000001,735463.2,816655.28,856915.4,916377.38,805919.66,970668.36,752278.92,871482.0
31,792416.2,942593.2000000001,765788.6,855722.2,889424.0,954202.0,817279.4,994041.4,772242.6,925120.0
32,821433.4400000001,994686.66,780758.68,888101.9199999999,930293.5599999999,1002310.4199999999,841386.66,996459.0,790826.88,956158.0
33,839806.08,998057.32,796795.2,936340.88,979383.16,1058409.16,859190.52,1052765.4,813302.24,1009260.0
34,856907.5599999999,999975.1799999999,801311.76,1007741.5200000003,1042317.4800000001,1089756.7599999988,867029.4,1138858.1600000001,836201.9999999999,1080538.0
35,871789.84,1014304.2399999998,853879.76,1018216.9599999998,1100917.12,1149370.08,890789.0,1154543.64,851296.1599999999,1144116.0
36,894570.3999999996,1107868.7999999998,858364.6,1022170.6,1148652.8,1154154.9,969185.7999999999,1175271.8,862652.9,1147138.0
37,939841.7599999999,1147033.28,861171.6000000001,1026092.96,1151768.76,1169861.7199999997,1020528.44,1197728.12,874237.6,1150524.0
38,1002797.1,1156095.34,908226.6,1064000.2,1153107.08,1200904.18,1025289.04,1214746.4000000001,928313.3,1151029.0
39,1011628.48,1160719.68,960773.12,1076328.72,1158049.28,1249780.9999999995,1026340.36,1254173.16,973524.24,1177180.0
40,1016310.92,1202143.04,996066.1199999996,1099978.92,1182827.6800000002,1305501.3,1043914.54,1283642.68,1015592.24,1213205.0
41,1017793.4,1244964.7999999998,1021033.8,1151967.8,1228346.6,1353059.8,1072035.8,1329850.1999999997,1018379.6,1274419.0
42,1044224.1600000001,1300422.1400000001,1022586.84,1226916.1199999999,1250553.84,1407894.4599999995,1077229.8399999999,1374827.72,1025538.72,1302148.0
43,1062913.68,1350263.48,1028102.32,1257243.8,1269333.32,1458783.4,1090984.2,1428186.12,1044474.3199999998,1381898.0
44,1093147.3,1449209.64,1065500.28,1312812.76,1312789.44,1503344.16,1139497.04,1451766.0,1109350.3,1445588.0
45,1157744.56,1496650.9599999993,1130122.2,1373124.4800000004,1390500.5199999996,1564139.4,1198043.1199999999,1485001.0400000003,1144453.7199999995,1482908.0
46,1198847.0000000002,1577041.8,1171650.8,1400677.8,1464771.0000000005,1571855.9,1259438.5,1528612.7999999998,1205970.0000000002,1559478.0
47,1248300.68,1577952.5999999999,1220340.8,1449128.3599999999,1495948.6,1581535.92,1312089.9600000002,1580951.08,1284953.6,1571177.0
48,1299992.3999999997,1586647.54,1294654.1600000001,1450126.28,1534846.2,1585899.8,1352826.92,1583430.4,1315502.56,1572862.0
49,1392766.4,1590556.52,1347035.3599999999,1470802.32,1576128.24,1593651.8,1445947.72,1596660.64,1342637.24,1578541.0
50,1432475.4,1595883.26,1432755.6799999997,1470542.16,1583756.32,1599236.6,1453505.32,1596347.68,1382961.86,1584208.0
