index,300_1_www.wolframalpha.com,300_2_www.wolframalpha.com,300_3_www.wolframalpha.com,300_4_www.wolframalpha.com,300_5_www.wolframalpha.com,300_6_www.wolframalpha.com,300_7_www.wolframalpha.com,300_8_www.wolframalpha.com,300_9_www.wolframalpha.com,300_10_www.wolframalpha.com
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,-442.0
2,4033.56,4143.0,4091.76,1664.98,4079.72,4114.12,544.6800000000001,1700.0000000000005,1339.9000000000008,3524.000000000001
3,5020.4800000000005,4562.0,4556.76,3943.44,5631.320000000001,5460.12,1768.1599999999996,5218.2,5463.96,5507.4
4,8280.16,8576.0,8371.82,7322.84,5882.76,8614.24,4907.72,8293.800000000001,8645.92,8552.6
5,13402.16,19166.0,18827.72,9356.199999999997,13172.64,14015.400000000001,6680.84,18685.600000000002,13211.119999999999,15213.4
6,21930.6,27782.0,28035.3,19339.1,20935.4,29065.6,19515.800000000003,28702.0,25946.300000000017,21325.0
7,20476.56,24935.0,25142.720000000005,29405.32,26466.56,28290.52,29584.64,26060.8,27328.12,28224.599999999995
8,18075.239999999998,25484.0,25399.14,27595.54,34844.52,26498.44,27039.44,26282.8,24366.859999999997,25386.199999999997
9,24156.44,29325.0,29076.04,27618.76,32182.12,26697.92,27126.52,29355.399999999998,27871.12,24397.400000000012
10,28166.48,35480.0,35084.74,25780.579999999998,35310.32,30105.88,27837.640000000014,33493.4,32358.16000000001,29843.6
11,36544.4,46231.0,41199.4,41079.2,43548.800000000025,36065.8,33996.799999999996,37287.0,43051.6,40971.0
12,38852.67999999999,46314.0,44442.299999999996,40630.74,45396.12,38371.52,40735.48,42479.000000000015,44443.66,42530.799999999996
13,36873.56,46302.0,45305.28,40065.44,49802.04,44223.840000000004,42695.52,46818.799999999996,42935.479999999996,43825.2
14,37873.52,47233.0,45124.18,44338.74,47748.840000000004,42550.12,43359.76,46384.19999999999,44076.46000000001,41867.4
15,38869.319999999956,49904.0,47195.19999999998,46558.76000000001,48825.24,41465.24,41784.52,46802.79999999999,49244.20000000002,42651.799999999996
16,45073.4,57050.0,51665.700000000004,44314.7,55443.00000000004,48636.600000000006,46951.6,58748.0,52183.9,48937.0
17,51373.76,61074.0,57272.44,46475.48,81562.36,51906.84,53517.92,56363.2,55038.159999999996,51986.200000000004
18,51392.159999999996,68800.0,66342.34,48593.020000000004,95703.56,69011.36,57686.04,58826.399999999994,53320.299999999996,55689.20000000002
19,64202.76,71196.0,83783.00000000001,48430.08,94589.95999999999,75589.88,66111.92,66740.80000000002,60713.48000000008,56338.6
20,72424.08,80853.0,88235.8,55154.39999999999,106545.88,84119.32,67187.56,76420.19999999995,70852.00000000009,65468.59999999999
21,89466.2,96858.0,96685.2,59866.8,116183.4,86033.8,77783.4,96253.0,82550.2,72699.0
22,92379.31999999988,104242.0,105092.36,63275.62,138021.08,88277.72,83809.76,105015.40000000001,83313.26,96635.40000000001
23,105294.28000000001,115396.0,108693.24000000005,67497.59999999999,137832.96,98332.48000000001,103341.43999999999,102832.2,98734.23999999998,98170.40000000001
24,106193.20000000001,115522.0,111895.23999999999,78116.84,148041.96,104828.84,108691.67999999998,109516.40000000001,105572.70000000004,106988.4
25,110785.76000000001,113109.0,117632.12000000001,100185.19999999995,145963.68,107547.08,114463.76,113133.40000000001,123696.64,105123.59999999998
26,111034.0,125714.0,118023.5,105678.5,152740.0,114566.0,112023.0,115183.0,124400.5,127861.0
