index,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
1,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,8254.74,6067.54,8342.6,8504.08,8294.800000000001,8864.400000000001,7868.46,7766.64,8359.800000000001,8427.44
3,26742.12,23626.84,25161.72,25948.679999999997,25800.199999999997,25848.119999999984,26830.28,27199.0,22536.519999999968,36260.28
4,57825.980000000025,34782.34,62348.2,87025.28,75588.59999999999,88409.28,71831.38,57940.72,80512.19999999997,78461.36000000002
5,152609.40000000002,139638.95999999996,128455.12000000005,180268.96,134692.2,123907.71999999996,140682.56,121763.68,138918.8,147938.19999999998
6,269841.0,217902.49999999997,269405.60000000015,339215.2,245483.0,193737.99999999997,277043.0000000001,270554.0,285501.0,322713.0
7,443433.60000000015,410963.12000000005,438985.95999999996,442030.72000000003,422924.4000000002,305942.39999999985,427217.68,425788.04000000004,455928.6399999998,439073.76000000007
8,528525.92,520983.74,522016.68,487786.04,456423.6,490525.44,463868.58,462234.52,527804.32,468267.12
9,579310.92,569223.4400000001,650633.7200000001,538330.32,458905.8,588497.48,484330.4,486210.84,554413.72,507625.12
10,605451.28,613388.4400000001,660788.5599999999,602013.4,477155.0,610014.52,518442.02,528763.68,598243.32,538680.88
11,643140.0,667575.3999999999,747064.8,643118.6,554458.0,654961.8,547886.2,604926.4,673064.8,584928.2
12,744522.46,720692.1,837379.4400000001,717807.6,617180.0000000001,666663.08,603799.32,649673.92,746221.08,642332.08
13,828243.92,872145.88,912510.36,796588.6000000003,707821.0,739489.24,670181.04,728573.8,820075.7999999998,701997.04
14,947692.3,968850.58,1017808.2,918614.1200000001,792168.2,824977.9199999999,745866.82,772602.48,876302.84,764445.0
15,1068142.4000000001,1020255.7999999999,1061199.72,1009676.96,890233.4000000001,961741.68,796304.4399999998,879102.5600000002,936948.7999999999,865348.6
16,1144519.3000000005,1114360.0,1196013.6,1109824.2000000002,959199.0,1047270.3999999999,865540.5,975792.2000000001,1052266.0,948552.8
17,1275093.8000000005,1343955.5999999996,1361787.2400000002,1217603.36,1044891.2000000002,1126409.3599999992,954857.6,1050501.4,1162095.2,1009759.6
18,1376314.48,1397436.18,1499947.56,1306044.6,1085377.4,1271924.5599999998,1008436.88,1142290.8,1224125.96,1074543.2
19,1524612.36,1540000.8,1593360.3600000006,1425203.1600000001,1177543.0,1427429.4,1076808.8,1211563.3599999999,1303134.5999999999,1169609.2
