index,311_1_www.bild.de,311_2_www.bild.de,311_3_www.bild.de,311_4_www.bild.de,311_5_www.bild.de,311_6_www.bild.de,311_7_www.bild.de,311_8_www.bild.de,311_9_www.bild.de,311_10_www.bild.de
1,-442.0,67.0,67.0,-442.0,67.0,-113.0,-442.0,-899.0,-442.0,-442.0
2,28784.300000000003,16899.0,28894.499999999993,31768.14,27197.04,39205.979999999996,30323.079999999998,31812.3,29297.899999999998,30034.48
3,62064.08,36805.96,74749.59999999992,62085.92,58351.840000000004,58181.56,69550.84,67568.00000000001,64718.99999999997,62052.4
4,341428.76,48058.96000000001,336441.5,301360.8,332715.76,277881.74000000005,334070.6,228703.4000000001,319533.6999999998,311779.3999999998
5,370423.72,124559.07999999997,365567.6,352920.92,357226.68,419733.04,364020.08,406226.0,406915.39999999997,362188.56
6,447510.0,265156.6,441367.0,435252.7,414702.60000000003,446388.3,441942.6,434822.5,431458.5,434248.3
7,517171.48,350138.88,516180.4,457485.92,460802.12,488631.6800000001,519444.84,513564.0,511118.99999999994,527977.6799999999
8,521372.92,416188.84,519473.7,518304.14,456399.6399999999,508389.12,524890.24,558815.2,562371.3,561206.52
9,539814.68,426024.84,537205.0,532282.52,486214.36,549737.52,536515.5599999999,559648.0,572996.7999999999,569643.0
10,570003.7,452813.12,593956.2,554390.74,558036.64,596067.74,616005.8799999999,604167.7,617236.1,609552.24
11,639731.4,477647.8,601933.0,577141.2000000001,576643.2,678585.4000000003,624804.8,668655.0,652237.0,661025.8
12,677102.72,513170.32,651115.9,576314.04,617584.2,738397.46,647696.1999999998,708324.8000000002,705005.8,705485.8
13,684409.4,658672.76,717324.5999999999,591167.2,668723.52,749618.8,718785.4,762073.0000000001,733543.6000000001,693878.64
14,754782.22,666980.0800000001,776187.1,644514.7599999993,752276.64,837847.5599999999,770715.4,801495.9,780229.9999999999,783193.5000000002
15,788129.36,673676.88,776761.6000000004,830763.96,817652.56,845166.84,925924.28,944805.4,903595.2000000001,917013.0399999996
16,877135.1,695768.4,880575.0,910751.5,836664.4,989369.9,927987.0,972199.5,975255.5,945345.1
17,948937.04,760079.12,941320.4,924257.84,968149.32,1036696.9600000002,950414.7199999999,991462.4,989934.4,961932.16
18,1012548.32,862429.7999999999,967866.1000000001,942976.16,998469.96,1084750.82,983017.16,1019281.2,1015097.6,984942.2
19,1090354.24,879051.1999999998,1073954.2,1066211.52,1065231.36,1102489.88,1043675.1999999998,1051727.2,1076528.6,1053707.52
20,1203848.2400000002,948888.12,1127028.1,1104731.86,1111883.72,1174513.34,1115509.68,1103747.5,1095532.4999999998,1152588.5199999986
21,1215069.6,967715.4,1229052.0,1220655.8,1223372.4,1231917.6000000006,1208559.2,1222344.0,1176155.0,1219031.8
22,1227067.48,980909.76,1239869.9,1222974.56,1237526.88,1249595.86,1220238.2,1232398.3,1222526.1,1233222.96
23,1255245.12,1081839.52,1256212.5999999996,1241760.6400000001,1259943.84,1279723.36,1245739.44,1249760.6,1243572.4,1264197.68
24,1354406.32,1093158.92,1327733.8,1272655.62,1287572.24,1325251.4000000004,1252902.1999999997,1292735.3,1275753.8,1287034.72
25,1376851.96,1118331.7999999998,1320408.4,1315365.56,1336530.44,1346022.0,1300509.28,1321722.4,1302141.4000000001,1326011.8800000001
26,1470190.0,1234682.0,1412482.0,1387969.5,1336861.0,1471061.0,1336133.0,1341572.5,1388729.0,1392172.0
27,1622873.24,1250747.88,1462619.4,1405614.96,1442685.0,1532987.28,1386177.28,1433392.3999999994,1408236.2,1473093.44
28,1645269.04,1261845.84,1542900.3,1444912.5999999999,1518910.56,1634046.9799999997,1415334.6799999997,1491876.1,1473446.8,1539636.78
29,1798699.8800000001,1303832.88,1679242.2,1496137.5999999999,1626977.32,1666404.4,1524359.3599999992,1640706.9999999998,1527706.6,1625189.92
30,1829807.1600000004,1288173.52,1798762.9999999993,1553347.02,1779392.8800000013,1720723.680000001,1661986.4399999997,1707340.2,1664339.7000000002,1739546.5600000003
31,1866884.5999999999,1353323.1999999993,1834055.0,1583670.2,1819612.4,1844655.6,1791225.4,1778980.0,1684243.0,1803328.2
32,1871336.26,1423751.52,1859722.9999999998,1585826.62,1846984.32,1872873.04,1818722.48,1808249.7999999998,1778427.5999999996,1829503.28
33,1923495.4000000001,1430684.4399999997,1889226.2000000002,1599073.32,1863564.64,1884570.0800000003,1853094.64,1872771.8,1851236.9999999995,1839785.52
34,1923090.34,1473800.04,1896271.7999999993,1647230.46,1902317.6000000003,1882484.42,1896125.32,1906710.9,1863749.7,1862473.18
35,1938189.64,1479053.2799999998,1917545.0,1732583.0799999987,1912467.56,1918507.08,1889527.88,1922878.8,1883764.4,1923203.36
36,1961547.9,1570646.6,1927617.5,1777667.4,1923095.8,1941905.0000000002,1913567.2,1934441.0,1889063.5,1917637.0
37,1970537.52,1624378.04,1976413.2,1793593.56,1935557.56,1950946.68,1926846.88,1958874.2,1921477.0,1953001.4000000001
38,2002798.3800000001,1628975.56,1980605.8,1820939.44,1941731.1600000001,1975937.06,1941624.6400000001,1963615.7,1941820.5999999999,1959912.66
39,2016458.0799999998,1634538.08,1999724.8,1833519.68,1964795.44,1985571.1200000006,1955796.76,1998477.2,1957620.0,2001606.88
40,2019089.84,1654261.8,2043576.4,1846754.96,1988999.92,2025939.68,1958204.6,2018536.8,1973287.9000000004,2027608.64
41,2037906.4,1668641.7999999998,2056414.0,1870619.4,2038190.8,2055709.5999999999,1984375.9999999995,2027164.0,2017219.0,2041161.8
42,2058106.16,1679952.7199999997,2066724.7,1900626.6800000002,2058976.04,2075459.04,2021240.4800000002,2052994.2,2027636.9,2070911.52
43,2074075.48,1739416.1600000001,2069870.8,1894436.0399999998,2065004.8399999996,2101144.28,2010151.4800000002,2063489.4,2032943.8,2082442.88
44,2099516.28,1740691.64,2088064.1,1944703.6,2079070.36,2105457.42,2034461.44,2101166.9,2049931.3,2090281.68
45,2113598.64,1749190.72,2091407.2000000002,2052187.1199999999,2092535.36,2125182.96,2047535.8800000001,2115736.2,2070897.6,2107378.4400000004
46,2164452.2,1760628.6,2111355.5,2068315.2,2123606.2,2139253.7,2055479.0,2129759.0,2103288.0,2121587.7
47,2172447.36,1778528.2,2145382.4,2113467.12,2131499.16,2167743.92,2061552.9200000002,2135816.8,2116672.8,2171440.44
48,2178163.4000000004,1789725.52,2160286.9999999995,2127879.36,2141053.12,2175898.86,2109276.9600000004,2167249.1,2133036.8,2172286.2
49,2205535.52,1798872.6,2181277.2,2145264.72,2159189.92,2201782.68,2129247.72,2178310.6,2154696.8,2190464.12
50,2227710.9,1810740.08,2196397.599999998,2156582.52,2170544.72,2218883.8599999994,2137509.28,2191797.4,2167432.8999999994,2202105.94
