index,316_1_www.chefkoch.de,316_2_www.chefkoch.de,316_3_www.chefkoch.de,316_4_www.chefkoch.de,316_5_www.chefkoch.de,316_6_www.chefkoch.de,316_7_www.chefkoch.de,316_8_www.chefkoch.de,316_9_www.chefkoch.de,316_10_www.chefkoch.de
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,112301.68,112767.52,115647.76000000001,104270.0,108670.26,110521.0,108146.84,20436.6,52326.40000000001,108703.86
3,157632.52,196179.2,158531.63999999998,167484.0,172396.28,130183.0,144284.36000000002,135259.4,155216.16,144140.28
4,209037.8800000001,380277.8,213587.48,224436.0,318892.72,210951.0,200795.36,173723.09999999998,196971.16,200545.16
5,400345.72,424493.76,413583.4,387016.0,401487.72000000003,326977.0,272249.48,235743.6,234962.24,204920.0
6,453141.4,739679.6000000001,452375.6,419436.0,443403.9,402541.5,402070.6,395592.0,391994.4000000001,386627.0
7,795996.5600000008,1016626.08,828061.4,536142.0,839726.7199999999,437712.0,439005.08,424720.2,419513.12,424599.2
8,999444.9200000009,1027106.04,1041606.76,1000909.0,1036465.36,796014.5,460331.68,484079.00000000006,446068.8000000001,438769.06
9,1065456.8,1067852.08,1073733.64,1028955.0,1055894.84,964016.0,949398.28,895963.2000000003,682142.16,675773.7200000001
10,1105351.8,1083037.96,1091516.1600000001,1057890.0,1081518.16,1067320.5,1049362.52,1034919.1,1016527.72,1004783.46
11,1123757.4,1119207.6,1110646.2,1098397.0,1107446.6,1075167.0,1072254.6,1109498.0,1033657.6,1044907.4
12,1159716.6,1152366.44,1134774.32,1114527.0,1128408.64,1093723.5,1092019.52,1117651.6,1044179.52,1059335.14
13,1193328.24,1147754.76,1186144.12,1128131.0,1159574.04,1100855.0,1136228.92,1131811.6,1058243.12,1099177.8800000001
14,1198825.28,1216770.72,1204169.1999999997,1158706.0,1179214.88,1120002.5,1144915.56,1143264.1,1097761.68,1114370.78
15,1256169.2400000002,1257773.12,1269244.92,1179772.0,1229475.36,1192086.0,1157817.76,1171368.4,1105482.64,1122040.96
16,1316909.0000000014,1347948.4000000001,1293766.6,1190306.0,1261014.8,1202267.0,1207522.2,1184232.0,1139325.8,1135121.0
17,1371150.76,1386877.04,1356716.32,1247329.0,1283190.4399999997,1208129.0,1210329.28,1196662.8,1159193.68,1176607.32
18,1434623.88,1465189.28,1442283.84,1264918.0,1335293.42,1249582.5,1225982.36,1194311.3,1169187.16,1183722.8399999999
19,1493409.32,1501556.2,1514592.1599999995,1273980.0,1423330.68,1284499.0,1273677.68,1246025.6,1186531.64,1224490.5999999999
20,1541246.08,1657016.5199999996,1543717.08,1385032.0,1461884.74,1350136.5,1307268.2,1283351.7,1200944.52,1251275.4400000002
21,1624693.4,1711274.8,1615895.6,1413105.0,1493368.7999999998,1413641.0,1333665.0,1290200.0,1260149.2000000002,1264534.0
22,1750776.28,1754024.5999999999,1758765.28,1466246.0,1552736.7,1468989.5,1443938.52,1303925.6,1276040.72,1296501.6000000003
23,1789664.32,1800852.92,1808890.04,1481233.0,1623148.76,1533452.0,1515884.2399999998,1324394.4,1283944.4,1403042.08
24,1817064.48,1807092.72,1881296.44,1528417.0,1751764.52,1548568.0,1532775.5200000003,1468946.9,1411540.56,1431400.56
25,1840330.96,1824665.04,1893781.48,1598062.0,1798794.6,1620114.0,1568013.679999999,1509794.2,1429611.2400000002,1446919.48
26,1872926.0,1893389.0,1933866.0,1727842.0,1806580.5,1732863.0,1740984.0,1530732.5,1470303.0,1483288.0
27,1997968.5600000008,2098520.92,1985370.88,1742626.0,1851400.88,1767075.0,1768897.92,1563613.0,1484422.52,1532095.52
28,2154874.32,2147435.04,2065874.56,1789169.0,1869677.04,1801277.0,1781401.24,1627082.5,1504239.96,1600983.44
29,2220111.4800000004,2168173.32,2325290.8,1825692.0,1987364.24,1827183.0,1800992.12,1630173.4,1595685.9200000023,1605978.24
30,2250470.08,2209313.16,2368652.12,1897381.0,2055851.78,1826907.5,1895957.52,1825768.0,1650675.68,1746104.12
31,2486398.8000000003,2236679.4000000004,2429023.4,1940425.0,2083692.8,1920280.0,1895680.4,1839532.0,1661442.6000000003,1780097.2
32,2505462.84,2304065.12,2481952.0,1962647.0,2120737.88,1933065.0,1938739.48,1845018.7,1668657.6000000003,1804108.84
33,2551682.28,2344789.48,2585466.36,2035376.0,2361999.8799999994,1977632.0,1951385.8,1883395.2,1734044.36,1802635.6
34,2549471.2800000003,2465052.08,2600385.24,2074541.0,2384275.2199999997,2063143.5,2009104.04,1905622.4,1747642.16,1842301.98
35,2644039.84,2501561.7999999993,2633288.88,2303332.0,2433303.84,2243953.0,2068250.1600000001,1956452.4,1751478.6000000006,1894706.5600000035
36,2659416.8,2541129.4,2664308.2,2386538.0,2449165.1,2339118.0,2106606.2,1997857.5,1780926.8,1917008.1
37,2720464.84,2560589.28,2670581.399999999,2427138.0,2467653.64,2347567.0,2140604.8799999994,2047207.4,1778827.96,1977997.04
38,2852477.88,2629893.88,2714319.88,2446334.0,2533512.8400000003,2384538.5,2164149.56,2270768.2,1925903.5200000003,2049288.22
39,2879458.52,2831128.3999999976,2808084.6,2583837.0,2550231.92,2423465.0,2238845.8400000003,2328635.8,2037210.76,2084897.32
40,2902628.04,3058806.6,2827469.16,2590878.0,2584094.78,2462466.5,2439459.24,2343583.8000000003,2075698.0,2105343.06
41,2955970.2,3572347.4000000013,2849111.4,2596274.0,2590155.2,2542226.0,2495040.8,2367746.0,2091036.2,2318878.1999999997
42,3192874.5600000005,4457355.559999996,2862654.28,2627227.0,2615422.7999999993,2603577.0,2607363.36,2451231.9,2111013.52,2410535.1399999997
43,3334367.08,5484372.64,2894616.039999999,2646461.0,2863524.56,2620857.0,2638419.96,2466657.4000000004,2112943.36,2450867.08
44,3345858.72,5502346.4,2950530.6,2716824.0,2880491.1,2634504.5,2640813.44,2475162.1,2130106.7600000002,2469228.48
45,3372658.56,5537336.24,2965277.92,2742572.0,2899505.24,2681741.0,2670578.44,2515360.6,2150867.72,2474096.56
46,3486855.4000000004,5605800.8,2985894.9999999986,2792482.0,2922105.3000000003,2703329.5,2729367.0,2573009.5,2154743.6,2487378.0
47,3503961.36,5630154.56,3012708.72,2812086.0,3010237.44,2717406.0,2807857.16,2635449.8,2158806.72,2502386.24
48,3528572.28,5660765.68,3039799.16,2856234.0,3059717.4799999995,2725454.5,2819903.1999999993,2668188.8,2213256.48,2558094.3
49,3537143.2,5679837.28,3053922.6,2898614.0,3089532.08,2743463.0,2837249.76,2682995.600000001,2222246.56,2560254.92
50,3557355.08,5696842.08,3069468.12,2926951.0,3119920.8,2759620.0,2851041.48,2690889.8,2233820.96,2585993.64
