index,318_1_derbiokoch.de,318_2_derbiokoch.de,318_3_derbiokoch.de,318_4_derbiokoch.de,318_5_derbiokoch.de,318_6_derbiokoch.de,318_7_derbiokoch.de,318_8_derbiokoch.de,318_9_derbiokoch.de,318_10_derbiokoch.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3965.88,4035.0,3779.3399999999997,3638.1,3715.14,3931.3199999999997,3586.56,4036.72,3599.52,4040.16
3,4865.480000000002,6795.0,6277.92,6193.4,6181.36,6274.720000000004,5788.88,4682.28,5746.96,4402.12
4,27102.08,13042.0,26236.62,26313.6,25955.64,26698.44,25800.56,9587.139999999998,25700.52,21632.66
5,23936.92,15893.0,23092.16,23068.4,22994.52,23113.879999999997,22547.08,24592.44,25120.64,20459.24
6,24416.800000000007,33222.0,20206.399999999994,25575.5,27232.999999999978,20790.399999999994,21872.4,21752.3,22079.800000000003,17606.3
7,36947.16,30375.0,35589.88,35837.399999999994,40522.360000000015,35226.16000000001,37134.28,21833.719999999987,27332.72,21848.64
8,37053.92,42718.0,41102.42,45790.7,45169.979999999996,41383.72,40896.08,37266.76,33148.840000000004,36943.28
9,48938.12,44013.0,46997.68,52875.799999999996,45023.12,48067.72,54119.12,41153.36,41394.84,41266.52
10,52408.24,47198.0,55462.06,62650.9,60275.44,50437.88,60644.24,56645.76000000001,41590.04,49332.34
11,58834.6,54070.0,55535.0,64272.0,59419.4,54310.4,60838.6,59520.200000000004,44272.200000000004,55360.6
12,66668.56,63735.0,60073.54,100987.2,68193.24,55363.72,61305.24,58087.62,57831.639999999985,59861.600000000006
13,104737.24000000003,71697.0,62102.80000000001,120191.2,69085.84,69701.24,62693.88,66687.92,70778.79999999999,63961.520000000004
14,161421.32,75661.0,69736.52,120869.3,100543.4800000002,103086.48000000007,65788.84,97052.6,130546.20000000001,118807.15999999997
15,185823.6000000001,105143.0,102986.91999999998,121671.0,176453.04000000004,155991.95999999996,71074.04,100371.12,169906.3199999999,156740.44
16,219000.19999999998,135478.0,171746.0000000001,131132.0,219507.0,191359.2,115440.6,121407.3,203127.79999999993,180293.79999999996
17,259938.36,179645.0,217755.72,216480.8,224495.16,220582.36,189706.83999999994,174522.0800000001,212941.08,199906.63999999998
18,263130.88,183104.0,219490.52000000002,219957.1,224373.72,249366.48,219310.04,205600.24,222186.04,220563.76
19,265020.4,193619.0,251262.4400000001,257815.19999999998,245652.59999999998,253980.24000000005,220257.52,223786.6,252137.16,234651.08
20,270650.84,229633.0,260992.32,263667.1,267842.80000000005,270202.84,252665.83999999994,237567.14,266785.92,263894.1
21,272891.80000000005,265712.0,264338.19999999995,272282.0,271229.2,274937.6,269148.39999999997,238908.4,274540.39999999997,270512.6
22,279428.76,271683.0,272149.76,272877.1,280201.14,271369.84,272012.92,267963.8,276180.56,270133.18
23,280661.32,275145.0,269555.16,273154.2,278846.31999999995,274647.16000000003,272985.92,275773.08,277594.83999999997,272495.88
24,284502.52,282379.0,272476.06,284505.3,287910.5,279276.64,276336.72,276309.72,282689.76,274935.38
25,283037.8,282420.0,277898.16,283793.2,294850.24,287513.04,282375.56,274122.48,287685.08,283402.24
26,289042.0,283067.0,282400.5,285965.5,343816.0,286125.0,285793.0,282683.5,310915.0,284868.5
27,334330.44,286927.0,290045.20000000007,291073.6,346843.16,294724.96,314277.3600000001,291177.48,386508.88,288825.8
28,339032.16000000003,294792.0,363013.86,324618.7,349222.06,348712.2800000001,407416.08,290993.96,392434.88,304124.62
29,411360.52,300724.0,361234.04,365475.6,347418.84,368040.12,408752.4,289410.24,410867.12,346232.16
30,466561.04000000004,302671.0,362174.4400000002,363948.0,358920.42,453313.80000000005,408209.44,292228.92,417114.48,379405.76
31,554751.6000000007,311499.0,401642.80000000005,361778.0,387019.8,478638.80000000005,448257.1999999999,322425.0000000001,448290.6,447525.19999999984
32,619219.84,353405.0,409979.88,378263.1000000001,412122.26,572816.24,489358.9599999995,371015.98,496704.31999999954,506213.9999999999
33,637835.8,423846.0,419308.4000000001,455975.0000000002,506644.16000000003,643644.08,594946.4799999999,415867.64,588053.1599999999,610421.0799999998
34,719717.88,509267.0,435246.4000000001,595189.6,622254.8400000004,719605.8,680344.12,486417.68000000046,687420.5199999999,679230.96
35,721769.16,628234.0,570728.4800000006,746012.8000000002,727305.64,784153.6400000005,739702.32,540240.36,741270.0399999993,767842.08
36,725394.4,707049.0,670156.8000000004,872143.0,920214.6,846393.8000000002,753469.4,628699.2000000002,836535.5999999994,873141.6999999997
37,725763.16,836921.0,790579.3600000009,976689.9999999998,1043523.08,951675.6000000001,769087.84,714521.4400000001,878137.24,960224.1599999999
38,759147.4000000001,950579.0,972244.7599999999,1032144.7,1061917.3199999998,1033482.56,776919.68,804950.5599999998,880134.76,1031969.72
39,804698.84,977741.0,1034669.92,1035027.2000000001,1066009.28,1042746.92,781132.7999999999,922937.52,971168.5599999994,1029052.28
