index,31_1_www.spiegel.de,31_2_www.spiegel.de,31_3_www.spiegel.de,31_4_www.spiegel.de,31_5_www.spiegel.de,31_6_www.spiegel.de,31_7_www.spiegel.de,31_8_www.spiegel.de,31_9_www.spiegel.de,31_10_www.spiegel.de
1,0.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2,59336.14,61824.34,57031.0,45294.18,42548.59999999999,16481.800000000003,15182.96,16880.999999999996,12380.119999999999,58633.6
3,171299.23999999987,429661.16,200955.0,184322.08000000002,164751.16,119571.56,68639.28,76773.4,59031.240000000034,239354.40000000008
4,446826.12,538902.66,440616.0,485474.38,430330.44,442278.88,166436.52000000025,379252.99999999977,255187.55999999985,451305.00000000006
5,541435.6,900840.4,664635.0,573216.48,515110.04,540387.96,437776.12,499186.8,442515.64,541380.8
6,730012.9999999999,1108151.7999999998,775521.0,789188.3999999997,662885.1,681835.8,459574.3,592256.0,492446.4,808096.0
7,1004853.8,1130402.04,1026308.0,1080425.6,849242.16,922107.92,556887.12,890246.3999999999,603461.5599999999,1106866.2000000002
8,1117795.86,1231834.02,1120238.0,1116165.22,1087328.5599999996,1113878.92,724970.4000000003,1106895.4,770770.8,1121140.1
9,1181051.12,1281163.88,1133039.0,1134669.96,1113407.96,1125253.92,881545.64,1117789.0,952864.2400000001,1183842.0
10,1203560.5999999999,1333314.64,1205618.0,1216185.4,1129350.3,1188560.04,1082401.82,1132719.7999999998,1100849.12,1241100.3
11,1262042.9999999998,1414426.4,1261125.0,1265154.0,1204522.8,1243412.6,1118372.8,1206026.0,1121503.0,1280311.0
12,1320476.28,1450930.74,1318050.0,1320528.56,1252885.38,1277475.84,1133808.6799999997,1256098.8,1130097.32,1323071.2
13,1364331.96,1517274.1199999999,1394135.0,1388614.48,1308625.24,1319447.32,1189524.6,1311666.8,1193731.64,1395454.6
14,1416970.04,1507867.52,1419576.0,1419963.74,1342243.44,1374590.88,1209789.48,1358349.6,1245925.96,1417685.4
15,1440771.72,1589033.1199999999,1448527.0,1445483.24,1411662.76,1424905.84,1237754.4000000004,1396116.8,1262321.6,1445588.4000000001
16,1496495.7,1735189.1,1474449.0,1486903.4,1436036.3,1448836.4,1283612.0,1437088.0,1291802.6,1498148.0
17,1509421.44,1812062.44,1526878.0,1522114.08,1453474.28,1483918.04,1318641.8,1462100.2,1336317.24,1517332.4
18,1502499.66,1826831.64,1523302.0,1514301.74,1490918.36,1504366.52,1353328.02,1498985.8,1394232.64,1521903.1
19,1577825.76,1856299.44,1524489.0,1546997.7999999998,1518753.68,1511765.56,1369860.96,1517787.4,1410889.9600000002,1553666.2
20,1693159.6600000001,1904991.319999998,1595735.0,1688229.4,1513340.28,1515941.8800000001,1409071.16,1507801.8,1427771.48,1641036.7
21,1722290.0,1968757.2000000002,1790892.0,1802836.8,1516381.2,1550040.8,1446158.6,1520025.0,1446751.5999999999,1818705.0
22,1828224.7599999998,2292540.28,1838087.0,1840730.02,1643542.68,1702557.4,1467121.9,1620408.0,1480998.1199999999,1843618.3
23,1846044.16,2317605.32,1849090.0,1856976.92,1675133.92,1786772.28,1497453.32,1703627.4,1514918.36,1862588.0
24,1861860.5999999999,2332484.32,1864024.0,1876763.3,1778638.26,1832366.52,1503457.78,1796836.4,1532585.0400000003,1871704.9
25,1878712.92,2384412.52,1888270.0,1913241.04,1826276.48,1843341.04,1526384.2400000005,1827204.8,1533144.08,1894764.4000000001
26,1951294.5,2417467.5,1972184.0,1924377.5,1840346.0,1852663.0,1597590.5,1845006.0,1548042.0,1916771.5
27,2223027.32,2449332.04,1997639.0,1935962.28,1985907.68,1859610.16,1629035.68,1849815.4000000001,1619366.4000000001,1937594.0
28,2283880.46,2604065.58,2106191.0,1997945.46,2116668.0199999996,1888693.8800000001,1633960.62,1874488.4,1650622.36,2033797.1
