index,325_1_www.tagesschau.de,325_2_www.tagesschau.de,325_3_www.tagesschau.de,325_4_www.tagesschau.de,325_5_www.tagesschau.de,325_6_www.tagesschau.de,325_7_www.tagesschau.de,325_8_www.tagesschau.de,325_9_www.tagesschau.de,325_10_www.tagesschau.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1451.4199999999996,1469.52,1113.7999999999981,1511.76,2479.9999999999986,3385.499999999999,1074.1200000000001,1128.02,1197.199999999999,1505.3200000000004
3,4108.32,3564.96,5380.56,3973.919999999999,5103.200000000001,5564.399999999997,5224.96,5185.96,5524.36,4300.079999999999
4,5682.560000000009,4910.5199999999995,6195.48,4285.92,8524.900000000001,6150.599999999997,6127.84,6494.0599999999995,6205.44,4727.759999999998
5,8395.52,8405.08,7696.5599999999995,8337.44,15435.999999999995,11299.999999999995,7950.88,9499.16,7828.280000000002,8088.92
6,18190.2,7953.4,13775.399999999985,8972.999999999995,30576.0,28454.5,17888.0,11582.600000000004,18937.999999999993,17989.2
7,29080.400000000016,17863.28,23588.679999999935,19961.119999999955,34792.600000000006,34771.4,35252.48,15611.119999999999,34778.04,35422.64
8,35322.72,35473.12,43017.28,34458.48,35257.1,39402.29999999999,33253.92,25515.200000000004,36435.43999999997,33438.159999999996
9,33360.68,34164.319999999985,40306.68,37689.11999999997,41717.4,54713.599999999984,38987.92,43401.72,44418.359999999986,37073.359999999986
10,39549.68000000001,52467.08,59811.96000000001,52004.64,56238.99999999999,60189.99999999998,50482.8,41213.840000000004,44572.84,41309.32
11,41562.8,65362.8,66535.39999999998,58229.6,68485.0,69445.0,52734.2,47080.8,67428.8,53494.200000000004
12,46161.80000000001,67348.72,69881.76,69393.59999999992,70109.1,76793.3,69376.31999999999,70052.92000000003,72853.15999999995,69832.12
13,59054.40000000002,82126.28000000001,84201.2399999999,85322.2,94980.99999999997,89488.20000000001,68797.2,76616.36,103515.88,84335.44
14,81795.80000000019,95576.79999999999,110725.48,95783.88,113687.89999999998,160884.5,82072.20000000001,92542.06,105827.72,101326.12
15,113818.40000000018,94940.68,109788.92,100976.95999999999,149831.59999999992,183109.99999999997,103415.84,102816.52,122534.32,112523.39999999989
16,175426.00000000003,104070.2,129105.59999999998,107604.8,189276.0,211181.0,135753.40000000002,109371.9,183285.19999999998,150169.99999999997
17,191873.47999999998,134421.63999999998,157937.5599999999,136407.59999999998,204037.79999999993,235587.59999999998,172521.56,119906.44000000006,232664.31999999998,196375.39999999997
18,226985.68,149017.24000000002,213185.52000000002,178441.40000000002,233400.49999999997,250109.69999999978,209663.91999999995,172550.8,268751.0399999999,201684.56
19,242251.2,162757.76,244972.23999999982,197722.19999999998,242644.0,286913.6,241108.32,206893.55999999997,294868.0,214012.19999999998
20,272916.5,199270.4,252002.44,213469.39999999997,259002.5999999999,304018.0,261680.11999999997,241650.25999999998,334464.72000000003,246448.23999999993
21,317869.60000000003,212860.0,280946.39999999997,249947.2,292663.0,317983.0,291584.8,271303.2,349233.7999999997,290445.19999999984
22,323470.66000000003,242819.8,310562.27999999985,269135.64,317303.0,357875.5,315745.2,280055.42,393781.19999999995,295770.19999999995
23,357085.92000000004,258747.19999999998,324719.44,295361.24,377623.99999999994,361156.39999999973,341148.76000000007,309335.5200000001,427783.72,332702.3199999999
24,400013.94,268689.4,357833.51999999996,313820.27999999985,389844.6,414419.49999999994,358757.84,331765.6400000001,479367.95999999996,376339.24
25,403660.12,295315.27999999997,385928.0,334563.1599999999,408071.9999999999,431143.20000000007,363586.3599999999,350646.6,528578.2,406611.6
26,434404.0000000002,305677.0,445124.99999999994,359975.0,438168.0,505069.0,396060.0,386703.5,538978.9999999999,417754.99999999994
27,465956.4,337235.3999999999,484395.39999999997,414684.27999999997,472238.8,534081.9999999999,428288.4,393408.31999999995,567119.96,462853.39999999985
28,507177.80000000005,372577.75999999995,511842.72000000003,459301.19999999995,492635.49999999994,571739.1,465000.79999999993,441589.8199999999,624073.4399999992,515325.72
29,540292.0800000002,374242.56,543897.7200000001,467411.6,524450.7999999999,608590.8,498453.48,476382.1600000001,656597.9199999999,531397.2
30,570137.6,398070.96,591892.1199999998,486750.8,553720.5999999997,658044.9,553309.48,496702.3600000001,694460.8799999994,543975.36
31,625668.2000000001,433935.0,623131.0,499398.0,593439.0,692281.0,582207.2000000002,545583.8,740900.9999999999,572395.7999999997
32,633862.36,476980.16,658759.5599999998,551253.0799999997,611665.6,714424.9,610169.4399999998,581394.6400000001,772171.52,594149.8399999999
33,654156.4,515625.44,686639.5599999999,575964.3999999999,653375.0,731622.0,620409.4,605221.52,796327.7999999999,620563.84
34,711451.5600000008,538513.5200000001,715312.12,578431.52,660540.9,756401.5,659722.6,619700.34,814141.2,631065.56
35,787817.8,571128.6400000001,746193.7200000001,612980.92,667290.9999999999,785231.5999999997,673438.7999999999,639569.24,845182.52,658082.6
36,789365.2999999999,592161.0,772296.0,621594.8,681793.5,808556.0,691918.3999999999,656214.6,850317.6,673182.0
37,802795.0800000001,623753.52,799037.7999999999,641210.36,702650.0,838126.8,717369.04,691255.2,878890.6399999999,688871.0
38,832027.8800000002,665535.28,854254.96,653737.2,731618.5,847342.0,767297.8400000001,705073.3200000001,908762.6,704838.88
39,853954.88,700092.6,864341.72,677831.6399999999,776193.5999999999,886920.7999999999,798233.56,728287.6,951949.6,729395.8799999999
40,890528.3,725106.84,912710.5599999998,692344.84,807608.3999999999,913665.2999999998,821926.5599999999,757132.7600000001,983684.7999999999,742704.1200000001
41,920206.2000000001,751053.7999999999,958286.9999999998,714269.0,831339.0,931167.0,851374.4,770748.4,1010816.9999999999,749029.3999999999
42,965190.2200000002,781319.6,1006985.88,732285.5599999998,851285.6,939141.5,876128.3999999999,779346.88,1029248.3200000001,755085.56
43,1017311.88,784602.5599999999,1057326.64,761958.24,883144.0,960798.0,915910.4799999999,816654.64,1066548.4,794592.3999999999
44,1081980.3,794120.7999999999,1090204.9999999998,784763.8,929407.9999999999,996886.5,966270.6,875473.6799999999,1109250.9999999998,818691.4
45,1112245.32,808547.3999999999,1120544.24,802872.1599999999,961284.6000000001,1010614.9999999999,993686.92,919149.9200000003,1131032.28,833665.8
46,1115425.0,844704.4,1126214.9999999998,841442.3999999999,979204.4999999999,1031914.0,1020161.3999999999,940540.0000000001,1135148.8,862097.1999999998
47,1130925.12,854443.28,1137090.12,854439.6799999995,1012529.0,1064089.1999999997,1065658.68,959588.4400000002,1136375.08,906803.2
48,1134903.9,915097.8000000002,1143508.76,893615.4400000001,1039703.2,1076584.4,1091589.4,977371.34,1140192.4,926264.24
49,1137600.44,952562.88,1150112.72,927935.44,1055365.0,1099357.1999999995,1113705.4399999997,1021496.5200000001,1144907.76,954173.48
50,1137448.28,1007915.04,1155366.72,948544.0399999999,1064402.5,1125783.2999999998,1129561.28,1076380.6,1146217.88,977879.2399999999
