index,326_1_www.wetteronline.de,326_2_www.wetteronline.de,326_3_www.wetteronline.de,326_4_www.wetteronline.de,326_5_www.wetteronline.de,326_6_www.wetteronline.de,326_7_www.wetteronline.de,326_8_www.wetteronline.de,326_9_www.wetteronline.de,326_10_www.wetteronline.de
1,-114.0,-442.0,-442.0,-122.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,79485.32,78507.38,84632.56,66372.43999999994,80564.42,73747.79999999999,61332.56,82794.32,85258.81999999999,78279.66
3,118789.15999999995,116824.44,253326.32,105666.52,247158.52000000002,184728.39999999994,93738.12,431707.68,224218.3599999999,160109.96
4,382163.55999999994,497505.06,536439.6000000002,213835.28,518555.3,513185.39999999997,223054.00000000006,682383.24,469643.24,523996.1199999997
5,494604.96,622017.52,704793.8,414688.07999999996,717726.48,689077.8,516566.64,932365.0,661369.32,734572.4000000001
6,619803.5999999999,720084.0,792429.2,568819.0,811290.9,817896.0,702538.0,1144185.8,919007.3000000002,1045609.2000000001
7,947984.1199999999,934271.96,1071910.9200000002,770489.3999999999,940107.2000000001,1165262.2,731296.3200000001,1391778.4400000004,1341499.0,1397155.8800000001
8,1178476.64,1127323.68,1386168.52,1021713.72,1177219.84,1453239.6,772099.92,1618330.5999999999,1783318.88,1643036.96
9,1292476.12,1435460.56,1823700.72,1261082.72,1644474.2000000002,1652621.6,988865.64,1892297.68,1901540.5599999998,1768106.08
10,1475530.86,1820186.08,2251105.96,1511123.8,2020520.6,1836915.1999999997,1174866.46,2152759.72,1957285.82,1935808.8800000001
11,1683963.5999999994,2070174.0000000007,2566809.0,1754919.2,2188468.2,2024454.0,1436015.0000000002,2226675.2,2075719.2000000002,2175652.8
12,1927542.9,2199784.9,2919126.88,1989481.24,2273004.36,2242845.2,1842226.34,2299819.84,2082323.96,2245879.18
13,2209474.68,2258106.44,3150256.48,2149136.36,2334928.04,2286532.8,1963942.24,2360594.6,2126122.36,2276499.28
14,2239786.1399999997,2300838.58,3257742.32,2269266.1999999997,2407724.56,2374477.6,2039327.22,2539822.2,2289189.48,2354041.4000000004
15,2613485.6,2374922.76,3290221.96,2288241.36,2637172.52,2388597.2,2115515.52,2939515.079999999,2706469.5599999996,2415433.6
16,2950564.9,2398223.4,3531596.0,2328265.4,2917072.600000001,2458101.0,2130893.0,3211646.2,3070772.7,2775280.8000000003
17,3329166.88,2627031.84,3642509.8,2353939.16,3086912.92,2599408.8,2157646.6,3398293.72,3201641.04,2860063.04
18,3365644.38,2827445.48,3759645.6,2385464.5999999996,3421654.92,2826166.4,2268045.48,3448059.4,3284087.86,3183888.48
19,3391056.52,2986062.6000000015,3916016.72,2652471.52,3467284.84,3120369.8,2553582.88,3481719.16,3421776.2,3388413.48
20,3422311.84,3105420.08,4119086.32,2801639.56,3492612.76,3203496.4,2751587.8800000004,3549206.28,3457698.68,3479110.86
21,3573325.5999999978,3450293.2,4193467.0000000005,2874217.1999999993,3523983.4,3407058.0,3076635.0,3567468.2,3528454.4,3550213.2
22,3656502.6199999996,3468669.64,4256113.8,3011361.88,3605801.7,3543507.6,3215809.74,3636354.56,3534197.7399999998,3611144.36
23,3777152.6,3514585.48,4314964.12,3253030.44,3681405.48,3675567.4,3234474.76,3683932.24,3594759.96,3654544.7600000002
24,3804140.36,3578567.02,4354887.16,3461479.96,3677392.76,3791367.4,3270573.08,3725776.88,3658804.92,3765573.7399999998
25,3893144.7999999966,3598119.4,4414044.44,3629344.999999998,3808092.52,3817519.0,3287475.84,3813500.68,3900849.3600000003,3774876.64
26,3923524.0,3745346.5,4445522.0,3794130.0,3923775.5,3896482.0,3339300.5,3936145.0,4112035.0,3841028.5
27,4064102.64,3815521.680000002,4519514.08,3812823.24,3977074.48,3928378.0,3420164.76,3979193.44,4264293.08,3870422.84
28,4113582.64,3850853.38,4560684.12,3857016.52,4015210.8000000003,4058683.4,3609834.34,4036964.2,4297233.14,3891658.38
29,4197516.96,3949301.48,4589494.56,3913523.1199999996,4124993.7600000002,4113000.8000000003,3762250.68,4105340.24,4520015.52,3955403.12
30,4294687.94,3968347.34,4614617.24,4009110.4,4188449.3,4130312.2,3924371.0200000023,4217028.12,4732429.28,3950620.48
31,4408470.8,4010412.9999999995,4643886.8,4070305.8,4272030.6,4164216.0,4069343.2,4277503.6,4814183.4,4120452.4
