index,330_1_www.wetter.com,330_2_www.wetter.com,330_3_www.wetter.com,330_4_www.wetter.com,330_5_www.wetter.com,330_6_www.wetter.com,330_7_www.wetter.com,330_8_www.wetter.com,330_9_www.wetter.com,330_10_www.wetter.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,392320.02,371740.9200000003,464071.2,177500.0,629963.98,179607.84,173130.2,180876.9,939091.7999999999,846002.88
3,1054910.84,653360.0800000001,720611.6,226905.0,1078934.04,215838.04,209737.8,200472.6,1393299.48,1221933.3999999997
4,1238605.46,773622.5600000002,949223.8000000002,447326.0,1370218.04,414601.08,394433.39999999997,389251.2,1692000.76,1799198.92
5,1405494.2,986885.64,1071837.2,681429.0,1603583.0,755885.28,714874.6000000003,656046.2000000001,2079609.48,1979195.76
6,1500856.1,1254045.5999999999,1224632.0,919755.0,1792968.9,868016.3999999999,832508.0,808881.5,2758891.4,2351650.4
7,1751464.56,1395756.48,1323831.6000000003,1066924.0,1957070.68,969340.12,954198.4000000003,926601.8,3455461.7199999993,2748683.12
8,1862955.68,1540885.8000000003,1633679.6000000008,1127423.0,2388555.56,1058591.64,1082659.0999999999,1080301.2,4075685.54,3041911.68
9,1998543.04,1605315.76,1723947.4000000004,1197601.0,2603398.8,1106000.48,1105527.0,1102541.6,4267035.759999999,3429746.12
10,2146400.4400000004,1889593.2400000044,2294792.0,1326522.0,2755316.92,1263010.16,1146159.8,1247879.2,4521649.3,3790770.16
11,2574264.6,1959498.2,2424193.0,1390240.0,3192568.399999999,1322520.8,1171266.0,1283829.0,4934712.2,4425566.4
12,2714785.28,2232303.4000000004,2521353.600000001,1437497.0,3858913.12,1386696.76,1353654.8000000012,1322420.2,5496467.2,4813157.04
13,3252224.96,2262322.36,3371253.0000000037,1490550.0,4211260.68,1414434.2,1385058.5999999999,1346232.5999999999,5714029.680000001,4950199.880000001
14,3404965.06,2468889.64,3785448.2,1536500.0,4422692.18,1503565.6,1460080.3,1401236.6000000003,5974197.220000001,5097339.24
15,3533410.16,2501058.2800000003,3868911.0,1563500.0,4510835.36,1582380.32,1504615.6000000003,1503534.2,6151212.680000001,5295289.84
16,3658481.5,2606023.2,4008835.0,1636961.0,4649590.999999999,1603321.1999999995,1530993.5,1523297.0,6353806.100000001,5527121.8
17,3936316.04,2830640.6,4346412.6,1652594.0,5160076.28,1642857.92,1544751.6,1549577.2000000002,6479693.92,5771108.64
18,4418657.86,3234908.9600000004,4539010.3999999985,1697579.0,5252035.88,1643583.8,1590385.2999999998,1597712.1,6587904.54,6256392.84
19,4661610.12,3436382.6000000015,4656392.4,1730887.0,5331027.88,1665792.84,1638873.2000000002,1702987.2,6677985.12,6436524.2
20,5017973.559999999,3719345.68,4763270.8,1789268.0,5593023.98,1675427.28,1685661.6,1723859.8,6877826.64,6629248.64
21,5113622.2,3824615.6,4857950.0,1820580.0,5687079.600000001,1690072.5999999999,1738624.0,1771231.0,7003962.6,6700949.2
22,5167216.4,3882683.12,4945423.4,1889595.0,5815339.44,1749913.8,1771761.0000000002,1832491.6,7060054.399999999,6814327.92
23,5395032.4,4224269.36,5041886.8,2096598.0,5913920.24,1878311.44,1815423.0000000005,1884915.2,7278624.6,6886164.32
24,5441770.02,4307292.12,5164875.2,2333358.0,6121889.38,1903498.76,1826050.7,1966072.4,7417252.8,7080070.28
25,5564746.36,4375801.480000001,5309627.399999999,2345430.0,6183941.000000002,2109560.88,1940096.2,2120018.2,7531775.4399999995,7214012.96
26,5624287.0,4564059.0,5453442.000000001,2389466.0,6247668.5,2130771.0,2126492.0,2186463.0,7876993.0,7406643.0
27,5698241.84,4622009.840000008,5550245.2,2590476.0,6353361.36,2193004.84,2374299.000000001,2306520.2,8187012.440000002,7807432.64
28,5810158.58,4734131.88,5614432.8,2614940.0,6478753.600000001,2278657.0799999977,2477736.5,2364271.3,8468939.16,8111964.639999994
