index,335_1_prezi.com,335_2_prezi.com,335_3_prezi.com,335_4_prezi.com,335_5_prezi.com,335_6_prezi.com,335_7_prezi.com,335_8_prezi.com,335_9_prezi.com,335_10_prezi.com
1,-442.0,-2205.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0
2,8411.08,7586.5,8583.36,7600.62,13547.840000000004,8384.6,8220.9,8392.52,5919.76,5822.599999999999
3,30379.16,26022.039999999994,32444.92,27116.8,40157.44,28574.600000000002,28649.6,29849.16000000001,27893.52,26120.200000000008
4,44075.08,38145.84,57840.88,52248.22,65033.38,49997.999999999956,53704.500000000044,46220.2,39009.6,44112.10000000004
5,66488.80000000002,96610.84,57165.84,62015.48,119569.84,62191.599999999984,57346.4,60950.48,163846.96,57599.2
6,83862.40000000001,101758.9,66333.2,62994.9,149204.00000000003,65937.0,75916.5,75091.4,207294.59999999998,63947.0
7,111884.40000000001,117170.64,106329.24,113488.68000000002,173533.07999999996,101216.99999999996,116437.00000000003,89197.48,216096.92,116221.80000000006
8,189047.64,153989.96,166941.40000000005,197473.40000000026,363842.62,138989.6,283384.60000000003,222001.84000000014,224625.80000000002,179811.6
9,351508.7600000001,197149.6,284198.04000000004,330461.88000000006,549889.16,210465.4,403385.6,350955.96,435901.2,305539.80000000005
10,471349.8,294727.60000000003,388667.92,381209.95999999996,746726.8,408242.2,518766.0,517749.2,660282.6799999999,492285.50000000035
11,663129.4,460986.4,493612.00000000006,485857.4,886011.4,537860.0,584232.0,678050.8,762370.2,704596.0
12,791245.6,623963.2799999996,612084.88,598360.4400000001,1033077.9,758249.3999999999,668062.5,812415.6,896154.84,778106.3
13,860654.76,829372.7999999999,769429.2,792122.6,1076335.88,844909.6,844654.4000000001,830344.44,937954.56,907250.6000000001
14,930655.6000000001,933670.26,872333.1200000001,848917.98,1263486.7,881825.8,978544.5,897534.5600000003,977109.16,1066360.8
15,1056761.08,1052684.32,1025600.0400000002,854381.12,1367402.36,1024945.7999999999,1068538.2000000002,1047162.32,987893.68,1111191.2000000007
16,1110438.200000001,1190199.1999999997,1074105.8,881022.5000000001,1376100.1,1088162.0,1138223.0,1055550.0000000002,1040259.3999999999,1208165.5
17,1299092.36,1317157.24,1083787.36,1011200.68,1415694.8,1116462.2,1278293.8,1084051.5600000005,1076566.6,1339251.2
18,1353148.84,1347062.26,1152345.5200000003,1102140.1,1448661.08,1298296.5999999994,1322174.3,1209247.0000000002,1290838.6000000008,1341455.7
19,1355314.76,1357885.2400000002,1253963.48,1256494.68,1494387.12,1360564.4000000001,1330257.8,1285785.4400000002,1367633.04,1355741.0000000002
20,1370037.64,1374061.68,1325007.52,1351196.76,1560722.1,1379593.8,1369600.2,1339561.0,1373671.08,1397193.0
21,1411204.0000000002,1407118.6,1366774.0,1358950.4,1598964.2,1401342.0,1372573.0,1356722.4,1402761.0,1421182.0
22,1434835.2,1426270.98,1380540.48,1367203.02,1629356.66,1418948.6,1414205.7,1381176.6,1439764.24,1438070.6
23,1447583.28,1449184.2799999996,1395618.4,1401317.6400000001,1703866.0,1437255.0,1417848.2,1406798.2,1448236.64,1486232.6
24,1495782.0400000003,1523142.46,1429238.2,1418157.32,1734780.5,1450328.6,1515730.7,1423691.96,1496907.1600000001,1535843.4
25,1547422.56,1566677.6,1450301.16,1445956.96,1753257.24,1519705.2,1548842.4,1435713.48,1560193.8800000001,1572377.4
26,1551511.000000001,1601212.0,1517187.0,1476279.0,1758359.0,1554988.0,1553258.5,1509490.0,1567507.0,1582337.0
27,1595175.64,1641324.52,1558841.36,1531644.9999999998,1773602.24,1577662.4,1567588.6,1540191.0799999998,1607749.8,1617490.2000000002
28,1618209.72,1647547.06,1587653.88,1552358.42,1849040.22,1613307.8,1620912.3,1577714.04,1631403.88,1669645.0
29,1661066.16,1705491.6,1598613.96,1571450.88,1870042.84,1727800.1999999988,1675496.2,1604544.48,1687776.7200000004,1717575.4000000004
30,1709038.8000000005,1760251.58,1680600.12,1608739.16,1882574.1,1784827.9999999986,1696128.8000000005,1646054.52,1721977.12,1727678.8
31,1761151.6,1769791.4,1736817.0,1653909.6000000003,1891376.4,1798659.0,1801814.0,1698719.4,1722670.4,1734998.0
32,1772478.92,1768706.32,1749183.76,1669407.68,1964821.6400000008,1808499.4,1834671.4,1726947.72,1725030.4000000001,1734904.4
33,1779553.96,1771519.64,1749249.72,1674088.56,2031929.2,1824926.0,1831881.8,1729635.16,1737114.84,1747435.0
34,1781433.76,1784585.92,1751377.8,1703835.0,2034248.08,1876981.0,1830159.3,1732019.8000000003,1763374.96,1758522.1
35,1806543.76,1799018.2,1763019.24,1786048.6399999997,2044722.5200000003,1888601.4,1844740.6,1748598.08,1772508.76,1775541.4
36,1811707.8,1807793.2,1767834.8,1844961.7999999998,2057118.3,1895238.0,1859844.5,1753187.0,1787919.0,1820343.5
37,1817176.1199999999,1846342.6400000001,1778228.28,1846551.36,2068235.28,1971229.6,1861308.2,1803102.68,1785004.24,1860237.2
38,1841681.4,1885762.0799999994,1810047.0399999998,1854196.4,2078973.8399999999,1988297.2,1896907.2,1851230.56,1877733.1999999988,1867511.3
39,1905858.3599999999,1906725.52,1843536.68,1872409.2400000002,2094846.52,1993307.4,1949640.2,1858513.76,1947594.3200000005,1869412.2
40,1914192.16,1954957.7,1869158.08,1907769.1400000001,2243036.2800000003,2003359.6,1967723.6,1863766.76,2003294.64,1876574.2
41,1919920.8,1995928.1999999997,1887862.0000000002,1975743.0,2447743.6,2019870.0,1969531.0,1877753.8,2013298.0,1892145.0
42,1936988.44,2043609.04,1950505.92,2006687.18,2458424.86,2024702.5999999996,1984204.4,1878762.68,2027875.4000000001,1916739.7
43,1967052.84,2045266.64,1994395.9999999995,2017205.92,2477493.480000001,2029810.2,1996685.8,1996844.44,2043902.8,2016425.6
44,2060037.48,2049582.06,2025794.24,2020883.34,2491166.7399999998,2040217.4,2002517.3,2004472.08,2049001.8,2026263.1
45,2071485.16,2059211.0799999998,2037145.64,2030155.68,2506221.92,2043935.6,2007424.8,2018278.96,2057443.32,2031658.6
46,2078227.8,2070580.7,2046489.2,2040524.4000000001,2514493.2,2050042.0,2014895.5,2024354.4000000001,2068293.2,2044399.0
47,2086774.68,2083143.0,2057675.64,2054512.88,2532509.04,2062442.6,2025109.2000000002,2035203.4,2074077.8,2052226.2
48,2097250.6,2090538.94,2065588.16,2064479.34,2544794.82,2067639.0,2029258.7,2039657.44,2082079.8,2060606.8
49,2103497.04,2097725.12,2074556.32,2071882.76,2552814.52,2074339.2000000002,2036230.2,2049949.8400000005,2091916.44,2063169.8
50,2103989.48,2115573.72,2079079.04,2082093.56,2554954.26,2106896.8,2044119.2,2056793.8399999999,2094927.68,2083967.4
