index,338_1_www.mindmeister.com,338_2_www.mindmeister.com,338_3_www.mindmeister.com,338_4_www.mindmeister.com,338_5_www.mindmeister.com,338_6_www.mindmeister.com,338_7_www.mindmeister.com,338_8_www.mindmeister.com,338_9_www.mindmeister.com,338_10_www.mindmeister.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,5204.44,4112.56,3692.639999999999,4131.64,5222.62,4912.92,5070.76,3587.64,4680.56,3560.64
3,12750.600000000008,8406.64,7476.679999999993,8229.199999999999,12303.800000000001,10948.999999999993,15668.88,7637.879999999999,15402.720000000001,7762.879999999999
4,42536.68,28768.52000000001,15639.28,15953.92,42488.1,40567.03999999997,41964.219999999994,15596.28,43210.96,13574.44
5,41142.32,41295.44,42682.96,32755.52,43882.24,43752.32,40226.72,41071.52,44511.32,42838.44
6,48495.799999999996,40653.600000000006,39698.600000000006,44445.799999999996,46452.49999999999,47073.799999999996,52592.99999999999,43813.1,53207.4,42602.8
7,60355.32,48556.12,43851.32,47259.2,59428.88,53604.47999999999,60043.280000000006,46898.04,65225.92,41874.639999999985
8,61684.799999999996,57744.04000000001,50450.68,58807.12,65820.08,76113.68,105296.90000000001,51578.02,93611.16,53249.07999999999
9,106788.24,64170.76,55234.68,58465.04,108085.2,100439.72,120995.04000000001,56663.08,108974.36,57711.88
10,124828.95999999999,107721.12000000001,58765.76,62504.76,120426.48,117877.68000000001,125561.62,64744.56,124951.39999999994,59382.159999999996
11,130285.4,113974.8,93597.99999999996,73966.40000000013,132623.4,129675.8,181097.8,66767.8,175222.2,81972.20000000001
12,131587.88,112128.6,111465.76,98845.36000000006,179817.68,177040.56,189000.7,68368.22,184894.8,101619.60000000002
13,186980.28,175394.32,112197.96,109293.16,189676.36000000004,187045.84,194969.24,77165.11999999995,195949.84,113161.56000000001
14,192467.60000000006,183390.32,113958.36,111906.96,194520.26,193359.48,260471.7400000003,131194.69999999998,200588.63999999993,116184.72
15,201302.08,186113.08000000002,148263.59999999998,123959.24,199921.84,218492.79999999996,406884.4400000003,143930.64,289212.3600000001,124549.92
16,208175.00000000003,193254.19999999998,181354.2,162154.8000000001,271195.7,300677.19999999995,565945.3,171591.0,427510.7999999999,132379.6
17,282218.8000000002,227031.68,187016.64,183148.56,408940.88,445793.07999999996,732259.2400000001,175427.84,558759.44,159791.36
18,382564.8400000007,235091.39999999997,191395.27999999997,194108.80000000005,498407.7,530672.4799999999,913192.1,183918.43999999994,681979.7199999994,189826.72
19,508583.6000000001,264636.52,197332.76,222967.16,640665.6,654660.72,1086861.6,185128.32,783871.3999999999,193008.2
20,610396.5200000001,267121.84,205316.19999999992,227192.48000000007,809099.2400000003,757011.72,1202624.4799999997,218772.22,924855.2,201128.64
21,723004.4000000004,273949.39999999997,235343.80000000002,238200.00000000006,925533.0,894400.2,1311822.6,221852.2,1067722.7999999998,227443.40000000002
22,841325.4800000006,279759.39999999997,237924.99999999994,282707.27999999997,1054094.46,1005957.24,1426314.3000000005,224421.58000000002,1226353.0799999991,238063.08000000002
23,1013364.6000000001,326268.72,260566.75999999998,333109.04000000044,1214069.24,1140343.2,1611688.4,226029.92,1379982.48,239620.68000000005
24,1162361.6800000002,387200.6399999998,274009.31999999995,433434.88000000047,1391141.3,1265831.88,1743063.8200000003,229529.62,1506027.4399999997,246051.44
25,1265068.9200000002,478347.80000000016,275490.04,513984.8,1539267.7200000002,1383841.639999999,1845687.080000001,247325.04,1544470.56,252155.87999999998
26,1372770.0,572627.0,281897.00000000006,604997.0,1676694.0,1581513.0,2057296.0,267939.5,1685951.0,281046.0
27,1513183.0800000003,637847.72,288162.08,710972.4400000001,1744835.64,1694517.2799999996,2241664.72,272674.64,1751848.28,329057.87999999966
28,1662801.0400000005,744031.3999999999,341418.39999999944,816790.76,1752173.12,1836196.76,2375779.2399999998,293060.12000000005,1860842.68,384275.28
29,1788982.88,832057.8799999999,378243.88,914976.28,1753882.44,1972676.4799999997,2404030.04,344562.4799999999,1985525.0,483500.5599999997
30,1926702.4800000002,894500.08,434464.6,973634.8,1806285.0799999998,2055095.6400000001,2570114.1399999997,427230.28,2111232.6799999997,512766.72
31,2054434.4000000001,906061.0000000001,504707.9999999999,1081284.8,1967914.4,2087528.6,2708866.8,483404.6,2198204.0,607713.9999999999
32,2135486.200000001,994259.4400000001,567906.76,1188685.56,2056329.38,2230071.96,2824821.4,547068.92,2271175.0399999996,641684.52
33,2263671.12,1077415.96,619710.7999999999,1257214.6400000001,2220388.44,2346093.1599999997,2853584.8,619944.24,2370154.1599999997,689314.12
34,2352710.52,1117618.76,646953.1599999999,1337971.0000000002,2406076.3,2406841.28,2948697.94,686427.7,2499535.7199999997,757672.24
35,2453516.4400000004,1238289.4799999995,699335.88,1372048.84,2562363.12,2442360.64,2972421.32,757939.7199999996,2559145.04,780170.6
36,2582690.2,1351094.7999999998,739893.9999999998,1452624.4000000006,2706530.4,2525825.6,3046787.0,833784.7999999997,2614730.9999999995,859577.3999999997
37,2695912.720000002,1440794.08,778519.04,1541392.9200000009,2736255.2,2630892.24,3150389.52,875178.24,2702600.5999999996,974390.76
38,2759013.12,1509873.2000000002,859754.24,1632017.7200000004,2884520.22,2688296.96,3255291.8000000003,904076.3,2799081.12,1067847.9200000002
39,2798486.08,1584028.24,911255.1999999998,1696097.92,2929646.0400000005,2747502.32,3340693.3199999994,951122.76,2896544.1599999997,1168305.2
40,2887449.68,1625789.7599999998,962031.84,1713957.32,2987310.24,2763827.2399999998,3466872.22,987942.5599999998,3022958.999999999,1197338.24
41,2908141.2,1723458.5999999994,1024312.7999999993,1716874.8,3045930.6,2854964.4,3586539.0,1091424.6,3139163.2,1264348.8
42,2976924.72,1810792.6799999997,1064437.0399999986,1721739.72,3084429.1,3024103.759999999,3780182.34,1138925.2199999995,3256641.08,1334277.2799999996
43,2999150.24,1908665.0800000005,1074641.0799999991,1731726.92,3122741.92,3107193.2,3945973.12,1185146.9999999998,3395167.7999999984,1402645.6799999995
44,3041999.2,2013127.1600000001,1133184.76,1736286.52,3150279.88,3176835.24,4095598.86,1278086.7,3533844.8399999994,1507656.0
45,3100347.16,2101175.32,1162938.2,1766481.92,3156591.6,3269439.04,4181166.879999999,1379868.7600000007,3650580.76,1607370.6
46,3170695.0,2104702.4,1252163.7999999993,1870188.4000000015,3163894.4,3342791.5999999996,4368619.500000001,1458548.2,3824619.8,1674980.7999999993
47,3238618.96,2108041.88,1334558.4,1927182.36,3166785.44,3399785.92,4509636.28,1462466.08,3906115.52,1785756.56
48,3249884.64,2136689.12,1412415.6399999997,1961892.36,3170134.94,3415601.7600000002,4634499.72,1462950.02,4020738.36,1790491.68
49,3253802.12,2139419.84,1469711.76,1966335.92,3197417.68,3424666.5999999996,4638405.2,1469449.0,4027626.12,1796571.32
50,3259956.72,2142857.68,1477254.64,1968864.8,3197377.84,3428089.0399999996,4644492.56,1471152.5599999998,4036452.76,1800389.24
