index,348_1_www.notebooksbilliger.de,348_2_www.notebooksbilliger.de,348_3_www.notebooksbilliger.de,348_4_www.notebooksbilliger.de,348_5_www.notebooksbilliger.de,348_6_www.notebooksbilliger.de,348_7_www.notebooksbilliger.de,348_8_www.notebooksbilliger.de,348_9_www.notebooksbilliger.de,348_10_www.notebooksbilliger.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,4298.62,4893.320000000001,6644.24,5250.82,5191.72,5020.919999999999,4988.160000000001,4784.24,5068.94,5398.7
3,12613.64,15633.679999999993,16006.360000000002,15517.759999999998,15119.44,13949.080000000005,14781.320000000002,16096.240000000002,12209.400000000005,11744.000000000005
4,19133.06,18878.12,25252.039999999994,19548.68,19448.88,22413.28,19090.64,18862.239999999998,19250.76,19460.2
5,45290.96,45415.72,44122.200000000004,42741.52,25012.23999999999,27199.920000000002,30241.84,48446.12,43457.32,40413.00000000001
6,60513.500000000044,57350.499999999985,160207.4,105550.9,70455.2,74229.4,60420.399999999914,124793.59999999999,55093.799999999996,45614.5
7,78647.28,89368.64,164489.64,146263.56,124727.68,104902.56,72789.48,203903.72,122226.08,50349.4
8,139882.44,147170.59999999995,203520.4000000001,211078.61999999994,205536.44,157638.96000000005,106851.2,302761.76000000007,204675.0,105015.5
9,225491.80000000002,212658.11999999994,295558.4,269684.92,293208.07999999996,268611.4,163922.8,406935.12000000005,290757.88,141144.00000000003
10,313141.4,397604.1,421909.36,379494.82,344126.52,407033.2,251477.19999999998,432803.64,392984.44000000006,205272.2
11,419723.6000000001,542272.0,516879.2,496214.4,386975.19999999984,441309.2,292870.7999999998,549666.7999999999,431110.4,253372.0
12,497307.82,599709.7999999999,656134.4800000001,547473.3,519409.77999999997,568730.5600000002,395945.64,649945.08,523794.24000000005,344555.50000000006
13,603556.28,652186.88,670114.6799999999,642038.88,654930.36,658563.12,498336.56,653617.0,643825.36,503220.00000000006
14,665739.1799999999,666901.92,687395.68,665789.22,668088.92,668744.04,609108.56,668720.4,654542.22,617000.6000000002
15,680367.68,687259.88,691263.88,685274.52,681738.08,673365.12,650737.76,686280.48,665944.5599999999,660145.6000000001
16,682000.3,693924.5,713223.2,689802.3,688769.9,678672.6,686490.4,692472.6,684523.8,666838.5
17,691639.36,690610.36,766738.6,717253.08,695250.2,707857.4400000001,695746.6,700708.4,686636.52,671603.4
18,717151.14,712504.44,822222.6,730891.66,738833.02,714842.4,730800.2,727436.88,694357.8,671335.3
19,753571.88,761007.44,868949.6,764634.4,756403.24,755268.84,740128.84,853810.48,704233.16,739850.8
20,797185.94,764562.7000000001,920607.92,779135.7000000001,773778.48,760398.76,757416.52,877015.8,726638.0800000001,749880.5
21,842888.2000000003,835762.7999999996,980435.8,802747.4,912560.0,810320.0000000001,766426.0,914210.6,757054.0,753210.0
22,921630.6,926566.8999999999,1010469.32,847543.5599999998,925281.1199999999,922570.3600000001,886472.1599999999,927301.44,897134.78,793806.0
23,955876.4400000001,968668.7199999999,1027965.32,922075.6000000001,1028203.24,1019908.1200000007,923554.96,988402.7199999999,916508.08,875294.6
24,1009557.24,1037152.44,1061825.52,1010845.1799999999,1040540.92,1048601.92,982272.4,1040353.44,930859.48,921531.1000000001
25,1045666.92,1064682.92,1068817.08,1042211.12,1046705.08,1057623.6,1035524.84,1050048.4,1010365.0000000002,963335.4000000003
26,1053316.0,1086960.5,1073579.0,1080630.5,1095693.5,1097266.0,1042937.0,1170234.0,1039412.5,1037538.5
27,1097070.96,1150974.76,1116489.32,1087970.72,1176624.64,1183494.56,1071168.4,1174295.68,1070712.1600000001,1047221.2
28,1110017.08,1177560.42,1165928.88,1091951.02,1177181.82,1188633.72,1144594.48,1180369.8,1170808.66,1088134.4000000001
29,1157683.8,1182862.92,1197204.44,1155233.44,1181335.92,1193346.4000000001,1176753.24,1188055.2000000002,1173336.96,1089865.5999999999
30,1202233.82,1196116.96,1257839.68,1181465.38,1187238.26,1202731.92,1180567.48,1205438.84,1177667.22,1095830.7
31,1209426.6,1245738.8,1287272.2,1228127.2,1225142.1999999997,1231788.8,1194036.2,1256119.8,1179823.8,1148311.0
32,1265925.5000000005,1262937.42,1291414.84,1262061.5200000003,1256916.84,1237059.64,1209498.6,1266260.5599999998,1194520.2,1177177.0
