index,350_1_de.napster.com,350_2_de.napster.com,350_3_de.napster.com,350_4_de.napster.com,350_5_de.napster.com,350_6_de.napster.com,350_7_de.napster.com,350_8_de.napster.com,350_9_de.napster.com,350_10_de.napster.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6208.639999999998,4724.46,5136.599999999999,4702.7,5280.72,4883.88,5373.84,5631.44,6670.64,4301.68
3,11445.76,28712.0,14945.000000000004,16595.800000000003,18276.16,17000.16,9250.600000000006,9615.400000000003,18463.920000000002,17770.2
4,36749.079999999994,74006.76000000001,34958.00000000001,28923.7,31060.48,46955.99999999997,31488.160000000065,29015.52,36372.92,65103.360000000015
5,52087.75999999999,168184.08000000002,64736.60000000003,89569.80000000006,117846.08,123847.64,93106.76000000005,60607.24,102773.44,162485.56
6,124685.99999999991,305091.10000000003,198346.0,167023.0,236882.19999999995,191306.6,154447.6,154962.40000000002,197399.49999999997,259229.39999999997
7,206853.52000000002,365820.96,303581.20000000007,249235.00000000003,368163.28,289845.95999999996,230871.04000000007,265471.60000000003,275865.32,374988.0000000001
8,322690.56,370036.22,447939.5999999999,328493.00000000006,491879.8,403813.8,321714.88000000006,355950.36,366297.7800000001,482224.4
9,436611.2,401475.2,529114.0,398791.4,638227.6799999999,506311.72,393392.2,457002.76000000007,456333.4,573175.6
10,543568.3599999999,477408.1,583438.2,485190.60000000003,762004.2799999999,620378.88,469472.60000000003,559335.7200000001,548045.5599999998,685695.48
11,657106.2,563288.4,587324.0,572445.0,866921.2,645107.6,526007.0,668330.6000000001,648600.0,838351.0
12,801666.5599999999,609756.52,594870.0,658712.4000000001,979597.12,717104.52,620484.52,819587.6,755301.9,919139.4799999999
13,966671.28,723274.72,743246.2000000002,770098.0000000001,1081047.28,775353.08,711186.8,910748.0000000001,896338.8400000001,1013186.8400000003
14,1087923.1199999996,772647.96,764466.4,904338.5,1163775.52,841744.6,809053.2000000001,1068395.04,1030450.36,1044861.16
15,1127450.24,853478.56,804982.4,1052754.2000000002,1187109.24,901002.16,941699.12,1139509.04,1164669.4800000002,1087965.68
16,1148556.8,879751.7000000001,842808.0,1147687.5,1217673.6,946637.4000000001,1008464.2,1142944.0,1181567.1,1147631.0
17,1164761.72,922916.9599999998,903525.8,1175123.8,1228234.84,991432.4,1030911.2000000003,1182911.2000000002,1228128.8,1192176.2
18,1220570.66,998427.56,975367.8,1211847.7,1285193.8,1092995.44,1105410.6,1223824.28,1288260.0,1264497.16
19,1279399.52,1094173.88,1049310.4000000001,1246596.2,1303263.24,1135753.56,1158522.08,1293479.8,1329237.64,1329352.3599999999
20,1317345.08,1158103.2,1155033.5999999999,1289478.7,1361680.2,1189477.3199999998,1216853.0400000003,1358765.36,1408371.68,1412891.0799999998
21,1376259.4,1233028.6,1214057.0,1386685.0,1476350.7999999998,1236432.6,1286786.6,1408431.2000000002,1501483.6,1501673.0
22,1463001.9,1313310.0,1276327.4,1534257.8,1505039.4,1263113.68,1345230.8,1538867.9600000004,1539536.04,1574646.56
23,1483641.12,1367407.8,1342455.4,1654982.6,1543011.52,1329008.8,1416803.04,1698984.6800000002,1586706.32,1648213.92
24,1491757.18,1402300.92,1451836.2,1786633.4000000001,1565826.68,1362396.12,1572249.2,1810676.56,1604472.56,1745488.04
25,1501898.28,1442890.2000000002,1588400.6,1928167.4000000004,1612490.6400000001,1377084.64,1680665.6,1827640.04,1660253.96,1765800.72
26,1522845.0,1493979.5,1664040.0,2027839.5,1717938.0,1408152.0,1754696.0,1838707.0,1713541.5,1810982.0
27,1559707.9599999997,1547142.8800000001,1791304.0000000005,2141403.8000000003,1785312.44,1449233.32,1898904.4000000001,1876495.28,1764947.08,1836232.04
28,1598883.3800000001,1566756.2999999998,1869743.6,2269172.400000001,1902212.04,1495154.2,2008790.16,1929187.2000000002,1795374.3,1871247.8
29,1646553.48,1605333.2,1907335.4,2327863.8,2013046.2,1527514.52,2013042.32,2074049.8,1862606.72,1957211.56
30,1692930.68,1651745.0999999999,1998409.0000000007,2406957.3,2137287.56,1576010.0400000003,2017854.32,2208996.0,1910703.52,2045830.52
31,1796362.0,1692352.0,2155368.0,2411344.0,2179753.8,1644245.8,2099279.0,2251887.4,1928139.2000000002,2139384.6
32,1834566.32,1730615.3800000001,2281143.2,2450953.1,2240907.96,1706682.5999999996,2224502.96,2351479.88,1957650.32,2167725.92
33,1879926.0799999998,1775524.84,2331721.8000000003,2474897.0,2322611.08,1759077.84,2355650.8000000003,2461144.56,2043168.6400000001,2239405.28
34,1899956.18,1844403.3599999999,2449151.8,2516222.6,2451395.32,1811904.92,2446433.7199999997,2603662.8000000003,2161222.7600000002,2288107.44
35,1943808.28,2001508.6,2564010.0000000005,2538727.0,2499718.6,1858454.4799999997,2507989.6,2756240.4,2275754.48,2331815.88
36,2038453.9,2131473.6999999997,2731471.0,2567799.5,2634082.0,1904794.4,2607153.0,2848697.8000000003,2493586.5,2366136.2
37,2123948.1199999996,2173738.1199999996,2825638.0,2613429.6,2804561.9999999995,1960407.0,2762047.3200000003,2920584.88,2645229.92,2389615.72
38,2220354.24,2215080.3,2947046.8000000003,2631347.3,2875524.92,2040513.0,2878305.28,3011739.1199999996,2728306.9600000004,2415980.36
39,2355537.48,2314556.28,3036486.4,2694152.6,2941674.64,2137167.08,3006308.2,3061752.4400000004,2885953.1999999997,2463181.1999999997
40,2506548.0399999996,2458843.88,3058839.0,2718213.4,3064095.8399999994,2235268.48,3082989.6,3075271.92,3040629.06,2570040.8
41,2655440.3999999994,2570709.3999999994,3076534.0,2747475.0,3165723.4,2384174.4,3088047.0,3080093.6,3181937.0,2666387.1999999997
42,2801801.46,2728593.999999999,3092503.0,2789826.5,3181106.56,2555931.1199999996,3112061.96,3094149.36,3210555.24,2708738.16
43,2976837.6799999992,2892094.1600000006,3109074.4,2873908.6,3193197.68,2717929.6799999997,3121104.68,3114340.6,3215963.84,2765814.0000000005
44,3108659.5599999996,3054929.56,3131952.4,2979187.5,3200363.44,2850242.2,3150026.16,3124424.08,3228921.72,2832149.96
45,3197621.16,3190683.16,3152440.4,3105751.2,3203216.16,2941684.04,3156044.04,3162812.8,3233103.16,2872165.8
46,3201642.7,3200724.1,3168437.0,3185757.0,3209004.0,3092820.3999999994,3158581.2,3183660.4000000004,3241701.9,2934854.0
47,3209014.16,3207134.12,3179513.8,3202818.4,3217540.24,3186174.24,3167816.4,3190608.2,3246832.8,3051850.56
48,3212753.02,3213549.6799999997,3193194.0,3208786.3,3224589.24,3190803.36,3187554.52,3194208.92,3252344.28,3168429.8
49,3221235.32,3217475.92,3202501.2,3211618.8,3231498.2399999998,3196481.04,3202063.2800000003,3202256.08,3258345.28,3211877.7600000002
50,3227686.96,3217437.04,3210933.2,3211376.4,3236928.08,3202424.9200000004,3208258.52,3205997.56,3264352.36,3214550.32
