index,366_1_www.deutschlandradio.de,366_2_www.deutschlandradio.de,366_3_www.deutschlandradio.de,366_4_www.deutschlandradio.de,366_5_www.deutschlandradio.de,366_6_www.deutschlandradio.de,366_7_www.deutschlandradio.de,366_8_www.deutschlandradio.de,366_9_www.deutschlandradio.de,366_10_www.deutschlandradio.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1371.56,1350.4,1330.48,1371.56,1443.5,1345.5,1333.64,1332.06,1362.08,1654.48
3,4004.76,3876.2,4100.36,4004.76,2416.0,3917.000000000001,4093.48,4096.92,4030.6800000000003,4100.36
4,5301.12,4135.08,4532.5199999999995,5259.479999999998,3860.5,4100.9,4483.68,4686.779999999997,4651.519999999999,4545.119999999999
5,4161.080000000001,4662.64,4581.36,4212.080000000001,5342.0,4772.799999999999,4306.48,4754.92,6769.08,4325.52
6,8341.2,6185.599999999999,6106.400000000001,8392.2,5566.0,6059.5,5902.2,6315.3,6132.800000000002,6060.400000000001
7,7815.44,8352.12,8291.88,7866.44,8796.0,8061.6,8090.84,8502.36,8103.3200000000015,8254.52
8,8821.599999999993,7546.800000000002,7080.239999999998,9557.599999999993,8448.5,7328.3,6788.52,7205.9000000000015,6529.2,6970.64
9,16903.88,14242.199999999997,13938.2,16872.399999999994,7428.0,10697.000000000011,17077.6,17511.4,13766.799999999988,13021.32
10,23498.64,17155.64,19107.76,23071.120000000003,14194.0,16609.100000000002,16595.28,16969.12,23914.36,24006.76
11,33231.39999999997,23731.4,22734.8,73879.39999999986,17302.0,24082.0,22300.4,22758.6,27359.999999999836,22631.8
12,59324.67999999996,32926.919999999984,71176.0,119811.07999999989,24200.0,25001.200000000015,42746.960000000014,45658.51999999993,91279.72,39972.96000000001
13,105503.39999999989,78463.44000000002,106241.44,180406.79999999993,30166.0,93036.80000000019,89459.52000000003,90487.19999999995,147646.43999999992,80814.47999999998
14,149865.4,117963.87999999998,141639.36000000002,241243.71999999997,72854.5,149915.50000000003,159273.68,134483.39999999997,225144.55999999985,128027.44
15,188418.55999999997,163337.19999999998,182914.84000000005,283165.6,122467.0,200885.20000000013,214491.20000000013,170389.08,301250.68,172845.12000000008
16,253585.0,205233.40000000002,249073.19999999998,358669.5999999999,173011.0,260305.5,284461.4000000001,210570.39999999994,393147.79999999993,226059.59999999998
17,293159.07999999996,274337.95999999996,316103.88,434793.43999999994,237241.0,309923.4000000001,355305.48000000004,281696.1599999999,462937.96,293131.60000000003
18,334706.07999999996,351262.51999999996,387558.68000000005,499734.2799999999,318041.0,372841.0,441267.32,375789.2799999999,532483.84,346090.2400000001
19,397365.36,420542.16000000003,438943.23999999993,575858.1199999999,396255.0,438362.6,527188.2799999999,429389.23999999993,622676.1599999998,428425.24
20,441487.6,472509.04,494904.52,635859.32,471497.0,478652.60000000015,598682.2400000001,502060.48,673000.1599999999,492453.68
