index,372_1_www.surfmusik.de,372_2_www.surfmusik.de,372_3_www.surfmusik.de,372_4_www.surfmusik.de,372_5_www.surfmusik.de,372_6_www.surfmusik.de,372_7_www.surfmusik.de,372_8_www.surfmusik.de,372_9_www.surfmusik.de,372_10_www.surfmusik.de
1,-442.0,-442.0,-2192.0,-442.0,-442.0,491.0,-75.0,-442.0,-442.0,-442.0
2,-480.84000000000003,-488.48,-1261.16,-496.12000000000006,-526.6800000000001,-103.92,-85.22000000000001,-444.7199999999998,-354.07999999999976,-496.12000000000006
3,1507.2,1497.3999999999999,682.3199999999999,1487.6,1448.3999999999999,1725.84,-394.52000000000004,1333.64,1339.96,1487.6
4,1467.94,1472.68,672.3999999999999,1477.42,1499.02,1608.04,1479.28,1440.6399999999999,1375.9600000000003,1477.42
5,1695.8000000000006,1806.6000000000008,1421.800000000001,1917.4000000000008,3018.2000000000016,2120.7999999999997,1379.6399999999999,4093.48,4079.72,2355.800000000001
6,4024.2,4013.4,3014.6,4002.6,3959.4,4118.2,2824.499999999995,3584.4,3573.6,4002.6
7,3567.12,3560.64,3210.3200000000006,3554.16,3809.8400000000006,4020.8399999999997,3644.2400000000002,4110.44,4123.16,3554.16
8,4103.02,4110.44,4512.68,4117.86,4365.879999999999,5317.84,3991.54,5160.919999999999,5273.88,4117.86
9,5432.44,5235.839999999999,4108.04,5318.96,5027.44,4983.64,5345.56,4507.48,7111.360000000002,5444.96
10,4964.44,4742.679999999999,3420.9199999999996,4811.919999999999,4490.619999999999,6910.28,4630.380000000001,6695.72,6976.32,4937.919999999999
11,4483.5999999999985,4254.199999999999,5104.999999999999,4315.799999999999,4997.400000000005,6714.8,5480.599999999988,6327.2,7015.0000000000055,4441.799999999999
12,6383.32,6197.399999999999,6789.160000000012,6227.599999999999,5804.06,6496.199999999996,7771.759999999998,8161.88,10304.44,6353.599999999999
13,5993.76,5859.72,7410.68,6016.68,7945.080000000005,10063.68,8182.48,8710.36,10514.68,8329.68
14,8234.74,8102.28,7805.56,8260.82,8270.98,9351.72,8756.119999999999,8387.96,13383.84,8386.82
15,8670.88,8634.36,7750.840000000005,8794.76,8732.36,8753.160000000002,8467.36,10358.119999999999,12853.24,8920.76
16,8701.099999999999,8445.199999999999,9195.6,8480.299999999997,8434.8,10241.799999999994,10320.4,10152.800000000001,12181.399999999998,8606.299999999997
17,8208.56,8568.840000000004,9111.159999999998,9431.960000000005,10294.84,10187.88,10250.56,10347.600000000002,13846.199999999999,9557.960000000005
18,10243.1,10010.199999999999,11872.44,10137.38,10172.82,11209.08,12292.699999999995,12831.56,16228.04,10263.38
19,10307.56,10187.32,12805.800000000003,10358.08,10201.20000000001,14918.960000000005,12673.800000000005,15108.039999999997,16381.560000000001,10484.08
20,10925.300000000001,11352.200000000006,14117.960000000001,12458.900000000007,12732.76,15958.92,15398.960000000001,15059.48,16634.96,12269.80000000001
21,12920.400000000001,12885.800000000001,13507.800000000001,12974.999999999998,14127.00000000001,16430.4,14676.400000000003,14441.4,17011.400000000012,13100.999999999998
22,14653.320000000003,14648.44000000001,15444.36,15605.859999999999,15155.779999999997,16049.76,13961.220000000003,15296.880000000016,18103.079999999998,15827.759999999998
23,15208.48,14939.92,15282.08,15121.48,14618.96,17925.600000000002,13256.960000000001,15868.4,17966.04,15247.48
24,15391.16000000001,14402.039999999997,14816.239999999998,14461.820000000002,13679.14,17919.56,12531.640000000003,15649.119999999999,20764.52,14587.820000000002
25,16787.2,13899.52,14091.16,13872.88,13517.24,18979.6,14786.519999999993,14993.08,21703.799999999996,13998.88
26,17553.5,12994.0,13442.0,13181.5,15955.5,20710.0,15227.0,14336.0,23012.0,16018.5
27,17900.16,12947.52,15411.64,12886.880000000001,15714.960000000001,23404.72,16863.159999999978,16299.32,22397.88,15563.12
28,16859.879999999997,12420.039999999999,17799.32,13920.18,15479.64,22780.16,19362.52,18705.16,21677.679999999997,15013.18
29,17265.76,14342.92,17630.920000000002,14155.68000000001,14432.960000000001,22146.239999999998,19156.12,21217.840000000022,21949.76,15005.639999999998
30,20909.48,14225.24,19713.6,15036.06,16153.360000000019,24003.68,20719.66,22970.28,23312.2,14841.240000000002
31,20799.4,17784.2,21599.800000000025,16995.800000000025,17521.200000000008,23997.0,25228.8,22621.0,22524.4,16527.999999999996
32,20446.54,17080.079999999998,21819.84,19677.34,19039.1,23268.48,25132.56,22675.920000000002,22446.96,17681.36000000002
33,20344.36,18247.680000000008,22697.920000000002,19696.8,20542.72,24250.56,24932.28,22584.039999999997,25816.84,18867.92000000001
34,19896.219999999998,19388.92000000001,22353.48,21817.62,21677.720000000005,23405.32,27895.35999999999,21954.24,25724.84,20604.7
35,19538.8,23709.04,22362.960000000003,21736.600000000002,23021.64,25437.28,30802.44,21147.48,32520.08,20745.76
36,20525.3,23639.0,20653.399999999994,22762.9,22955.5,24782.8,29841.899999999998,21564.399999999998,33149.0,23127.6
