index,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,193907.22,205398.68,188427.16,200520.02,163408.3,182365.46,179659.34,178021.92,138153.08,115196.8
3,322056.92,333415.32,469329.27999999997,339685.08,299836.4,318895.72,293232.72,367048.19999999995,470311.96,291676.6
4,643042.6799999999,673669.6799999999,639729.64,679648.08,441199.90000000026,595245.74,393364.24,505960.80000000005,623033.0,360104.8
5,805747.24,907230.52,813673.88,964823.2400000001,675037.2,782609.32,695512.68,694580.76,885186.9200000003,670689.8
6,999782.599999999,1731815.7999999993,1343224.1999999988,1869609.7,868738.5,973974.0000000009,834040.9,901322.4,1327401.6000000003,891456.0
7,1943566.32,1969872.04,1922069.08,1994126.16,1337967.2000000007,1813423.68,1264582.4,1347599.1600000001,1961953.9200000002,1538897.9999999993
8,1990654.92,2039673.92,2022114.4,2050920.14,1839796.0,1966199.98,1893209.94,1906060.2,2000254.24,1905011.4
9,2020665.36,2072677.72,2059132.64,2098037.9200000013,1975317.8,2034790.8399999999,1990238.24,1979509.04,2065902.16,1981076.8
10,2081293.76,2123928.4400000004,2099273.92,2245175.46,2020280.2,2063439.34,2025838.4,2029948.92,2216410.8,2002122.8
11,2185472.4,2164226.4,2251069.6,2279915.8,2071516.0,2180548.6,2079052.2,2069200.5999999999,2250533.8,2067711.0
12,2229384.42,2312370.24,2274791.12,2393391.5,2078118.7,2246390.06,2200185.72,2099916.5999999996,2287497.52,2162280.4
13,2280984.52,2371233.64,2374183.68,2406681.12,2123722.4,2283022.28,2255011.32,2130608.84,2385313.76,2244427.4
14,2328765.34,2420566.879999999,2413008.48,2462229.5600000015,2247676.9,2361936.22,2286093.24,2219427.04,2425002.48,2277157.6
15,2378817.96,2783394.96,2633713.76,2717866.72,2282857.8,2403788.3200000003,2336077.9600000004,2286820.12,2512358.7600000002,2315019.6
16,2502194.5,2832909.6,2840752.6,2802516.3,2375645.5,2439078.7,2383831.6,2367867.8,2742675.6,2341351.0
17,2557271.96,2874850.3999999994,2885350.28,2882082.6799999997,2387099.2,2549984.32,2423765.32,2390382.44,2782391.28,2407496.8
18,2574247.06,2979893.1599999988,3036045.88,2908354.920000001,2525224.9,2775835.1599999997,2441121.06,2596255.44,2826540.84,2448400.4
19,2624246.96,3126215.52,3281049.24,3247623.16,2630797.8,2797480.68,2564219.76,2644726.92,2859834.44,2550524.4
20,2657484.42,3252211.96,3355024.48,3451061.4400000004,2688882.4,2848307.84,2639006.0399999996,2683595.48,2890510.76,2756669.8
21,2684756.399999999,3326966.8,3378878.2,3493637.2000000007,2707365.0,2879498.2,2793729.4,2730685.0,2931963.6,2892989.0
22,2717946.66,3371481.56,3417057.88,3592069.94,2739928.3,2918554.1000000006,2940530.82,2827110.5999999996,2977668.64,2982016.9999999995
23,2759700.2,3405290.68,3466208.12,3634492.68,2825739.6,2948578.56,2964370.92,2931638.96,3005023.08,3025114.4
24,2778613.3000000003,3433158.88,3500943.44,3681515.24,2868651.6,2961964.04,2986302.04,3066565.88,3034014.36,3055070.2
25,2819936.32,3475392.84,3520546.84,3711496.56,2905433.4,2999508.4400000004,3026291.84,3095703.56,3087354.480000002,3078577.2
26,2952310.9999999967,3522772.0,3574808.0,3820489.0,2931067.5,3029518.5,3099656.0,3121263.0,3245108.0,3110706.0
27,3046959.9999999995,3542765.84,3593029.92,3835850.0399999996,2963250.1999999997,3082242.44,3138512.52,3144699.44,3266566.44,3155661.8
28,3225653.38,3577615.96,3622673.08,3868969.84,3110378.1,3099782.1,3160288.54,3224623.84,3383786.08,3177513.0
29,3354308.7199999997,3607433.3600000003,3646006.2399999998,4142748.5999999996,3190129.4,3176449.08,3204838.24,3255208.96,3702751.56,3201100.4
30,3428485.1199999982,3836586.24,3676491.44,5581274.92,3229330.7,3204216.44,3233482.18,3287926.5200000005,5135885.44,3229728.8
31,3669663.2,5197386.400000001,3910306.6,5736409.0,3248388.0,3332061.8,3248039.0,3326478.4,5297156.2,3244572.0
32,3715220.579999999,5600920.760000001,5320408.759999999,5808324.1000000015,3283692.0000000005,3474867.160000013,3287224.3,3344512.36,5999693.399999999,3262886.8000000003
33,4706421.839999995,6758585.48,5976670.92,6948467.560000007,3332311.4,3989729.600000006,3320381.84,3368100.16,6914903.64,3383126.8000000003
34,6118287.159999995,6792157.08,7167603.919999995,8425930.06,3536035.8,5331038.880000001,3423975.9200000013,3410714.7600000002,7346387.440000011,3475505.4
35,6878926.72,8167542.679999993,8485768.2,8922945.88,3862496.800000003,6265509.48000001,3538874.44,3574699.919999999,8398953.64,3638816.1999999997
36,6934839.0,8801219.6,8567164.6,8979423.0,5060870.5,6801463.9,3770440.7,3651742.8,9951312.400000002,3806955.0
37,7666786.879999999,9119105.24,8591619.44,9010502.36,5179382.4,7816819.8,3809084.359999999,4194421.560000001,11177239.72,4713699.600000002
38,8410828.46,9205002.44,8748985.72,10028123.92000001,6466932.400000009,8262179.9799999995,4312543.860000001,5180859.800000001,11249892.2,5600296.799999991
39,8443518.6,9387311.28,8808984.08,11528562.040000005,6686802.399999999,8286755.52,5107210.439999997,6200557.04,11310472.48,6398690.3999999985
40,8471471.12,9429304.88,8924237.360000001,11914476.240000002,6709307.2,8351378.9399999995,5936854.320000004,6692788.24,11365354.76,6749474.4
41,8497848.8,9459045.4,8932203.8,11968271.4,7103969.0,8396213.799999999,6908355.0,7959739.999999998,11392364.2,7043308.0
42,8522164.66,9500649.16,8955205.88,11993211.74,8154923.199999999,8424514.76,7805127.5,8174267.28,11431960.44,8036125.0
43,8541759.120000001,9973807.28,9016390.32,12015405.32,8248404.0,8444752.920000002,8332236.6,8233305.64,11464562.44,8260257.399999999
