index,384_1_www.imdb.com,384_2_www.imdb.com,384_3_www.imdb.com,384_4_www.imdb.com,384_5_www.imdb.com,384_6_www.imdb.com,384_7_www.imdb.com,384_8_www.imdb.com,384_9_www.imdb.com,384_10_www.imdb.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4050.48,3141.7999999999993,3407.000000000001,4002.6,3121.3999999999996,4102.08,4059.08,4067.6800000000003,4032.84,4091.76
3,4339.36,5051.92,5073.400000000001,4356.799999999999,5332.72,4790.08,4535.56,4517.76,4376.6399999999985,4390.76
4,8074.0599999999995,8511.12,8423.4,8075.900000000001,8637.14,8526.14,8451.759999999998,8527.26,8134.659999999999,8237.82
5,18450.920000000002,16036.599999999988,11421.600000000011,18969.0,15507.800000000001,19061.8,18637.76,18788.960000000003,19501.599999999995,18739.64
6,52230.9,23776.999999999938,18580.5,85982.5,29442.799999999985,49193.80000000002,57131.8,45374.700000000004,58942.700000000004,53101.600000000006
7,52383.08,84391.27999999998,85710.4,85808.59999999999,44473.159999999996,86286.76,82920.23999999999,57307.04,57317.88000000003,84268.55999999998
8,76956.31999999999,84532.72,85923.7,83324.9,59280.98,86502.66,86949.28,82878.38,68381.74,84222.84
9,77361.56,84526.32,84214.2,88496.6,60623.67999999999,84050.24,92856.04,86085.35999999999,85376.84,84509.28
10,91370.66,84014.75999999997,86896.2,92180.0,63659.240000000005,84783.42,94389.88,90094.82,91544.68000000001,84692.42
11,92051.8,90112.39999999998,90714.0,98098.0,88556.19999999997,92877.8,97317.8,94100.2,94180.20000000001,91660.40000000001
12,104037.58,93702.64,94810.7,101081.29999999999,92415.38,96532.18000000001,98874.12,96588.32,101573.72,91478.24
13,107607.88,98857.67999999998,99155.40000000001,105403.2,98314.16,103849.56,97467.80000000003,104003.79999999999,109279.4,93951.31999999999
14,114731.18,99350.36,102576.90000000002,113144.8,103046.68,103512.26,127252.76000000005,110616.56,114620.64,113477.41999999993
15,122047.27999999998,102964.24,104257.2,129682.2,107157.28,101535.2,136775.56,114573.76000000001,172797.08,155626.84
16,127722.50000000001,101443.6,106860.5,146620.0,110283.2,115481.30000000003,143673.00000000003,119777.7,183234.0,160999.1
17,131991.6,100647.24,124163.80000000003,149644.6,112110.39999999998,189676.72,146261.32,125621.39999999998,184525.28,167775.4
