index,389_1_www.netzkino.de,389_2_www.netzkino.de,389_3_www.netzkino.de,389_4_www.netzkino.de,389_5_www.netzkino.de,389_6_www.netzkino.de,389_7_www.netzkino.de,389_8_www.netzkino.de,389_9_www.netzkino.de,389_10_www.netzkino.de
1,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,67.0
2,5756.58,7857.499999999996,10402.999999999996,10277.199999999999,8951.58,13169.54,8505.08,8440.44,6340.159999999995,8384.66
3,12910.96,49179.599999999984,39666.399999999994,21193.00000000001,36484.16,20714.04,31053.24,27749.8,13062.48,14007.279999999997
4,12102.880000000001,84504.9,107081.19999999997,57902.799999999996,86458.08,52844.82,89161.12,78015.32,51509.28,64219.42
5,22419.52,160338.4,241730.8,94126.79999999999,162410.04000000012,113996.71999999999,155173.96,138922.96,97637.2,137346.03999999998
6,51377.499999999985,322693.0,352558.0,146556.0,270997.40000000014,202575.50000000003,302362.0,261040.8,220635.1999999999,291403.39999999985
7,79433.39999999998,508127.2,387572.5999999999,335331.0000000001,430296.2,353300.39999999997,493260.8,367239.36,478602.56000000006,371814.32
8,160582.91999999998,551786.6,541165.0,490670.6,511701.34000000014,453837.14,561244.88,407969.24,613167.76,478661.62
9,223115.27999999997,643362.8,668775.8,581264.4000000001,558279.52,527956.52,627281.64,628441.04,621119.32,596424.4
10,254096.3,674829.7,683266.9999999999,629609.2,623899.48,646844.96,642056.8,664971.24,636619.32,638623.2000000001
11,316688.8,719422.0,761661.0,645714.0,683473.0000000001,655028.6,725078.2000000001,678506.4,708336.6,648873.2
12,404787.4599999996,791131.9,784761.6,681702.8,725459.38,693939.96,770764.32,690914.04,736153.64,679506.28
13,429972.24,802253.6,806774.6,748340.6,792723.32,752649.48,786523.64,783801.16,780554.4,729062.6
14,449677.02,830281.2,832901.6,809946.4,805226.26,805202.68,812339.1999999998,794009.2000000001,794039.6,738012.26
15,472161.12,910955.5999999999,953338.8,871895.0000000002,832773.4800000002,818347.0,825662.08,805844.36,819846.76,782593.48
16,518361.9999999999,1028934.5,1030199.0,931734.0,900989.1000000007,844324.3,862327.2000000008,836281.6,826077.2,845600.8
17,574698.4799999999,1030363.4,1054292.6,945160.8,1031771.68,965293.04,1028328.4400000001,955465.84,843021.52,943759.4
18,604713.04,1051420.9,1061134.8,1013597.4000000015,1096344.84,1043090.26,1033954.68,1032512.28,956590.64,1011885.1999999998
19,633918.44,1065242.8,1097961.4,1076227.6,1104846.52,1083453.92,1035313.2799999999,1129404.8800000001,1034489.8799999999,1085363.72
20,675466.98,1157512.4,1224525.2,1100003.6,1123343.6000000003,1109940.86,1086430.28,1153460.08,1142725.88,1165470.76
21,707322.7999999997,1272008.0,1343547.0,1176433.0,1275279.6,1133755.4,1133918.6000000003,1211766.8,1184040.6,1193778.4
22,734085.34,1338840.2999999998,1350633.2,1176962.4,1314650.48,1171073.42,1283581.76,1261855.9200000002,1192828.04,1239421.6400000001
23,753501.6,1377370.3999999985,1395856.2,1199494.4,1350347.68,1225132.24,1345508.84,1271128.84,1203177.72,1344661.12
24,797150.94,1473713.5,1467476.4000000001,1296925.8,1360982.22,1350834.28,1392276.44,1347342.2,1228378.52,1353237.08
25,814485.4400000001,1509361.6,1550643.6,1345076.8,1416827.96,1434919.44,1407886.44,1393775.84,1333453.16,1359590.72
26,839461.0,1582173.0,1590822.0,1365603.0000000002,1513369.5,1514721.0,1487050.0,1406931.0,1357554.0,1389878.0
27,870626.04,1651888.3999999994,1663275.3999999994,1379818.0000000007,1550846.4,1588912.1600000001,1566340.8800000001,1480684.8400000003,1364151.72,1455904.2799999996
28,921169.92,1739495.9,1758028.2,1451184.2,1602969.9200000006,1708474.3200000005,1630882.2,1574573.24,1386809.72,1553971.5999999999
29,957598.36,1756200.6,1769215.8,1466668.6,1712869.96,1735978.8800000001,1698933.1199999999,1661173.8800000001,1475693.5999999999,1639534.3999999997
30,978633.02,1767392.2,1847529.4,1468061.5999999999,1762917.26,1743658.26,1699949.88,1735240.28,1546440.7999999998,1733920.68
31,1077666.6,1799569.0,1931201.0,1487248.0,1804994.4000000015,1791237.0,1731026.4,1743228.2000000002,1632742.2,1749311.8
32,1080010.76,1808098.8,2022233.4000000001,1510951.5999999999,1923730.86,1932609.06,1754272.8800000001,1769108.16,1692341.56,1759471.48
33,1085372.4,1812246.4,2051915.0,1538641.4,1942881.76,2023894.48,1778687.92,1778920.36,1717940.52,1794791.72
34,1090536.9,1827847.9,2067159.8,1602633.6,1975474.14,2033603.94,1800315.36,1804099.28,1747977.6799999997,1798394.32
35,1117091.8,1850685.9999999995,2074133.6,1649832.2000000002,1978982.68,2057512.24,1822586.8,1803310.96,1771914.68,1798295.76
36,1133509.3,1967020.5,2081428.0,1662535.0,1979131.7,2070802.7000000002,1941536.6,1813183.6,1791253.0,1852798.5999999996
37,1172876.24,2011083.7999999998,2092475.6,1706417.0,2004497.92,2075917.04,1977702.32,1840891.0400000005,1821561.96,1884175.4000000001
38,1217360.64,2025981.3,2194451.2,1781954.6000000006,2010557.4,2084933.02,1996566.32,1916099.44,1840772.08,1950704.6
39,1223748.36,2032120.6,2284385.8,1817699.0,2084455.4399999997,2097848.4000000004,2003405.2400000002,1940445.8,1856413.1199999999,1995572.52
40,1231312.3,2057373.4000000001,2297434.0,1873781.2000000011,2092429.28,2275832.98,2017888.08,1978668.9200000013,1857447.56,2007014.74
41,1237337.2,2064665.0,2307146.0,1948076.0,2106786.4000000004,2285118.2,2014835.4,2028777.0000000002,1940513.9999999998,2035889.8
42,1250934.36,2066772.7,2400817.1999999997,2011023.8,2111589.76,2295699.1,2026256.92,2049168.16,2024984.8800000001,2043200.98
43,1256823.24,2142135.6,2400393.2,2010927.0,2128011.96,2388575.16,2038188.68,2052552.12,2034024.52,2051139.32
44,1254283.04,2154963.7,2408252.2,2019565.6,2146615.4600000004,2390951.52,2044248.96,2065273.24,2031221.72,2057820.78
45,1259102.72,2160719.4,2406358.6,2075794.800000002,2211400.84,2391853.36,2116674.68,2072277.28,2038854.0399999996,2059980.64
46,1270856.9,2228055.5,2428454.0,2100384.0000000005,2217340.4,2397582.7,2142143.6,2137139.400000003,2048828.9999999995,2136012.8
47,1284091.84,2237695.6,2445659.6,2109113.0,2223995.12,2408627.24,2204412.88,2153047.48,2060498.96,2148518.16
48,1287069.16,2246120.6,2455354.6,2119426.0,2239189.48,2437929.4000000004,2209737.2,2154219.44,2120622.719999998,2152719.14
49,1292110.52,2257527.8000000003,2462146.8,2129992.8,2254980.6,2447819.48,2224644.44,2167270.68,2145623.96,2180161.84
50,1299007.46,2350796.1,2471658.8,2141992.6,2261105.64,2454050.1,2297999.72,2181326.120000001,2208884.96,2223417.54
