index,392_1_www.watchbox.de,392_2_www.watchbox.de,392_3_www.watchbox.de,392_4_www.watchbox.de,392_5_www.watchbox.de,392_6_www.watchbox.de,392_7_www.watchbox.de,392_8_www.watchbox.de,392_9_www.watchbox.de,392_10_www.watchbox.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4632.219999999999,4920.24,4420.46,5141.320000000001,5277.88,4469.98,5090.72,5113.4400000000005,4591.0,5063.84
3,18808.2,18929.04,18365.88,19075.96,19205.64,18820.96,11297.32,19097.16,18830.0,19010.52
4,21876.07999999999,19319.480000000003,22941.98,20627.519999999997,21384.44,23297.56,26163.32,21056.22,25976.0,21106.42
5,59985.4,52358.96,65211.16,46005.560000000005,48223.32000000001,60806.92,28881.64,48312.520000000004,45190.0,51546.47999999998
6,87944.5,119740.60000000011,148407.2,92066.8,91346.79999999999,129525.39999999998,57785.99999999998,123325.39999999998,74038.0,99047.39999999998
7,169600.32,156465.12,202211.2400000001,138548.76,138548.52000000005,213066.32,97763.04000000002,219432.63999999993,145199.0,145399.44
8,204617.72,304549.36000000004,254257.98,275153.0,207869.76,333614.9999999999,127069.68000000002,347035.88,246339.0,252654.25999999998
9,262027.24,390905.8,277762.36,316660.5199999998,293602.8,479449.6,248741.95999999993,477728.72,391075.0,338501.04
10,295194.96,438479.80000000005,307225.94,464672.23999999993,346537.4,484186.26,372636.6,485813.02,486301.0,483509.94
11,342646.8,488029.4,346637.0,480511.4,402334.19999999995,486781.6,454550.6,488066.6,493084.0,486596.8
12,378461.54,489447.76,374832.9,492334.08,459092.04,499708.38,494757.92,496943.02,504857.0,489589.98
13,406353.9199999999,496900.04000000004,387345.80000000005,494983.92,497674.68,507477.96,495413.27999999997,499945.36,509967.0,496001.8
14,441800.18,507919.52,430263.51999999996,512072.88,500064.44,509882.92,504681.52,507726.04,527102.0,507924.26
15,464501.36,519825.56,494848.76,514166.5999999999,505783.24,534932.7999999999,515665.24,524049.92,531669.0,513042.52
16,530138.2000000001,529948.6,525490.5,526947.6,520564.4,592059.2000000001,524749.6,535947.7,552886.0,527311.4
17,589366.6,549270.2000000001,590551.1599999999,532780.4,573246.96,599081.6,530442.04,586063.08,555929.0,614592.9999999999
18,626477.0,596934.64,624322.28,579516.9999999999,603622.16,632145.6,585945.52,624679.2799999999,591768.0,667938.92
19,630260.8,621117.92,684659.04,641677.04,606417.6,686108.6,634721.04,645238.3599999998,679095.0,664261.52
20,636228.04,714900.1200000001,704175.4,642582.32,620697.92,747985.6,633034.0,679785.34,758162.0,693122.38
21,711341.4,737264.2,760329.8,682832.2,679710.5999999999,806265.9999999999,644101.9999999999,730258.0,810705.0,741618.6
22,772213.6799999999,761134.52,828305.1200000001,751102.56,720429.92,860832.92,714202.4,816224.0399999999,853888.0,810087.78
23,828010.76,825564.2,901692.24,806055.7999999999,800159.3999999999,873475.28,754692.8,830566.6,874545.0,846018.8000000002
24,884161.2,859028.3200000001,916868.18,851709.64,846854.7999999999,879247.46,820298.1999999997,870060.66,880184.0,864401.52
25,921174.36,916474.48,921460.32,864558.68,901927.9600000003,928721.68,864474.08,882723.04,889527.0,882661.12
26,926332.5,921908.0,924559.5,870846.0,918523.0,932522.0,916889.0,889140.0,934742.0,887237.0
27,934231.28,926704.16,933992.64,876309.52,923716.92,957400.76,932746.8,895164.9199999996,937579.0,913407.08
28,997789.2800000008,927903.44,1024005.3799999997,927196.4400000001,928705.12,983348.78,931764.2799999998,941007.34,1016672.0,936355.76
29,1060820.4,932708.0399999999,1051943.04,931317.16,932609.52,1045503.5599999997,935888.48,947185.52,1049383.0,948537.6
30,1062385.16,939978.16,1059340.16,941727.5999999999,980896.8399999997,1068325.74,941056.84,1030762.8799999993,1064058.0,978366.58
31,1065296.2,942828.6,1062574.8,1014445.2,1052816.4,1073059.6,948492.1999999998,1069256.2,1087295.0,1022663.8
32,1073317.74,950077.6800000002,1066546.32,1054875.92,1057797.28,1095945.22,1061894.76,1071490.86,1093104.0,1066339.86
33,1076407.04,1002040.1600000004,1072807.72,1078242.48,1064187.6,1109198.56,1066362.12,1093074.2,1111397.0,1093498.12
34,1081710.26,1085741.92,1092733.32,1081459.08,1086921.12,1125102.44,1091295.68,1099772.06,1113051.0,1095204.62
35,1086451.64,1091243.16,1114776.76,1088833.52,1089121.76,1135680.32,1088051.96,1103961.4,1120342.0,1106365.1199999999
36,1109591.4,1114242.2,1123705.7,1109598.4,1095703.8,1141458.7,1097161.4,1118755.4,1135939.0,1119413.5
37,1144591.92,1114253.36,1141994.6,1113713.56,1107432.76,1161300.84,1121498.52,1125899.6400000001,1140472.0,1126918.1199999999
38,1149830.96,1121225.4,1151365.22,1129108.5999999999,1119827.12,1161299.34,1121713.68,1140029.4599999997,1154802.0,1147702.94
39,1155597.48,1135226.2,1155270.32,1144329.1199999996,1130679.6000000003,1169210.52,1130807.4,1146344.08,1160605.0,1154578.16
40,1157733.02,1140999.56,1162542.84,1148818.52,1141082.84,1174337.42,1142304.3599999999,1151119.3999999997,1165921.0,1163169.3999999997
41,1164840.0,1156291.4,1167330.0,1155229.4,1145299.4,1178843.4,1148986.4,1164609.0,1171771.0,1167739.4000000001
